,what,types,of,waves,do,seismologists,use,to,image,the,interior,of,the,earth,?
seismologists,0.35503461956977844,0.22454597055912018,0.22042883932590485,0.4082241952419281,0.29765522480010986,1.0,0.24653513729572296,0.2367573082447052,0.08077117800712585,0.2834262251853943,0.18535004556179047,0.22042883932590485,0.2834262251853943,0.3746615946292877,0.20703953504562378
can,0.34502777457237244,0.42601388692855835,0.2603091299533844,0.30033451318740845,0.45775556564331055,0.247505784034729,0.5362023711204529,0.4979398250579834,0.16941899061203003,0.312528520822525,0.1170809417963028,0.2603091299533844,0.312528520822525,0.2781451344490051,0.3226337134838104
use,0.3453877568244934,0.3699355721473694,0.2750902473926544,0.2322525978088379,0.4545445144176483,0.24653513729572296,1.0,0.47261837124824524,0.2313050627708435,0.34342584013938904,0.08876939862966537,0.2750902473926544,0.34342584013938904,0.2093004435300827,0.32795652747154236
the,0.42745697498321533,0.23509301245212555,0.733189046382904,0.2572701871395111,0.30239659547805786,0.2834262251853943,0.34342584013938904,0.535392165184021,0.24039390683174133,1.0,0.30233609676361084,0.733189046382904,1.0,0.2801888585090637,0.22068053483963013
arrival,0.24079416692256927,0.16112253069877625,0.2117728888988495,0.24778404831886292,0.12073452770709991,0.20042580366134644,0.20407484471797943,0.2928422689437866,0.10214158147573471,0.3051127791404724,0.19484905898571014,0.2117728888988495,0.3051127791404724,0.16577158868312836,0.07185088098049164
times,0.21414996683597565,0.18710215389728546,0.24352745711803436,0.21845173835754395,0.14708955585956573,0.16222621500492096,0.20556782186031342,0.32875269651412964,0.11474405974149704,0.29093852639198303,0.16371485590934753,0.24352745711803436,0.29093852639198303,0.2343844324350357,0.18880689144134521
of,0.33290785551071167,0.2447618544101715,1.0,0.22565768659114838,0.26150479912757874,0.22042883932590485,0.2750902473926544,0.41548454761505127,0.21113355457782745,0.733189046382904,0.31906411051750183,1.0,0.733189046382904,0.2329314798116684,0.1826142966747284
seismic,0.24362105131149292,0.1860986351966858,0.23986764252185822,0.4546373188495636,0.1943175196647644,0.6008574962615967,0.22140854597091675,0.23094509541988373,0.07931195944547653,0.22985544800758362,0.22283121943473816,0.23986764252185822,0.22985544800758362,0.37750980257987976,0.18033616244792938
waves,0.2342342883348465,0.2293403595685959,0.22565768659114838,0.9999999403953552,0.19665779173374176,0.4082241952419281,0.2322525978088379,0.2522522211074829,0.12589451670646667,0.2572701871395111,0.18485507369041443,0.22565768659114838,0.2572701871395111,0.3071456849575043,0.1603909134864807
in,0.30808621644973755,0.18516337871551514,0.5696388483047485,0.22372759878635406,0.23402775824069977,0.20912843942642212,0.2715643048286438,0.45010748505592346,0.1773042231798172,0.6662389636039734,0.1942717432975769,0.5696388483047485,0.6662389636039734,0.18566735088825226,0.20430970191955566
reverse,0.21305608749389648,0.21031898260116577,0.24858421087265015,0.22621719539165497,0.207198366522789,0.22760359942913055,0.290351539850235,0.24957582354545593,0.14988882839679718,0.29930976033210754,0.11944855004549026,0.24858421087265015,0.29930976033210754,0.1910317838191986,0.17596906423568726
to,0.455847829580307,0.20054484903812408,0.41548454761505127,0.2522522211074829,0.38876664638519287,0.2367573082447052,0.47261837124824524,1.0,0.19959285855293274,0.535392165184021,0.17605601251125336,0.41548454761505127,0.535392165184021,0.2486501932144165,0.29463258385658264
image,0.13311375677585602,0.13989406824111938,0.21113355457782745,0.12589451670646667,0.13832814991474152,0.08077117800712585,0.2313050627708435,0.19959285855293274,0.9999999403953552,0.24039390683174133,0.2630040645599365,0.21113355457782745,0.24039390683174133,0.07765690237283707,0.14968013763427734
the,0.42745697498321533,0.23509301245212555,0.733189046382904,0.2572701871395111,0.30239659547805786,0.2834262251853943,0.34342584013938904,0.535392165184021,0.24039390683174133,1.0,0.30233609676361084,0.733189046382904,1.0,0.2801888585090637,0.22068053483963013
interior,0.15294553339481354,0.11711977422237396,0.31906411051750183,0.18485507369041443,0.1678796410560608,0.18535004556179047,0.08876939862966537,0.17605601251125336,0.2630040645599365,0.30233609676361084,1.0,0.31906411051750183,0.30233609676361084,0.19265501201152802,0.07520901411771774
of,0.33290785551071167,0.2447618544101715,1.0,0.22565768659114838,0.26150479912757874,0.22042883932590485,0.2750902473926544,0.41548454761505127,0.21113355457782745,0.733189046382904,0.31906411051750183,1.0,0.733189046382904,0.2329314798116684,0.1826142966747284
the,0.42745697498321533,0.23509301245212555,0.733189046382904,0.2572701871395111,0.30239659547805786,0.2834262251853943,0.34342584013938904,0.535392165184021,0.24039390683174133,1.0,0.30233609676361084,0.733189046382904,1.0,0.2801888585090637,0.22068053483963013
earth,0.25883176922798157,0.1400679349899292,0.2329314798116684,0.3071456849575043,0.19425350427627563,0.3746615946292877,0.2093004435300827,0.2486501932144165,0.07765690237283707,0.2801888585090637,0.19265501201152802,0.2329314798116684,0.2801888585090637,1.0,0.17717236280441284
.,0.3567904531955719,0.2097296416759491,0.5352458953857422,0.26078489422798157,0.3613996207714081,0.2054261565208435,0.3711656630039215,0.4645031690597534,0.2041902095079422,0.5934505462646484,0.261873334646225,0.5352458953857422,0.5934505462646484,0.2542925775051117,0.4130953550338745
