,what,'s,the,regional,nickname,for,newcastle,and,its,surrounding,area,?
[,0.010752761736512184,0.01083834283053875,0.07130392640829086,0.17044369876384735,0.08680519461631775,0.10575617104768753,0.11751318722963333,0.08702973276376724,0.0550503171980381,0.10241039097309113,0.10851637274026871,0.011015460826456547
not,0.5449194312095642,0.002583299996331334,0.4310511648654938,0.14189346134662628,0.16809695959091187,0.39280617237091064,0.15139462053775787,0.39099299907684326,0.29187723994255066,0.265680730342865,0.1969728320837021,0.41942933201789856
in,0.30808621644973755,-0.037580832839012146,0.6662389636039734,0.2730329930782318,0.14081448316574097,0.4322226941585541,0.19270820915699005,0.4954058527946472,0.3793783485889435,0.3548126816749573,0.33632898330688477,0.20430970191955566
citation,0.26448965072631836,-0.10153055191040039,0.2536581754684448,0.12257660925388336,0.0426991805434227,0.2762897312641144,0.10028372704982758,0.19042634963989258,0.1777532696723938,0.20492900907993317,0.17484012246131897,0.3382055461406708
given,0.21883496642112732,-0.024429189041256905,0.37508252263069153,0.1521618664264679,0.28008216619491577,0.44294488430023193,0.14818629622459412,0.30185943841934204,0.3061199486255646,0.17766182124614716,0.1887875646352768,0.2570464313030243
],-0.03775298595428467,-0.10493394732475281,-0.04779602214694023,0.016459230333566666,-0.04811280220746994,-0.023346275091171265,0.011369620449841022,-0.03590818867087364,-0.045774105936288834,-0.032204221934080124,-0.01187941525131464,-0.0022520492784678936
the,0.42745697498321533,-0.01540423184633255,1.0,0.3125704526901245,0.20167101919651031,0.4739971458911896,0.2253497689962387,0.5171257257461548,0.559237003326416,0.37289485335350037,0.37834644317626953,0.22068053483963013
regional,0.1532609760761261,-0.06399104744195938,0.3125704526901245,1.0,0.09857622534036636,0.2639368176460266,0.21795861423015594,0.2256052941083908,0.25364136695861816,0.20530764758586884,0.30265524983406067,0.09246466308832169
nickname,0.09292520582675934,0.06089639291167259,0.20167101919651031,0.09857622534036636,1.0,0.21559961140155792,0.19517789781093597,0.1929931789636612,0.22382956743240356,0.08493734151124954,0.1594948023557663,0.11573968082666397
and,0.31309178471565247,0.06895173341035843,0.5171257257461548,0.2256052941083908,0.1929931789636612,0.5064792633056641,0.20204751193523407,1.0,0.3841775357723236,0.330792099237442,0.3044000566005707,0.20544172823429108
dialect,0.22094208002090454,0.046195581555366516,0.18307873606681824,0.3217869699001312,0.19939389824867249,0.1231074184179306,0.13900549709796906,0.15799005329608917,0.18094728887081146,0.2826908826828003,0.23632070422172546,0.11663753539323807
for,0.3017193675041199,-0.07241261005401611,0.4739971458911896,0.2639368176460266,0.21559961140155792,0.9999999403953552,0.2425866425037384,0.5064792633056641,0.2992613911628723,0.2229011356830597,0.20941852033138275,0.264628142118454
people,0.32444337010383606,0.023582622408866882,0.36838498711586,0.24287185072898865,0.14277198910713196,0.24900002777576447,0.16268238425254822,0.3016039729118347,0.24203898012638092,0.2654978632926941,0.37957796454429626,0.23739641904830933
from,0.2737620174884796,-0.01936490088701248,0.40150508284568787,0.20332156121730804,0.19203057885169983,0.314039945602417,0.1747848093509674,0.3601827025413513,0.32706040143966675,0.30142489075660706,0.24361829459667206,0.19969791173934937
newcastle,0.16276082396507263,-0.017262522131204605,0.2253497689962387,0.21795861423015594,0.19517789781093597,0.2425866425037384,1.0000001192092896,0.20204751193523407,0.19941815733909607,0.21553559601306915,0.18503880500793457,0.0902252271771431
and,0.31309178471565247,0.06895173341035843,0.5171257257461548,0.2256052941083908,0.1929931789636612,0.5064792633056641,0.20204751193523407,1.0,0.3841775357723236,0.330792099237442,0.3044000566005707,0.20544172823429108
the,0.42745697498321533,-0.01540423184633255,1.0,0.3125704526901245,0.20167101919651031,0.4739971458911896,0.2253497689962387,0.5171257257461548,0.559237003326416,0.37289485335350037,0.37834644317626953,0.22068053483963013
surrounding,0.2419222742319107,-0.003832252463325858,0.37289485335350037,0.20530764758586884,0.08493734151124954,0.2229011356830597,0.21553559601306915,0.330792099237442,0.32967084646224976,1.0,0.5064348578453064,0.05288729816675186
area,0.21965408325195312,-0.002423585159704089,0.37834644317626953,0.30265524983406067,0.1594948023557663,0.20941852033138275,0.18503880500793457,0.3044000566005707,0.31524658203125,0.5064348578453064,1.0,0.12640461325645447
is,0.28837618231773376,0.02396530658006668,0.5823672413825989,0.1760118007659912,0.23396384716033936,0.43268078565597534,0.1841045320034027,0.3859752118587494,0.4447362422943115,0.30233362317085266,0.29283958673477173,0.22961433231830597
geordie,0.17367403209209442,0.046910110861063004,0.24672424793243408,0.19176389276981354,0.22333195805549622,0.21035152673721313,0.3637544512748718,0.18944191932678223,0.1674419790506363,0.10244492441415787,0.1406659185886383,0.0974646806716919
.,0.3567904531955719,-0.003708066651597619,0.5934505462646484,0.19812951982021332,0.18442372977733612,0.4726039469242096,0.2714749276638031,0.588965117931366,0.3566088080406189,0.23067207634449005,0.2760866582393646,0.4130953550338745
