,what,radio,station,did,abc,purchase,in,may,1960,?
in,0.30808621644973755,0.22625693678855896,0.21784305572509766,0.2593238651752472,0.1697147786617279,0.18969708681106567,1.0,0.3424151837825775,0.03880028799176216,0.20430970191955566
may,0.25739946961402893,0.1495540291070938,0.1360897421836853,0.3038632869720459,0.11823318153619766,0.22985869646072388,0.3424151837825775,0.9999998807907104,-0.0439511202275753,0.2768254578113556
1960,-0.11768999695777893,-0.05379083380103111,0.059159424155950546,-0.14243990182876587,0.1366088092327118,-0.06671562790870667,0.03880028799176216,-0.0439511202275753,1.0,-0.02243652194738388
",",0.3087472915649414,0.25251123309135437,0.2482491284608841,0.3015086054801941,0.2097204476594925,0.220005065202713,0.5201468467712402,0.5007920861244202,0.07487643510103226,0.31091248989105225
abc,0.1317344456911087,0.35354745388031006,0.21780119836330414,0.13353709876537323,1.0000001192092896,0.2114780843257904,0.1697147786617279,0.11823318153619766,0.1366088092327118,0.19065172970294952
purchased,0.1431688368320465,0.14389295876026154,0.1972062885761261,0.19566655158996582,0.22144027054309845,0.8427236080169678,0.18043512105941772,0.14793767035007477,-0.033541128039360046,0.04121813923120499
chicago,0.1521448791027069,0.18016937375068665,0.16843128204345703,0.1900576800107956,0.22184306383132935,0.11845569312572479,0.23921214044094086,0.1818654090166092,0.03032415546476841,0.16446958482265472
radio,0.16863368451595306,0.9999999403953552,0.4113904535770416,0.16486462950706482,0.35354745388031006,0.12306822091341019,0.22625693678855896,0.1495540291070938,-0.05379083380103111,0.08763375133275986
station,0.1613752841949463,0.4113904535770416,1.0,0.11704530566930771,0.21780119836330414,0.17078739404678345,0.21784305572509766,0.1360897421836853,0.059159424155950546,0.12574981153011322
wls,0.18073228001594543,0.20316244661808014,0.14974473416805267,0.2115500420331955,0.16565869748592377,0.13170240819454193,0.13153308629989624,0.27119237184524536,0.05813154578208923,0.2761758863925934
",",0.3087472915649414,0.25251123309135437,0.2482491284608841,0.3015086054801941,0.2097204476594925,0.220005065202713,0.5201468467712402,0.5007920861244202,0.07487643510103226,0.31091248989105225
which,0.5261979103088379,0.20020823180675507,0.20371483266353607,0.2750149369239807,0.1991286277770996,0.2709650695323944,0.4840516746044159,0.23536433279514313,0.001957799308001995,0.25814583897590637
had,0.23849567770957947,0.15167607367038727,0.1625390350818634,0.540525496006012,0.18355661630630493,0.2738136649131775,0.385026752948761,0.2659246623516083,-0.05711713805794716,0.20728366076946259
shared,0.18776313960552216,0.08685529977083206,0.1573999673128128,0.21182450652122498,0.08592123538255692,0.2292567491531372,0.24815475940704346,0.20039263367652893,0.05635254830121994,0.18310070037841797
airtime,0.16083566844463348,0.3263344466686249,0.3395579755306244,0.1494188755750656,0.25232645869255066,0.2800772190093994,0.28300055861473083,0.23931452631950378,-0.03884999454021454,0.13781993091106415
with,0.2464839518070221,0.15850627422332764,0.13595768809318542,0.25472134351730347,0.17432008683681488,0.20768877863883972,0.4080928862094879,0.23512546718120575,-0.00023775920271873474,0.2433311939239502
wenr,0.1628202646970749,0.1764247715473175,0.2695176601409912,0.1952538639307022,0.17898397147655487,0.1102260947227478,0.20833781361579895,0.14964380860328674,0.10895593464374542,0.17338846623897552
since,0.29783400893211365,0.1813439279794693,0.21959927678108215,0.27613121271133423,0.20685888826847076,0.19413746893405914,0.4325680434703827,0.22872541844844818,-0.07278331369161606,0.2876587212085724
the,0.42745697498321533,0.23511973023414612,0.23609806597232819,0.34736719727516174,0.2068762183189392,0.242343470454216,0.6662389636039734,0.2694292366504669,0.038049813359975815,0.22068053483963013
1920s,0.16224609315395355,-0.03388173133134842,0.034908048808574677,0.15890094637870789,0.1299191117286682,0.05773148685693741,0.2103888839483261,-0.0318768247961998,0.06532350927591324,0.09021682292222977
.,0.3567904531955719,0.20650681853294373,0.20999185740947723,0.35288307070732117,0.2567209303379059,0.21300923824310303,0.5591574311256409,0.35826805233955383,0.051420908421278,0.4130953550338745
