,how,long,was,warsaw,occupied,by,germany,?
warsaw,0.13025455176830292,0.11493027210235596,0.2614976763725281,1.0,0.2818708121776581,0.15291538834571838,0.39102694392204285,0.09769917279481888
was,0.16678167879581451,0.1968146562576294,1.0000001192092896,0.2614976763725281,0.3012172281742096,0.4752357602119446,0.2618768811225891,0.18412111699581146
occupied,0.07381170988082886,0.13680602610111237,0.3012172281742096,0.2818708121776581,1.0,0.2622529864311218,0.2830834984779358,0.11679025739431381
by,0.34370526671409607,0.17269869148731232,0.4752357602119446,0.15291538834571838,0.2622529864311218,1.0000001192092896,0.22670169174671173,0.17966607213020325
germany,0.19746148586273193,0.1859750896692276,0.2618768811225891,0.39102694392204285,0.2830834984779358,0.22670169174671173,1.0,0.1388660967350006
from,0.22939439117908478,0.3109167516231537,0.31171464920043945,0.2396499514579773,0.2211068868637085,0.3373257517814636,0.18705032765865326,0.19969791173934937
4,-0.09503452479839325,-0.0008031096076592803,0.23394860327243805,0.22928152978420258,0.2511236071586609,0.14685025811195374,0.13252733647823334,0.010515431873500347
august,0.13369344174861908,0.13138622045516968,0.42620858550071716,0.22139722108840942,0.15566585958003998,0.19738127291202545,0.23634101450443268,0.3006744682788849
1915,0.13828672468662262,0.07724835723638535,0.030526529997587204,0.05100301653146744,0.02767162397503853,0.026124820113182068,0.061001330614089966,0.2152155190706253
until,0.1887991726398468,0.25296199321746826,0.43126991391181946,0.20678816735744476,0.2895779013633728,0.26738616824150085,0.1979057788848877,0.20304496586322784
november,0.1539812684059143,0.1299312561750412,0.4240739941596985,0.2274613380432129,0.12712706625461578,0.2035805881023407,0.17958441376686096,0.3159552216529846
1918,0.007424062117934227,-0.015550431795418262,0.03467994183301926,0.10963220149278641,-0.015456386841833591,0.001004727790132165,0.06215759366750717,0.24529904127120972
.,0.3287222981452942,0.3247973620891571,0.40146201848983765,0.26825499534606934,0.2517492473125458,0.3936232924461365,0.28498756885528564,0.4130953550338745
