,what,plant,cells,have,chloroplasts,in,them,?
the,0.42745697498321533,0.28395459055900574,0.19095487892627716,0.40389683842658997,0.23062430322170258,0.6662389636039734,0.4788833558559418,0.22068053483963013
plant,0.23371253907680511,1.0,0.3855547606945038,0.23837271332740784,0.5019698739051819,0.2597269117832184,0.2667370140552521,0.16613075137138367
cells,0.1758001297712326,0.3855547606945038,1.0,0.294906347990036,0.6158713102340698,0.1711641103029251,0.311052143573761,0.1898086667060852
which,0.5261979103088379,0.29031169414520264,0.3000165820121765,0.49652695655822754,0.3874085545539856,0.4840516746044159,0.4958057701587677,0.25814583897590637
contain,0.1832355558872223,0.30987557768821716,0.3480587899684906,0.49726441502571106,0.3972540497779846,0.23975171148777008,0.3498298227787018,0.18853069841861725
chloroplasts,0.2524593770503998,0.5019698739051819,0.6158713102340698,0.29091566801071167,0.9999999403953552,0.21141497790813446,0.3422272205352783,0.13049766421318054
are,0.29724663496017456,0.26068687438964844,0.2908284366130829,0.6577680706977844,0.3103833794593811,0.3841303884983063,0.5206625461578369,0.24591213464736938
usually,0.32521089911460876,0.23373520374298096,0.2850177586078644,0.46938973665237427,0.28637638688087463,0.28848564624786377,0.3988097310066223,0.19435347616672516
parenchyma,0.24276168644428253,0.38801562786102295,0.40846747159957886,0.28880882263183594,0.4423592984676361,0.2767423987388611,0.2773204743862152,0.2505318224430084
cells,0.1758001297712326,0.3855547606945038,1.0,0.294906347990036,0.6158713102340698,0.1711641103029251,0.311052143573761,0.1898086667060852
",",0.3087472915649414,0.25194862484931946,0.20582014322280884,0.3541618287563324,0.20794041454792023,0.5201468467712402,0.3985835015773773,0.31091248989105225
though,0.4089210331439972,0.21506313979625702,0.1670462042093277,0.5477935671806335,0.27478888630867004,0.3193182945251465,0.47473615407943726,0.3188856542110443
chloroplasts,0.2524593770503998,0.5019698739051819,0.6158713102340698,0.29091566801071167,0.9999999403953552,0.21141497790813446,0.3422272205352783,0.13049766421318054
can,0.34502777457237244,0.20529979467391968,0.32483595609664917,0.5489245653152466,0.29016172885894775,0.26527702808380127,0.4612884819507599,0.3226337134838104
also,0.42747777700424194,0.25983384251594543,0.20753082633018494,0.5252172946929932,0.2819995582103729,0.5073733329772949,0.48266860842704773,0.21848613023757935
be,0.3929833769798279,0.2607407569885254,0.2454119622707367,0.5760743618011475,0.2777445316314697,0.3481820821762085,0.4282684326171875,0.3324260413646698
found,0.1796332150697708,0.2388850301504135,0.17146310210227966,0.32803434133529663,0.23219403624534607,0.39141854643821716,0.22090932726860046,0.16790300607681274
in,0.30808621644973755,0.2597269117832184,0.1711641103029251,0.36843645572662354,0.21141497790813446,1.0,0.29119014739990234,0.20430970191955566
collenchyma,0.19594240188598633,0.4098704159259796,0.4038918912410736,0.24926289916038513,0.45860087871551514,0.2840210199356079,0.22771364450454712,0.15656828880310059
tissue,0.21392318606376648,0.4500470757484436,0.6636805534362793,0.2954682409763336,0.5965873003005981,0.16615663468837738,0.28457149863243103,0.17040768265724182
.,0.3567904531955719,0.25658002495765686,0.2868211269378662,0.41614407300949097,0.23868323862552643,0.5591574311256409,0.39945515990257263,0.4130953550338745
,what,plant,cells,have,chloroplasts,in,them,?
all,0.41981086134910583,0.2260427474975586,0.20084960758686066,0.5559456944465637,0.2712666690349579,0.3335905969142914,0.5754773616790771,0.29575422406196594
green,0.16762696206569672,0.2619551122188568,0.22730255126953125,0.21818293631076813,0.32718849182128906,0.22731968760490417,0.161524698138237,0.11409882456064224
parts,0.3415631353855133,0.22942261397838593,0.22622589766979218,0.2987560033798218,0.26855015754699707,0.3282690644264221,0.3093731105327606,0.12310896813869476
of,0.33290785551071167,0.26645857095718384,0.21305565536022186,0.3802283704280853,0.23179760575294495,0.5696388483047485,0.34503093361854553,0.1826142966747284
a,0.3320399522781372,0.2010895311832428,0.2297232300043106,0.338716596364975,0.24622295796871185,0.539380669593811,0.3151612877845764,0.23916715383529663
plant,0.23371253907680511,1.0,0.3855547606945038,0.23837271332740784,0.5019698739051819,0.2597269117832184,0.2667370140552521,0.16613075137138367
contain,0.1832355558872223,0.30987557768821716,0.3480587899684906,0.49726441502571106,0.3972540497779846,0.23975171148777008,0.3498298227787018,0.18853069841861725
