,what,author,argues,pitching,the,conscience,versus,the,collective,?
however,0.4480680823326111,0.12162242829799652,0.31334370374679565,0.2130289226770401,0.49814513325691223,0.20168723165988922,0.26674771308898926,0.49814513325691223,0.21416662633419037,0.2152075469493866
",",0.3087472915649414,0.3292938470840454,0.23710490763187408,0.23856261372566223,0.4933079481124878,0.23749564588069916,0.25357702374458313,0.4933079481124878,0.2202715277671814,0.31091248989105225
this,0.5489566326141357,0.17701473832130432,0.2178846001625061,0.24048320949077606,0.6274310946464539,0.24503009021282196,0.2084496170282364,0.6274310946464539,0.3009849190711975,0.3155723512172699
definition,0.330344021320343,0.11788934469223022,0.2693297863006592,0.16364388167858124,0.23176956176757812,0.20935405790805817,0.1930200606584549,0.23176956176757812,0.3126443922519684,0.2796523869037628
is,0.28837618231773376,0.20993228256702423,0.2095448076725006,0.20529846847057343,0.5823672413825989,0.21721133589744568,0.2069822996854782,0.5823672413825989,0.24028818309307098,0.22961433231830597
disputed,0.3041055202484131,0.17564348876476288,0.26234957575798035,0.10075902193784714,0.32414746284484863,0.13975076377391815,0.23496335744857788,0.32414746284484863,0.18627379834651947,0.2165134698152542
by,0.2455483376979828,0.17912176251411438,0.2119825929403305,0.14654113352298737,0.4408751428127289,0.16799911856651306,0.17843815684318542,0.4408751428127289,0.24011319875717163,0.17966607213020325
thoreau,0.3263375163078308,0.42066046595573425,0.3252781629562378,0.13081733882427216,0.30504027009010315,0.371707946062088,0.08550994843244553,0.30504027009010315,0.20033124089241028,0.1922200322151184
's,0.02692362666130066,0.08716395497322083,0.013028706423938274,-0.0055769351311028,-0.01540423184633255,0.018972693011164665,0.000624427804723382,-0.01540423184633255,0.032172124832868576,-0.023395681753754616
political,0.21846716105937958,0.32840779423713684,0.3334920108318329,0.1159919947385788,0.20477235317230225,0.36953869462013245,0.08817730098962784,0.20477235317230225,0.24454505741596222,0.17130474746227264
philosophy,0.3238759934902191,0.2563609778881073,0.3773576617240906,0.1694401502609253,0.19357287883758545,0.46625033020973206,0.149341881275177,0.19357287883758545,0.2797340750694275,0.17949430644512177
pitching,0.20106692612171173,0.09867897629737854,0.13908900320529938,1.0,0.2339552342891693,0.14889274537563324,0.13783228397369385,0.2339552342891693,0.11306430399417877,0.16604843735694885
the,0.42745697498321533,0.199458509683609,0.22893615067005157,0.2339552342891693,1.0,0.19696292281150818,0.2504773736000061,1.0,0.27278316020965576,0.22068053483963013
conscience,0.33264052867889404,0.27777186036109924,0.35332590341567993,0.14889274537563324,0.19696292281150818,0.9999998807907104,0.14034819602966309,0.19696292281150818,0.2579817771911621,0.23370258510112762
