,what,practical,role,does,defining,the,complexity,of,problems,play,in,everyday,computing,?
one,0.376489520072937,0.24603000283241272,0.2139739841222763,0.2924913763999939,0.3532964587211609,0.5514441132545471,0.30865851044654846,0.4999135136604309,0.2803315222263336,0.24414552748203278,0.4129433035850525,0.2758879065513611,0.21530213952064514,0.2673267424106598
of,0.33290785551071167,0.2982906401157379,0.1797693818807602,0.3119818866252899,0.345196932554245,0.733189046382904,0.23338180780410767,1.0,0.2450421154499054,0.15350224077701569,0.5696388483047485,0.24470168352127075,0.21062244474887848,0.1826142966747284
the,0.42745697498321533,0.22487887740135193,0.26607486605644226,0.35928019881248474,0.3161003887653351,1.0,0.21171598136425018,0.733189046382904,0.2659202516078949,0.24793598055839539,0.6662389636039734,0.21434803307056427,0.20952925086021423,0.22068053483963013
roles,0.19272974133491516,0.18105895817279816,0.7619503140449524,0.21474215388298035,0.1950584501028061,0.20862428843975067,0.17095351219177246,0.19068127870559692,0.16861385107040405,0.21430233120918274,0.22586841881275177,0.16676096618175507,0.09022462368011475,0.1763966977596283
of,0.33290785551071167,0.2982906401157379,0.1797693818807602,0.3119818866252899,0.345196932554245,0.733189046382904,0.23338180780410767,1.0,0.2450421154499054,0.15350224077701569,0.5696388483047485,0.24470168352127075,0.21062244474887848,0.1826142966747284
computational,0.29464593529701233,0.542055606842041,0.15907394886016846,0.2515602111816406,0.43275532126426697,0.18477948009967804,0.6165810823440552,0.2832651138305664,0.3718613386154175,0.16863059997558594,0.2346334308385849,0.38743889331817627,0.679507315158844,0.21617397665977478
complexity,0.33747240900993347,0.3895232081413269,0.16333165764808655,0.25942569971084595,0.44392067193984985,0.21171598136425018,1.0,0.23338180780410767,0.45911696553230286,0.1552981734275818,0.20012179017066956,0.34578168392181396,0.4770074784755707,0.23062916100025177
theory,0.297923743724823,0.3305765688419342,0.2097673863172531,0.18013693392276764,0.31656908988952637,0.2277156263589859,0.42510488629341125,0.23506702482700348,0.29832348227500916,0.16365087032318115,0.16955126821994781,0.24652411043643951,0.320242702960968,0.1387292891740799
is,0.28837618231773376,0.1970025897026062,0.20847192406654358,0.4403602182865143,0.3014201521873474,0.5823672413825989,0.2541271150112152,0.4854315221309662,0.16985496878623962,0.2174319475889206,0.5394441485404968,0.20871149003505707,0.22068741917610168,0.22961433231830597
to,0.455847829580307,0.29423272609710693,0.17841029167175293,0.4391997456550598,0.26102200150489807,0.535392165184021,0.28336837887763977,0.41548454761505127,0.28989166021347046,0.272149920463562,0.45010748505592346,0.25894641876220703,0.24152100086212158,0.29463258385658264
determine,0.39403316378593445,0.28545767068862915,0.2072194665670395,0.3706101179122925,0.3905887007713318,0.40889066457748413,0.3504055142402649,0.3512130081653595,0.274997353553772,0.2653151750564575,0.28156906366348267,0.2198174148797989,0.3074404001235962,0.2943372130393982
the,0.42745697498321533,0.22487887740135193,0.26607486605644226,0.35928019881248474,0.3161003887653351,1.0,0.21171598136425018,0.733189046382904,0.2659202516078949,0.24793598055839539,0.6662389636039734,0.21434803307056427,0.20952925086021423,0.22068053483963013
practical,0.32826119661331177,1.0,0.17193558812141418,0.265423059463501,0.3657553493976593,0.22487887740135193,0.3895232081413269,0.2982906401157379,0.293827086687088,0.13004876673221588,0.2407281994819641,0.44791409373283386,0.3448247015476227,0.19861027598381042
limits,0.32290130853652954,0.37809887528419495,0.1483442187309265,0.34075209498405457,0.3362814486026764,0.3678794801235199,0.37623152136802673,0.37432539463043213,0.27813950181007385,0.14910908043384552,0.2923375964164734,0.29820334911346436,0.28528785705566406,0.14532171189785004
on,0.34226128458976746,0.22618375718593597,0.16022825241088867,0.2568802833557129,0.2732832431793213,0.5107308030128479,0.22000707685947418,0.3966929316520691,0.22423362731933594,0.22181138396263123,0.46853652596473694,0.2448987066745758,0.15447548031806946,0.2714994251728058
what,0.9999998807907104,0.32826119661331177,0.22614215314388275,0.38564667105674744,0.3507429361343384,0.42745697498321533,0.33747240900993347,0.33290785551071167,0.3306994140148163,0.2180248498916626,0.30808621644973755,0.3378273546695709,0.22399358451366425,0.5051238536834717
computers,0.3057560622692108,0.33377334475517273,0.11700265109539032,0.2260693609714508,0.2368563562631607,0.19305875897407532,0.40732046961784363,0.16629000008106232,0.36343950033187866,0.253780335187912,0.17761334776878357,0.34065401554107666,0.6935829520225525,0.22440722584724426
can,0.34502777457237244,0.31162700057029724,0.11350167542695999,0.5156301856040955,0.2860560715198517,0.312528520822525,0.31849509477615356,0.2603091299533844,0.326987624168396,0.19594496488571167,0.26527702808380127,0.372346967458725,0.23727403581142426,0.3226337134838104
and,0.31309178471565247,0.2858365774154663,0.2629789710044861,0.3461615741252899,0.24292941391468048,0.5171257257461548,0.2520415782928467,0.5116966962814331,0.285793662071228,0.25634777545928955,0.4954058527946472,0.26285234093666077,0.19597235321998596,0.20544172823429108
can,0.34502777457237244,0.31162700057029724,0.11350167542695999,0.5156301856040955,0.2860560715198517,0.312528520822525,0.31849509477615356,0.2603091299533844,0.326987624168396,0.19594496488571167,0.26527702808380127,0.372346967458725,0.23727403581142426,0.3226337134838104
not,0.5449194312095642,0.29700613021850586,0.1859561651945114,0.6355478763580322,0.3335910737514496,0.4310511648654938,0.2915634512901306,0.3307090103626251,0.3441416919231415,0.23099683225154877,0.3403114080429077,0.30037984251976013,0.1667329967021942,0.41942933201789856
do,0.4609605669975281,0.25575223565101624,0.10153601318597794,0.5148232579231262,0.2810910642147064,0.30239659547805786,0.24522222578525543,0.26150479912757874,0.3000752329826355,0.1816197782754898,0.23402775824069977,0.24367637932300568,0.155969500541687,0.4093979299068451
.,0.3567904531955719,0.24168071150779724,0.22067026793956757,0.3022993505001068,0.23315094411373138,0.5934505462646484,0.21340465545654297,0.5352458953857422,0.2602308988571167,0.25552695989608765,0.5591574311256409,0.23138149082660675,0.15927328169345856,0.4130953550338745
