,how,long,after,a,banquet,with,tugh,temur,did,kusala,die,?
however,0.45072782039642334,0.2989967465400696,0.41216742992401123,0.38150349259376526,0.2079724818468094,0.44603243470191956,0.27979791164398193,0.16809460520744324,0.5603718757629395,0.24526061117649078,0.23743721842765808,0.2152075469493866
",",0.22659391164779663,0.3431144952774048,0.38860568404197693,0.427140474319458,0.2638748586177826,0.4120737314224243,0.3907131850719452,0.24545347690582275,0.3015086054801941,0.2856854796409607,0.23915338516235352,0.31091248989105225
kusala,0.16196861863136292,0.19899816811084747,0.21068480610847473,0.23681505024433136,0.19499105215072632,0.16488701105117798,0.3959610164165497,0.42092230916023254,0.16253943741321564,1.0000001192092896,0.08302569389343262,0.24292418360710144
suddenly,0.2890423536300659,0.22304359078407288,0.3789360821247101,0.31334081292152405,0.19748060405254364,0.2404066026210785,0.24869738519191742,0.1434747278690338,0.24603818356990814,0.08846895396709442,0.28413763642311096,0.15163323283195496
died,0.07147754728794098,0.14375270903110504,0.333185076713562,0.19795529544353485,0.16005901992321014,0.1300765573978424,0.26944974064826965,0.20283855497837067,0.2759808599948883,0.140962153673172,0.3548888862133026,0.15254227817058563
only,0.36590442061424255,0.34116268157958984,0.3814272880554199,0.47549712657928467,0.2584938704967499,0.367427259683609,0.21947835385799408,0.19922895729541779,0.4039593040943146,0.21443286538124084,0.2056940346956253,0.2767370045185089
four,0.1955733299255371,0.21566087007522583,0.2891320586204529,0.28236961364746094,0.21161118149757385,0.32876577973365784,0.1198020726442337,0.2043081372976303,0.20222175121307373,0.15443561971187592,0.19115537405014038,0.14532537758350372
days,0.23509229719638824,0.2864958941936493,0.5160173177719116,0.24421119689941406,0.24051621556282043,0.20790712535381317,0.21332386136054993,0.1732495129108429,0.2182302623987198,0.21420417726039886,0.25128474831581116,0.2198754847049713
after,0.23871733248233795,0.25804978609085083,1.0,0.3831600844860077,0.23425549268722534,0.33843478560447693,0.25581976771354675,0.22335144877433777,0.30330467224121094,0.21068480610847473,0.23814667761325836,0.16608688235282898
a,0.29312583804130554,0.3795371353626251,0.3831600844860077,1.0,0.19505980610847473,0.3783375024795532,0.2991655468940735,0.1981619894504547,0.2552328109741211,0.23681505024433136,0.18494991958141327,0.23916715383529663
banquet,0.1318528652191162,0.1446445733308792,0.23425549268722534,0.19505980610847473,1.0000001192092896,0.17775826156139374,0.23653459548950195,0.2189822793006897,0.21522575616836548,0.19499105215072632,0.13102224469184875,0.1380765587091446
with,0.3525622487068176,0.289187490940094,0.33843478560447693,0.3783375024795532,0.17775826156139374,0.9999999403953552,0.23135380446910858,0.21485675871372223,0.25472134351730347,0.16488701105117798,0.12030825018882751,0.2433311939239502
tugh,0.2374228686094284,0.204223170876503,0.25581976771354675,0.2991655468940735,0.23653459548950195,0.23135380446910858,1.0,0.2936148941516876,0.23669704794883728,0.3959610164165497,0.2404104322195053,0.2607990801334381
temür,0.24690347909927368,0.2500702738761902,0.30777668952941895,0.33917394280433655,0.25163933634757996,0.21851564943790436,0.3861598074436188,0.6543241739273071,0.27707138657569885,0.4123532176017761,0.2149718999862671,0.17946790158748627
.,0.3287222981452942,0.3247973620891571,0.35870397090911865,0.50484299659729,0.262433260679245,0.4446153938770294,0.3123989999294281,0.24080398678779602,0.35288307070732117,0.2928466498851776,0.2658497095108032,0.4130953550338745
