,what,makes,the,method,of,trial,division,more,efficient,?
this,0.5489566326141357,0.35891786217689514,0.6274310946464539,0.32054242491722107,0.45148900151252747,0.24076180160045624,0.18374662101268768,0.5430014133453369,0.37687912583351135,0.3155723512172699
routine,0.26591795682907104,0.11781764775514603,0.24846751987934113,0.2617424726486206,0.15560558438301086,0.2850090563297272,0.10291144251823425,0.23264774680137634,0.2439376711845398,0.2015974521636963
can,0.34502777457237244,0.4379176199436188,0.312528520822525,0.2676236629486084,0.2603091299533844,0.15018628537654877,0.13196058571338654,0.4044358730316162,0.3644246757030487,0.3226337134838104
be,0.3929833769798279,0.2906492352485657,0.4248143136501312,0.22966717183589935,0.33904364705085754,0.19706737995147705,0.1233353540301323,0.5445363521575928,0.35431450605392456,0.3324260413646698
implemented,0.2723406255245209,0.20226223766803741,0.21611113846302032,0.2624673545360565,0.20162434875965118,0.16112767159938812,0.207985520362854,0.3184569478034973,0.40102440118789673,0.27067989110946655
more,0.3484537899494171,0.3486642837524414,0.39758381247520447,0.23939663171768188,0.30478984117507935,0.1228238046169281,0.11024904996156693,1.0,0.4292800724506378,0.27894994616508484
efficiently,0.2902039587497711,0.36058518290519714,0.23589400947093964,0.43996357917785645,0.2047252506017685,0.18653787672519684,0.16626019775867462,0.44845128059387207,0.9047418832778931,0.22194626927375793
if,0.5277165174484253,0.355237752199173,0.33724796772003174,0.24273833632469177,0.2557544410228729,0.2020893096923828,0.1012442484498024,0.3938486874103546,0.31770819425582886,0.4441644251346588
a,0.3320399522781372,0.3509295880794525,0.5829201340675354,0.2613512873649597,0.5052502155303955,0.24950183928012848,0.19939710199832916,0.3452818691730499,0.19768685102462769,0.23916715383529663
complete,0.29213884472846985,0.1888013333082199,0.277624249458313,0.2374211549758911,0.3009350895881653,0.29209470748901367,0.07991254329681396,0.2551126182079315,0.2539799213409424,0.11962060630321503
list,0.22366273403167725,0.1600143313407898,0.2863321602344513,0.1303403675556183,0.3032784163951874,0.12681439518928528,0.14214862883090973,0.21929503977298737,0.1354355812072754,0.23630984127521515
of,0.33290785551071167,0.2927091419696808,0.733189046382904,0.22896558046340942,1.0,0.18292099237442017,0.23579144477844238,0.30478984117507935,0.22586165368556976,0.1826142966747284
