,who,relaunched,doctor,who,in,2005,?
the,0.3733934462070465,0.2622116804122925,0.2820442318916321,0.3733934462070465,0.6662389636039734,0.037273142486810684,0.22068053483963013
programme,0.2317163497209549,0.39288413524627686,0.2561369240283966,0.2317163497209549,0.249719500541687,-0.0241193026304245,0.139840766787529
was,0.3318818509578705,0.2584643065929413,0.19672659039497375,0.3318818509578705,0.45514053106307983,0.11356307566165924,0.18412111699581146
relaunched,0.15200558304786682,1.0,0.11113741993904114,0.15200558304786682,0.19494235515594482,0.02353467419743538,0.2140672206878662
in,0.2792111933231354,0.19494235515594482,0.25567495822906494,0.2792111933231354,1.0,0.009931974112987518,0.20430970191955566
2005,0.18423187732696533,0.02353467419743538,0.07635467499494553,0.18423187732696533,0.009931974112987518,1.0,0.10709824413061142
by,0.39727845788002014,0.2377852350473404,0.13681447505950928,0.39727845788002014,0.370934396982193,0.07835020869970322,0.17966607213020325
russell,0.2708354890346527,0.16745731234550476,0.12072563916444778,0.2708354890346527,0.22963611781597137,-0.02201666124165058,0.11642709374427795
t,0.23457348346710205,0.16763553023338318,0.17748232185840607,0.23457348346710205,0.1924382597208023,0.010420853272080421,0.4954066574573517
davies,0.24405889213085175,0.1445498764514923,0.2710629403591156,0.24405889213085175,0.1982824057340622,0.09149517863988876,0.12641099095344543
",",0.3365725874900818,0.2454613596200943,0.20407600700855255,0.3365725874900818,0.5201468467712402,0.11050146818161011,0.31091248989105225
who,0.9999998807907104,0.15200558304786682,0.3504868149757385,0.9999998807907104,0.2792111933231354,0.18423187732696533,0.26220351457595825
was,0.3318818509578705,0.2584643065929413,0.19672659039497375,0.3318818509578705,0.45514053106307983,0.11356307566165924,0.18412111699581146
showrunner,0.219046488404274,0.28644120693206787,0.2384563386440277,0.219046488404274,0.31589633226394653,-0.02306433767080307,0.22338807582855225
and,0.41279885172843933,0.1761792153120041,0.21673844754695892,0.41279885172843933,0.4954058527946472,0.05766887590289116,0.20544172823429108
head,0.20998527109622955,0.15642841160297394,0.13413478434085846,0.20998527109622955,0.21927717328071594,-0.11159089207649231,0.10879309475421906
writer,0.26322856545448303,0.16622978448867798,0.3492763638496399,0.26322856545448303,0.19054412841796875,0.18629077076911926,0.1860569268465042
for,0.37110671401023865,0.19573543965816498,0.1556548923254013,0.37110671401023865,0.4322226941585541,0.04140647128224373,0.264628142118454
the,0.3733934462070465,0.2622116804122925,0.2820442318916321,0.3733934462070465,0.6662389636039734,0.037273142486810684,0.22068053483963013
first,0.39065709710121155,0.31276488304138184,0.27244147658348083,0.39065709710121155,0.4127444326877594,0.12547817826271057,0.18701928853988647
five,0.22190363705158234,0.1591375768184662,0.11301461607217789,0.22190363705158234,0.3634254038333893,0.027762258425354958,0.18342848122119904
years,0.29867154359817505,0.17358259856700897,0.1280619502067566,0.29867154359817505,0.33554986119270325,0.12364557385444641,0.1914375126361847
of,0.2827862501144409,0.19766731560230255,0.16895952820777893,0.2827862501144409,0.5696388483047485,0.017815761268138885,0.1826142966747284
its,0.1326070874929428,0.26270171999931335,0.13759362697601318,0.1326070874929428,0.3793783485889435,-0.1014544665813446,0.15103481709957123
revival,0.1408388912677765,0.26445671916007996,0.13733609020709991,0.1408388912677765,0.2631177604198456,0.10179609805345535,0.09967152029275894
",",0.3365725874900818,0.2454613596200943,0.20407600700855255,0.3365725874900818,0.5201468467712402,0.11050146818161011,0.31091248989105225
produced,0.12907662987709045,0.2715343236923218,0.12545296549797058,0.12907662987709045,0.2542861998081207,-0.01997634768486023,0.1623450517654419
in-house,0.26785269379615784,0.22206901013851166,0.26454970240592957,0.26785269379615784,0.23458699882030487,-0.023781785741448402,0.28404587507247925
by,0.39727845788002014,0.2377852350473404,0.13681447505950928,0.39727845788002014,0.370934396982193,0.07835020869970322,0.17966607213020325
bbc,0.2086644321680069,0.33033812046051025,0.32370132207870483,0.2086644321680069,0.22430340945720673,0.008901940658688545,0.20556949079036713
wales,0.21292947232723236,0.2577993869781494,0.1123022586107254,0.21292947232723236,0.18714384734630585,0.050897739827632904,0.15627945959568024
in,0.2792111933231354,0.19494235515594482,0.25567495822906494,0.2792111933231354,1.0,0.009931974112987518,0.20430970191955566
cardiff,0.14675560593605042,0.22192679345607758,0.24443048238754272,0.14675560593605042,0.21225424110889435,0.02971220389008522,0.1484801173210144
.,0.3541337847709656,0.23689225316047668,0.22361043095588684,0.3541337847709656,0.5591574311256409,0.0678042471408844,0.4130953550338745
