,what,happened,to,the,dynamos,in,the,power,station,?
in,0.30808621644973755,0.3302023410797119,0.45010748505592346,0.6662389636039734,0.22034192085266113,1.0,0.6662389636039734,0.16666220128536224,0.21784305572509766,0.20430970191955566
august,0.2305731326341629,0.262601763010025,0.2269229143857956,0.22689028084278107,0.1428794115781784,0.24307909607887268,0.22689028084278107,0.0998171865940094,0.19047535955905914,0.3006744682788849
1917,0.01769399829208851,0.016028033569455147,-0.00011572400399018079,0.0785154402256012,0.2099045068025589,0.12598910927772522,0.0785154402256012,0.06952402740716934,0.09239564090967178,0.11480528861284256
",",0.3087472915649414,0.3230119049549103,0.44245919585227966,0.4933079481124878,0.22256934642791748,0.5201468467712402,0.4933079481124878,0.2231994867324829,0.2482491284608841,0.31091248989105225
tesla,0.23221199214458466,0.11394373327493668,0.17548894882202148,0.1324402391910553,0.3287908136844635,0.17097744345664978,0.1324402391910553,0.27547121047973633,0.21704843640327454,0.10250775516033173
explained,0.4148936867713928,0.3654997944831848,0.2741650342941284,0.2738569974899292,0.10987826436758041,0.24881379306316376,0.2738569974899292,0.13205458223819733,0.0662943422794342,0.31240519881248474
what,0.9999998807907104,0.47802624106407166,0.455847829580307,0.42745697498321533,0.14836987853050232,0.30808621644973755,0.42745697498321533,0.22216427326202393,0.1613752841949463,0.5051238536834717
had,0.23849567770957947,0.39129355549812317,0.37984350323677063,0.3875846862792969,0.14625924825668335,0.385026752948761,0.3875846862792969,0.24865545332431793,0.1625390350818634,0.20728366076946259
happened,0.47802624106407166,1.0,0.2299996316432953,0.3589572608470917,0.09885106980800629,0.3302023410797119,0.3589572608470917,0.17995017766952515,0.19705583155155182,0.3097429871559143
in,0.30808621644973755,0.3302023410797119,0.45010748505592346,0.6662389636039734,0.22034192085266113,1.0,0.6662389636039734,0.16666220128536224,0.21784305572509766,0.20430970191955566
the,0.42745697498321533,0.3589572608470917,0.535392165184021,1.0,0.2381102442741394,0.6662389636039734,1.0,0.2647338807582855,0.23609806597232819,0.22068053483963013
electrical,0.19961315393447876,0.11873787641525269,0.2649001479148865,0.2523402273654938,0.3604138493537903,0.2146623730659485,0.2523402273654938,0.39343613386154175,0.23858124017715454,0.10923371464014053
experimenter,0.2885882258415222,0.18336719274520874,0.2326885312795639,0.18919293582439423,0.21768221259117126,0.21467573940753937,0.18919293582439423,0.15445742011070251,0.2542542517185211,0.14729253947734833
:,-0.12022944539785385,-0.1138167604804039,-0.09243495017290115,-0.03403344005346298,0.03546052426099777,0.020521078258752823,-0.03403344005346298,-0.0662846490740776,-0.1444110870361328,-0.07156077772378922
``,0.008517155423760414,-0.0633864626288414,0.06720756739377975,0.029072100296616554,0.03439316153526306,0.04765888676047325,0.029072100296616554,0.02305009216070175,-0.12365661561489105,0.0685480609536171
as,0.31749409437179565,0.20198430120944977,0.42092081904411316,0.48381632566452026,0.18194209039211273,0.3887844979763031,0.48381632566452026,0.20748355984687805,0.1954551786184311,0.27043893933296204
an,0.2821882665157318,0.22750021517276764,0.3138085603713989,0.4207492768764496,0.1898823231458664,0.2605783939361572,0.4207492768764496,0.1744573563337326,0.1697155088186264,0.19793890416622162
example,0.3456268310546875,0.21813756227493286,0.3451666533946991,0.3755223751068115,0.1797051578760147,0.30483278632164,0.3755223751068115,0.19909179210662842,0.13679566979408264,0.30374911427497864
of,0.33290785551071167,0.30501094460487366,0.41548454761505127,0.733189046382904,0.20738711953163147,0.5696388483047485,0.733189046382904,0.25273123383522034,0.17394597828388214,0.1826142966747284
what,0.9999998807907104,0.47802624106407166,0.455847829580307,0.42745697498321533,0.14836987853050232,0.30808621644973755,0.42745697498321533,0.22216427326202393,0.1613752841949463,0.5051238536834717
has,0.20338068902492523,0.2525435984134674,0.3619994819164276,0.4177538752555847,0.15769970417022705,0.4173259735107422,0.4177538752555847,0.1779095083475113,0.16654619574546814,0.15994466841220856
been,0.2567804455757141,0.36453282833099365,0.34945759177207947,0.3563927710056305,0.11822003871202469,0.3515113592147827,0.3563927710056305,0.17676851153373718,0.13928157091140747,0.24354910850524902
done,0.40743619203567505,0.392575204372406,0.2647212743759155,0.26575928926467896,0.13307875394821167,0.22165289521217346,0.26575928926467896,0.13683469593524933,0.14383678138256073,0.36153489351272583
with,0.2464839518070221,0.1670946180820465,0.4239959120750427,0.4223487675189972,0.1766856610774994,0.4080928862094879,0.4223487675189972,0.20798128843307495,0.13595768809318542,0.2433311939239502
several,0.22446060180664062,0.2431376427412033,0.36196985840797424,0.40559855103492737,0.21688804030418396,0.39405709505081177,0.40559855103492737,0.15317240357398987,0.16121822595596313,0.15595775842666626
hundred,0.16879357397556305,0.20910601317882538,0.2489847093820572,0.3325488865375519,0.1331106573343277,0.2835391163825989,0.3325488865375519,0.15258067846298218,0.16837817430496216,0.17378053069114685
