,what,do,chloroplasts,use,to,fix,carbon,dioxide,into,sugar,?
to,0.455847829580307,0.38876664638519287,0.23370109498500824,0.47261837124824524,1.0,0.36796489357948303,0.2865152955055237,0.2725624442100525,0.38810545206069946,0.1927138715982437,0.29463258385658264
fix,0.30551406741142273,0.4376363754272461,0.21856124699115753,0.34966230392456055,0.36796489357948303,1.0,0.20927944779396057,0.21650217473506927,0.16944724321365356,0.12386538088321686,0.3740307092666626
carbon,0.22238978743553162,0.21659953892230988,0.5125278234481812,0.28365176916122437,0.2865152955055237,0.20927944779396057,1.0000001192092896,0.796758234500885,0.2529049813747406,0.3457118272781372,0.19040444493293762
dioxide,0.2206297367811203,0.22619783878326416,0.5397605895996094,0.24643896520137787,0.2725624442100525,0.21650217473506927,0.796758234500885,1.0,0.23788505792617798,0.36911681294441223,0.19322559237480164
into,0.2180619090795517,0.20546826720237732,0.18454523384571075,0.2559370994567871,0.38810545206069946,0.16944724321365356,0.2529049813747406,0.23788505792617798,1.0,0.22487950325012207,0.15662476420402527
sugar,0.19485929608345032,0.2003861665725708,0.3517696261405945,0.18492403626441956,0.1927138715982437,0.12386538088321686,0.3457118272781372,0.36911681294441223,0.22487950325012207,1.0000001192092896,0.12463535368442535
molecules,0.2143162339925766,0.19337092339992523,0.6201399564743042,0.23444542288780212,0.2749134600162506,0.24242685735225677,0.5759997963905334,0.5297316312789917,0.28422632813453674,0.32190605998039246,0.17409995198249817
in,0.30808621644973755,0.23402775824069977,0.21141497790813446,0.2715643048286438,0.45010748505592346,0.23493750393390656,0.1857566386461258,0.16380831599235535,0.38021373748779297,0.22404853999614716,0.20430970191955566
the,0.42745697498321533,0.30239659547805786,0.23062430322170258,0.34342584013938904,0.535392165184021,0.24162639677524567,0.23183570802211761,0.21460992097854614,0.39493247866630554,0.24189211428165436,0.22068053483963013
process,0.3466717302799225,0.25918635725975037,0.4006134271621704,0.3129459619522095,0.35462963581085205,0.3020842969417572,0.3372330665588379,0.35180172324180603,0.2309553474187851,0.23583388328552246,0.2460896074771881
of,0.33290785551071167,0.26150479912757874,0.23179760575294495,0.2750902473926544,0.41548454761505127,0.16022303700447083,0.22596238553524017,0.19224253296852112,0.32255905866622925,0.21003012359142303,0.1826142966747284
photosynthesis,0.261831134557724,0.28476712107658386,0.7245578765869141,0.28847578167915344,0.30760520696640015,0.22774678468704224,0.5689888596534729,0.6067628264427185,0.26107364892959595,0.39104896783828735,0.1871609091758728
",",0.3087472915649414,0.3283645510673523,0.20794041454792023,0.3276674151420593,0.44245919585227966,0.259169340133667,0.21631208062171936,0.20329879224300385,0.2826121151447296,0.2674831748008728,0.31091248989105225
chloroplasts,0.2524593770503998,0.2621478736400604,0.9999999403953552,0.2257048487663269,0.23370109498500824,0.21856124699115753,0.5125278234481812,0.5397605895996094,0.18454523384571075,0.3517696261405945,0.13049766421318054
use,0.3453877568244934,0.4545445144176483,0.2257048487663269,1.0,0.47261837124824524,0.34966230392456055,0.28365176916122437,0.24643896520137787,0.2559370994567871,0.18492403626441956,0.32795652747154236
an,0.2821882665157318,0.25865980982780457,0.15571507811546326,0.24603988230228424,0.3138085603713989,0.19069965183734894,0.1692325621843338,0.1641395539045334,0.2105669528245926,0.09561385959386826,0.19793890416622162
enzyme,0.20453688502311707,0.24075697362422943,0.5978549122810364,0.13061462342739105,0.1905772089958191,0.19257773458957672,0.46322715282440186,0.47252410650253296,0.24440142512321472,0.386786550283432,0.19525861740112305
called,0.3235960602760315,0.3090135157108307,0.2654791474342346,0.30098897218704224,0.2987143397331238,0.14134372770786285,0.18071772158145905,0.1571435183286667,0.3495192527770996,0.22188033163547516,0.18963319063186646
rubisco,0.18222950398921967,0.1936156153678894,0.4362456798553467,0.2795643210411072,0.2258824110031128,0.16523636877536774,0.4631785452365875,0.4264138340950012,0.2386668473482132,0.4042823016643524,0.14757676422595978
.,0.3567904531955719,0.3613996207714081,0.23868323862552643,0.3711656630039215,0.4645031690597534,0.27836596965789795,0.23824366927146912,0.22883257269859314,0.26250120997428894,0.19899578392505646,0.4130953550338745
