,to,what,is,singlet,oxygen,more,reactive,?
it,0.513711154460907,0.45803478360176086,0.6328473687171936,0.19796866178512573,0.26699385046958923,0.42550966143608093,0.2925429046154022,0.25732165575027466
is,0.42745086550712585,0.28837618231773376,1.0,0.24867701530456543,0.21825239062309265,0.2946030795574188,0.26290470361709595,0.22961433231830597
much,0.40610215067863464,0.45316147804260254,0.3156087100505829,0.13314463198184967,0.2913925051689148,0.5936280488967896,0.32360145449638367,0.23442231118679047
more,0.47084665298461914,0.3484537899494171,0.2946030795574188,0.2197728157043457,0.265546053647995,1.0,0.34369850158691406,0.27894994616508484
reactive,0.23919129371643066,0.26621317863464355,0.26290470361709595,0.22653500735759735,0.516227126121521,0.34369850158691406,0.9999999403953552,0.20790518820285797
towards,0.3675195574760437,0.281793475151062,0.22460906207561493,0.07863053679466248,0.13157996535301208,0.27100884914398193,0.2268313765525818,0.13023285567760468
common,0.21109338104724884,0.19989867508411407,0.2952355444431305,0.10046469420194626,0.2612002193927765,0.25056302547454834,0.28428345918655396,0.20434872806072235
organic,0.21340098977088928,0.2020787000656128,0.18208640813827515,0.22301501035690308,0.44130775332450867,0.22592611610889435,0.540645956993103,0.18969349563121796
molecules,0.2749134600162506,0.2143162339925766,0.20481984317302704,0.26904696226119995,0.5126039981842041,0.27588149905204773,0.5106874108314514,0.17409995198249817
than,0.3192550539970398,0.29388150572776794,0.2839990258216858,0.18079715967178345,0.25305241346359253,0.726518988609314,0.28686925768852234,0.24917294085025787
is,0.42745086550712585,0.28837618231773376,1.0,0.24867701530456543,0.21825239062309265,0.2946030795574188,0.26290470361709595,0.22961433231830597
molecular,0.22402936220169067,0.20577901601791382,0.2143259346485138,0.26185673475265503,0.4132167398929596,0.2440636157989502,0.39486604928970337,0.1327144205570221
oxygen,0.24193501472473145,0.16781960427761078,0.21825239062309265,0.21857549250125885,0.9999999403953552,0.265546053647995,0.516227126121521,0.16786395013332367
per,0.2519395351409912,0.21384303271770477,0.22395510971546173,0.19000469148159027,0.17509418725967407,0.2704499363899231,0.13868628442287445,0.22323818504810333
se,0.20814457535743713,0.15426570177078247,0.14981012046337128,0.1281730681657791,0.15195909142494202,0.11954911053180695,0.1807323396205902,0.2249229997396469
.,0.4645031690597534,0.3567904531955719,0.4569662809371948,0.2575233280658722,0.2554275095462799,0.4070230722427368,0.29787561297416687,0.4130953550338745
