,if,np,is,not,equal,to,p,",",viewed,through,this,lens,",",what,type,of,problems,can,also,be,considered,intractable,?
if,1.0,0.30719754099845886,0.30927813053131104,0.6100378632545471,0.385101854801178,0.4559597074985504,0.17701710760593414,0.257730096578598,0.2113424390554428,0.24420002102851868,0.48231831192970276,0.25378650426864624,0.257730096578598,0.5277165174484253,0.2994624078273773,0.2557544410228729,0.3437747657299042,0.5903681516647339,0.41293784976005554,0.5628611445426941,0.2923738658428192,0.37777620553970337,0.4441644251346588
np,0.30719754099845886,1.0,0.2208731323480606,0.2639980912208557,0.19781428575515747,0.12644809484481812,0.24241971969604492,0.1823609173297882,0.12847661972045898,0.06307356059551239,0.20638705790042877,0.18870103359222412,0.1823609173297882,0.273849755525589,0.22974269092082977,0.13667912781238556,0.3503378927707672,0.29079514741897583,0.18021249771118164,0.24087633192539215,0.130210280418396,0.22857272624969482,0.25319206714630127
is,0.30927813053131104,0.2208731323480606,1.0,0.3776007890701294,0.20287640392780304,0.42745086550712585,0.11757151037454605,0.4691906273365021,0.24106821417808533,0.27805060148239136,0.480927973985672,0.30136236548423767,0.4691906273365021,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.16985496878623962,0.44256699085235596,0.5012649297714233,0.4819129705429077,0.4096149802207947,0.20922605693340302,0.22961433231830597
not,0.6100378632545471,0.2639980912208557,0.3776007890701294,0.9999999403953552,0.3458034098148346,0.5149973034858704,0.18450647592544556,0.3769696354866028,0.22306884825229645,0.2175942063331604,0.557635486125946,0.19353486597537994,0.3769696354866028,0.5449194312095642,0.2697264850139618,0.3307090103626251,0.3441416919231415,0.49270012974739075,0.4917296767234802,0.5788898468017578,0.41997629404067993,0.32029393315315247,0.41942933201789856
the,0.33724796772003174,0.14565430581569672,0.5823672413825989,0.4310511648654938,0.21154357492923737,0.535392165184021,0.16481639444828033,0.4933079481124878,0.34172287583351135,0.44071322679519653,0.6274310946464539,0.2470427006483078,0.4933079481124878,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2659202516078949,0.312528520822525,0.6021018624305725,0.4248143136501312,0.4028765559196472,0.2607998549938202,0.22068053483963013
same,0.37259185314178467,0.19468389451503754,0.31152886152267456,0.4056454598903656,0.42329803109169006,0.3205692768096924,0.1386909782886505,0.3207721710205078,0.22764235734939575,0.1991325169801712,0.49053558707237244,0.22258144617080688,0.3207721710205078,0.3764382302761078,0.23870258033275604,0.3808329105377197,0.2390366494655609,0.3393253982067108,0.4217197597026825,0.3600577712059021,0.2876299321651459,0.2586992084980011,0.22649677097797394
as,0.3354816734790802,0.12944991886615753,0.43216490745544434,0.5105602741241455,0.2172086089849472,0.42092081904411316,0.1706937700510025,0.48816442489624023,0.2334030270576477,0.24602261185646057,0.43993282318115234,0.08574191480875015,0.48816442489624023,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.22810567915439606,0.3245031237602234,0.5774298906326294,0.5230465531349182,0.4031961262226105,0.19319948554039001,0.27043893933296204
p,0.17701710760593414,0.24241971969604492,0.11757151037454605,0.18450647592544556,0.13015535473823547,0.14269764721393585,1.0,0.291064590215683,0.10893107950687408,0.1788630187511444,0.1763012558221817,0.09513932466506958,0.291064590215683,0.18586504459381104,0.19127611815929413,0.18174134194850922,0.1230422630906105,0.15593776106834412,0.13961121439933777,0.12313798069953918,0.0441615991294384,0.11895983666181564,0.20840544998645782
",",0.257730096578598,0.1823609173297882,0.4691906273365021,0.3769696354866028,0.2120320051908493,0.44245919585227966,0.291064590215683,1.0000001192092896,0.2206074744462967,0.3060276508331299,0.4316047728061676,0.20018211007118225,1.0000001192092896,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2596952021121979,0.3139454126358032,0.4717654287815094,0.39254459738731384,0.32932984828948975,0.18944703042507172,0.31091248989105225
then,0.5936081409454346,0.16720212996006012,0.24618037045001984,0.4044761657714844,0.24566176533699036,0.5203860402107239,0.21893106400966644,0.36768391728401184,0.11536618322134018,0.38063952326774597,0.3881414830684662,0.15145273506641388,0.36768391728401184,0.4072686731815338,0.19247165322303772,0.2937326431274414,0.23982973396778107,0.3455607295036316,0.42163217067718506,0.38089728355407715,0.13687272369861603,0.25968030095100403,0.2884598970413208
