,how,much,did,the,statement,predict,global,surface,temperature,would,increase,by,2100,?
the,0.33890387415885925,0.35023224353790283,0.34736719727516174,1.0,0.20954233407974243,0.18473787605762482,0.17898012697696686,0.2555135488510132,0.27585095167160034,0.4133751392364502,0.32049667835235596,0.4408751428127289,0.208340585231781,0.22068053483963013
statement,0.3026704788208008,0.2154926359653473,0.2726841866970062,0.20954233407974243,1.0000001192092896,0.3401532471179962,0.22331616282463074,0.1780204027891159,0.1284111589193344,0.35126933455467224,0.16846567392349243,0.19928686320781708,0.10836051404476166,0.28978636860847473
",",0.22659391164779663,0.36182254552841187,0.3015086054801941,0.4933079481124878,0.22861604392528534,0.13827680051326752,0.1937657743692398,0.23000483214855194,0.2439086139202118,0.32586824893951416,0.20005576312541962,0.3680937886238098,0.14958688616752625,0.31091248989105225
also,0.43506327271461487,0.4144500195980072,0.39334940910339355,0.6021018624305725,0.26974233984947205,0.25466448068618774,0.2312089055776596,0.24092766642570496,0.23163153231143951,0.4152511954307556,0.318539559841156,0.3824189305305481,0.17357254028320312,0.21848613023757935
published,0.17517933249473572,0.17028161883354187,0.17877818644046783,0.22017472982406616,0.20140144228935242,0.21030794084072113,0.17623333632946014,0.1280181109905243,0.12926745414733887,0.11605832725763321,0.05339481681585312,0.32986849546432495,0.10675404220819473,0.16280238330364227
as,0.33782753348350525,0.36514025926589966,0.3596470057964325,0.48381632566452026,0.24294103682041168,0.24218490719795227,0.1667635440826416,0.15905998647212982,0.16889309883117676,0.3824005722999573,0.24019303917884827,0.3815547823905945,0.198198139667511,0.27043893933296204
an,0.2520636022090912,0.2866077721118927,0.22598257660865784,0.4207492768764496,0.2489083856344223,0.17881539463996887,0.1917995810508728,0.18808452785015106,0.19646641612052917,0.2650099992752075,0.22955887019634247,0.2719563841819763,0.12347275018692017,0.19793890416622162
editorial,0.16777488589286804,0.06807604432106018,0.06445091962814331,0.1921989768743515,0.30550417304039,0.1327211558818817,0.2417590469121933,0.13081477582454681,0.11276450753211975,0.1823604702949524,0.12725357711315155,0.09981897473335266,0.09155120700597763,0.20875844359397888
in,0.2601168751716614,0.2725222110748291,0.2593238651752472,0.6662389636039734,0.17217876017093658,0.1826777160167694,0.10151144117116928,0.20246390998363495,0.269207626581192,0.30461156368255615,0.25893163681030273,0.370934396982193,0.1920589804649353,0.20430970191955566
the,0.33890387415885925,0.35023224353790283,0.34736719727516174,1.0,0.20954233407974243,0.18473787605762482,0.17898012697696686,0.2555135488510132,0.27585095167160034,0.4133751392364502,0.32049667835235596,0.4408751428127289,0.208340585231781,0.22068053483963013
