,what,decreased,in,number,between,1984,and,1991,?
david,0.1299152821302414,0.08240026980638504,0.17107756435871124,0.15397752821445465,0.08728943020105362,0.21665610373020172,0.22867785394191742,0.06697657704353333,0.04158485680818558
rodda,0.2421046495437622,0.17638364434242249,0.21787749230861664,0.14444823563098907,0.1488228291273117,0.19131244719028473,0.2588455379009247,0.025365615263581276,0.2495654672384262
noted,0.16981294751167297,0.2888363301753998,0.2277849018573761,0.1568181812763214,0.17264239490032196,0.10727490484714508,0.3326333463191986,0.06248472258448601,0.13014346361160278
that,0.6297725439071655,0.26465338468551636,0.435920387506485,0.32951247692108154,0.299440860748291,-0.13985131680965424,0.4731321930885315,0.07669968903064728,0.32716336846351624
from,0.2737620174884796,0.17323623597621918,0.4274188280105591,0.24833418428897858,0.3269653618335724,-0.003392525715753436,0.3601827025413513,0.03472738340497017,0.19969791173934937
1984,-0.09343484789133072,0.01024753786623478,0.006334475241601467,-0.03837456554174423,0.008771602064371109,1.0,0.01118233148008585,-0.20838677883148193,0.07765956968069077
and,0.31309178471565247,0.23818784952163696,0.4954058527946472,0.28545793890953064,0.40645647048950195,0.01118233148008585,1.0,-0.0026356412563472986,0.20544172823429108
1991,0.15930123627185822,-0.06003214418888092,0.0019440409960225224,-0.05198589339852333,0.00448233587667346,-0.20838677883148193,-0.0026356412563472986,1.0,0.175977423787117
",",0.3087472915649414,0.18292158842086792,0.5201468467712402,0.2535701394081116,0.27714940905570984,0.1623975932598114,0.6633074283599854,0.1221209466457367,0.31091248989105225
the,0.42745697498321533,0.27965670824050903,0.6662389636039734,0.35145696997642517,0.39067012071609497,-0.007670710328966379,0.5171257257461548,0.002508036559447646,0.22068053483963013
number,0.23046229779720306,0.23498481512069702,0.3024539053440094,1.0,0.22219079732894897,-0.03837456554174423,0.28545793890953064,-0.05198589339852333,0.19256845116615295
of,0.33290785551071167,0.2523523271083832,0.5696388483047485,0.2778518795967102,0.3737983703613281,0.018355052918195724,0.5116966962814331,-0.004689669236540794,0.1826142966747284
quality,0.28952741622924805,0.3111457824707031,0.18835508823394775,0.22619561851024628,0.14567331969738007,-0.04147983714938164,0.29868626594543457,-0.00441253324970603,0.23524069786071777
rental,0.17012232542037964,0.25482112169265747,0.24991044402122498,0.21825307607650757,0.2155613750219345,-0.03503035753965378,0.22526013851165771,-0.09907901287078857,0.13753974437713623
units,0.1804584264755249,0.25918257236480713,0.24701444804668427,0.26558542251586914,0.2236792892217636,0.00770181231200695,0.2126137614250183,-0.06779075413942337,0.089388407766819
decreased,0.17693571746349335,1.0000001192092896,0.22973182797431946,0.23498481512069702,0.24393899738788605,0.01024753786623478,0.23818784952163696,-0.06003214418888092,0.08292442560195923
as,0.31749409437179565,0.19249692559242249,0.3887844979763031,0.26786008477211,0.22009976208209991,0.08574230223894119,0.49487000703811646,0.037693798542022705,0.27043893933296204
the,0.42745697498321533,0.27965670824050903,0.6662389636039734,0.35145696997642517,0.39067012071609497,-0.007670710328966379,0.5171257257461548,0.002508036559447646,0.22068053483963013
demand,0.2007312774658203,0.28211161494255066,0.22946900129318237,0.28563258051872253,0.20498093962669373,-0.10499563813209534,0.3240898847579956,0.0938367247581482,0.13359291851520538
for,0.3017193675041199,0.22295188903808594,0.4322226941585541,0.2861633002758026,0.24671313166618347,-0.06237468123435974,0.5064792633056641,0.07042362540960312,0.264628142118454
higher,0.2538340389728546,0.41332170367240906,0.23285751044750214,0.22863797843456268,0.19199389219284058,-0.08833275735378265,0.3147866129875183,-0.023733101785182953,0.15679465234279633
quality,0.28952741622924805,0.3111457824707031,0.18835508823394775,0.22619561851024628,0.14567331969738007,-0.04147983714938164,0.29868626594543457,-0.00441253324970603,0.23524069786071777
housing,0.14871764183044434,0.30711930990219116,0.255455881357193,0.17586421966552734,0.1812686175107956,-0.004079568665474653,0.29145196080207825,0.09264596551656723,0.11872038245201111
increased,0.1599731743335724,0.8272793292999268,0.244624063372612,0.2847883999347687,0.2902418076992035,-0.007706257048994303,0.2943111062049866,-0.0309465192258358,0.09587585180997849
(,0.2411840260028839,0.15730959177017212,0.3087427020072937,0.16158060729503632,0.23924681544303894,0.2548593580722809,0.4862271547317505,0.02483857050538063,0.40561532974243164
rhoda,0.1503468006849289,0.10319835692644119,0.2307107001543045,0.11715426295995712,0.06519421935081482,0.22576038539409637,0.2760184705257416,-0.07833626866340637,0.14612112939357758
1994:148,0.057171497493982315,-0.12160056084394455,0.007417426910251379,-0.05656729266047478,-0.06736454367637634,-0.2599186301231384,-0.0538986474275589,0.8761864900588989,0.06417020410299301
),0.26259949803352356,0.1362527757883072,0.3326910734176636,0.19318018853664398,0.2502231299877167,0.21429310739040375,0.4961937665939331,0.050773344933986664,0.42300865054130554
.,0.3567904531955719,0.22701291739940643,0.5591574311256409,0.3256329298019409,0.30295518040657043,0.08901527523994446,0.588965117931366,0.07545287907123566,0.4130953550338745
