,why,did,oil,start,getting,priced,in,terms,of,gold,?
because,0.5926418900489807,0.45674043893814087,0.21334749460220337,0.296660453081131,0.4682416021823883,0.255420982837677,0.37423941493034363,0.22245612740516663,0.4075504541397095,0.17432862520217896,0.2528740465641022
oil,0.20345439016819,0.10956666618585587,1.0,0.1763714849948883,0.1775377094745636,0.35831913352012634,0.21800900995731354,0.15678100287914276,0.22900764644145966,0.2072755992412567,0.14867261052131653
was,0.23341619968414307,0.41399896144866943,0.15102124214172363,0.20079405605793,0.2391812801361084,0.285179078578949,0.45514053106307983,0.22082383930683136,0.4069072902202606,0.24345459043979645,0.18412111699581146
priced,0.09133362770080566,0.26064127683639526,0.35831913352012634,0.18377883732318878,0.17692673206329346,1.0,0.26437777280807495,0.25133848190307617,0.18349500000476837,0.2682841122150421,0.09679431468248367
in,0.23227278888225555,0.2593238651752472,0.21800900995731354,0.29979339241981506,0.2387998104095459,0.26437777280807495,1.0,0.2410934716463089,0.5696388483047485,0.21206732094287872,0.20430970191955566
dollars,0.19356152415275574,0.2074357569217682,0.29180729389190674,0.1833992898464203,0.13442988693714142,0.3799440264701843,0.21489819884300232,0.17633487284183502,0.1848512589931488,0.27096307277679443,0.21298730373382568
",",0.2827242314815521,0.3015086054801941,0.20043784379959106,0.2934366464614868,0.2384856641292572,0.2554280161857605,0.5201468467712402,0.26854002475738525,0.4946078956127167,0.28787803649902344,0.31091248989105225
oil,0.20345439016819,0.10956666618585587,1.0,0.1763714849948883,0.1775377094745636,0.35831913352012634,0.21800900995731354,0.15678100287914276,0.22900764644145966,0.2072755992412567,0.14867261052131653
producers,0.13624726235866547,0.2055254876613617,0.2157101184129715,0.1644120067358017,0.19722992181777954,0.29636839032173157,0.15846984088420868,0.18610897660255432,0.131597638130188,0.1602989286184311,0.15943901240825653
',0.27400460839271545,0.25488927960395813,0.12406730651855469,0.23189935088157654,0.19276657700538635,0.13752412796020508,0.4158826768398285,0.19464972615242004,0.39136970043182373,0.19723203778266907,0.330942302942276
real,0.2335113137960434,0.20014923810958862,0.17727981507778168,0.12138263136148453,0.161996528506279,0.19154658913612366,0.1725122183561325,0.16704493761062622,0.19599324464797974,0.09432820975780487,0.20019613206386566
income,0.16091704368591309,0.20239697396755219,0.2985721230506897,0.13605131208896637,0.15455153584480286,0.4033142924308777,0.1795814335346222,0.1901540458202362,0.2581324577331543,0.2246481031179428,0.14935168623924255
decreased,0.11252754926681519,0.18987904489040375,0.16602955758571625,0.2507569193840027,0.3379579484462738,0.32690078020095825,0.22973182797431946,0.1987563967704773,0.2523523271083832,0.05816807225346565,0.08292442560195923
.,0.32909876108169556,0.35288307070732117,0.22117017209529877,0.3501981496810913,0.33020880818367004,0.22330304980278015,0.5591574311256409,0.24108539521694183,0.5352458953857422,0.22364865243434906,0.4130953550338745
,why,did,oil,start,getting,priced,in,terms,of,gold,?
the,0.30742117762565613,0.34736719727516174,0.21849922835826874,0.3656389117240906,0.2930673360824585,0.22030994296073914,0.6662389636039734,0.29706791043281555,0.733189046382904,0.27136439085006714,0.22068053483963013
