,what,liberal,succeeded,joseph,willard,as,president,?
henry,0.1911626160144806,0.179982528090477,0.2484428435564041,0.3313477039337158,0.3292146921157837,0.2156684696674347,0.22286184132099152,0.16836383938789368
ware,0.12185490131378174,0.11015642434358597,0.1342008113861084,0.1812564879655838,0.25091323256492615,0.1825774610042572,0.08281682431697845,0.07426849752664566
was,0.22111038863658905,0.2703799605369568,0.36064937710762024,0.29824966192245483,0.25142335891723633,0.3677520453929901,0.2505730390548706,0.18412111699581146
elected,0.16005432605743408,0.40070292353630066,0.47905197739601135,0.15476053953170776,0.15457189083099365,0.22274595499038696,0.5661197304725647,0.1966295689344406
to,0.455847829580307,0.19244597852230072,0.18760520219802856,0.1829531341791153,0.13246454298496246,0.42092081904411316,0.21247753500938416,0.29463258385658264
the,0.42745697498321533,0.17276059091091156,0.2137616127729416,0.2251148819923401,0.23236997425556183,0.48381632566452026,0.24330610036849976,0.22068053483963013
chair,0.0931253656744957,0.2272396981716156,0.20591627061367035,0.0883222222328186,0.19669783115386963,0.17720340192317963,0.28833332657814026,0.12348068505525589
in,0.30808621644973755,0.1513776332139969,0.1560104489326477,0.12985283136367798,0.22429418563842773,0.3887844979763031,0.18811661005020142,0.20430970191955566
1805,0.21602052450180054,0.09249702095985413,0.09895308315753937,0.11033762246370316,0.07360979169607162,0.12689587473869324,0.03268229961395264,0.2008146047592163
",",0.3087472915649414,0.25460079312324524,0.263449490070343,0.24271315336227417,0.29941198229789734,0.48816442489624023,0.26552814245224,0.31091248989105225
and,0.31309178471565247,0.2580231726169586,0.2175402045249939,0.181125670671463,0.2522672116756439,0.49487000703811646,0.23286236822605133,0.20544172823429108
the,0.42745697498321533,0.17276059091091156,0.2137616127729416,0.2251148819923401,0.23236997425556183,0.48381632566452026,0.24330610036849976,0.22068053483963013
liberal,0.20277564227581024,1.0000001192092896,0.22714535892009735,0.20261332392692566,0.2444096952676773,0.22359983623027802,0.3083021640777588,0.13139645755290985
samuel,0.14263929426670074,0.1819370687007904,0.10172399878501892,0.3370753228664398,0.3407551944255829,0.1624153107404709,0.22952257096767426,0.09954892843961716
webber,0.07097403705120087,0.1636163741350174,0.21516074240207672,0.1957148015499115,0.3229764401912689,0.28748393058776855,0.1709684580564499,0.07120462507009506
was,0.22111038863658905,0.2703799605369568,0.36064937710762024,0.29824966192245483,0.25142335891723633,0.3677520453929901,0.2505730390548706,0.18412111699581146
appointed,0.1642993837594986,0.2935769855976105,0.47883784770965576,0.20222550630569458,0.1973203718662262,0.2932926416397095,0.4252060055732727,0.13895352184772491
to,0.455847829580307,0.19244597852230072,0.18760520219802856,0.1829531341791153,0.13246454298496246,0.42092081904411316,0.21247753500938416,0.29463258385658264
the,0.42745697498321533,0.17276059091091156,0.2137616127729416,0.2251148819923401,0.23236997425556183,0.48381632566452026,0.24330610036849976,0.22068053483963013
presidency,0.23257401585578918,0.349029541015625,0.38103410601615906,0.2155591994524002,0.10984807461500168,0.20143486559391022,0.7429542541503906,0.135736346244812
of,0.33290785551071167,0.21689234673976898,0.26539725065231323,0.20551647245883942,0.17891305685043335,0.3886612355709076,0.21610750257968903,0.1826142966747284
harvard,0.2177114188671112,0.3122308552265167,0.16898268461227417,0.1876031458377838,0.31808751821517944,0.19990062713623047,0.2796068787574768,0.11685016006231308
