,how,often,are,elections,held,for,the,victorian,parliament,?
elections,0.21181289851665497,0.15921851992607117,0.20126916468143463,1.0,0.380016028881073,0.24397696554660797,0.23646192252635956,0.2179700881242752,0.5661953687667847,0.2319818139076233
for,0.3308170735836029,0.37495917081832886,0.3895993232727051,0.24397696554660797,0.2495253086090088,0.9999999403953552,0.4739971458911896,0.24997268617153168,0.23382046818733215,0.264628142118454
the,0.33890387415885925,0.38004449009895325,0.40399202704429626,0.23646192252635956,0.32185450196266174,0.4739971458911896,1.0,0.2753658890724182,0.26521381735801697,0.22068053483963013
victorian,0.18811437487602234,0.28828057646751404,0.20787982642650604,0.2179700881242752,0.2036893367767334,0.24997268617153168,0.2753658890724182,0.9999998807907104,0.3065771162509918,0.07572567462921143
parliament,0.13635116815567017,0.14581696689128876,0.09480422735214233,0.5661953687667847,0.24202166497707367,0.23382046818733215,0.26521381735801697,0.3065771162509918,1.0,0.1586504578590393
are,0.311818927526474,0.5443448424339294,1.0,0.20126916468143463,0.18270234763622284,0.3895993232727051,0.40399202704429626,0.20787982642650604,0.09480422735214233,0.24591213464736938
now,0.2802366018295288,0.2560572028160095,0.3292219042778015,0.19416992366313934,0.21959549188613892,0.3636377453804016,0.38266420364379883,0.15222997963428497,0.22966594994068146,0.29641881585121155
fixed,0.27287355065345764,0.23615553975105286,0.2600231468677521,0.1730276644229889,0.24629364907741547,0.19920459389686584,0.27127328515052795,0.13448582589626312,0.10281974822282791,0.2728462815284729
and,0.33647966384887695,0.42465832829475403,0.48576638102531433,0.21463163197040558,0.22757986187934875,0.5064792633056641,0.5171257257461548,0.30684709548950195,0.26227831840515137,0.20544172823429108
occur,0.17423073947429657,0.36650773882865906,0.3900270164012909,0.19663584232330322,0.22969286143779755,0.17766660451889038,0.26611819863319397,0.10383658856153488,0.10406659543514252,0.17999543249607086
in,0.2601168751716614,0.3380797803401947,0.3841303884983063,0.2604275643825531,0.3127288818359375,0.4322226941585541,0.6662389636039734,0.21606117486953735,0.2323146015405655,0.20430970191955566
november,0.1539812684059143,0.10348633676767349,0.08200456947088242,0.24208088219165802,0.2454851120710373,0.276843786239624,0.25734350085258484,0.12844185531139374,0.2464720904827118,0.3159552216529846
every,0.31805798411369324,0.35310158133506775,0.3086106479167938,0.2575068473815918,0.36404818296432495,0.35918429493904114,0.4023689329624176,0.16135349869728088,0.1874624788761139,0.24066033959388733
four,0.1955733299255371,0.2710466682910919,0.3568944036960602,0.1744595170021057,0.24638524651527405,0.27783235907554626,0.40344667434692383,0.16930422186851501,0.15248431265354156,0.14532537758350372
years,0.21949264407157898,0.16248072683811188,0.17491404712200165,0.2703917622566223,0.21447817981243134,0.2878222167491913,0.2912273406982422,0.2500039339065552,0.16476571559906006,0.1914375126361847
.,0.3287222981452942,0.30710849165916443,0.3452940285205841,0.27339601516723633,0.2628571093082428,0.4726039469242096,0.5934505462646484,0.22745303809642792,0.23747818171977997,0.4130953550338745
