,what,does,vbns,stand,for
the,0.42745697498321533,0.35928019881248474,0.2813221216201782,0.2531624138355255,0.4739971458911896
very,0.37053924798965454,0.3347555100917816,0.16884855926036835,0.15444962680339813,0.3639320731163025
high-speed,0.3194008469581604,0.3148736357688904,0.250329852104187,0.2335340678691864,0.33698123693466187
backbone,0.19907666742801666,0.21761512756347656,0.2994491159915924,0.2067195326089859,0.15939673781394958
network,0.16917307674884796,0.15182675421237946,0.25583016872406006,0.12545524537563324,0.253274142742157
service,0.16857224702835083,0.14214417338371277,0.24439747631549835,0.1347932666540146,0.31237727403640747
(,0.2411840260028839,0.2728188931941986,0.11349386721849442,0.15827840566635132,0.3357032239437103
vbns,0.24957886338233948,0.3280176520347595,1.0000001192092896,0.13592974841594696,0.22717130184173584
),0.26259949803352356,0.2575884759426117,0.07924553751945496,0.14393578469753265,0.3639558255672455
came,0.2728535234928131,0.19605755805969238,0.10731694102287292,0.2088199257850647,0.2774851322174072
on,0.34226128458976746,0.2568802833557129,0.17545220255851746,0.25874534249305725,0.36199691891670227
line,0.2245367169380188,0.13757026195526123,0.17071887850761414,0.23024317622184753,0.2019100785255432
in,0.30808621644973755,0.214483380317688,0.16415390372276306,0.20552469789981842,0.4322226941585541
april,0.21502700448036194,0.14772741496562958,-0.0036640577018260956,0.14401622116565704,0.29502245783805847
1995,0.13580629229545593,0.0028071673586964607,-0.016479959711432457,0.002948631066828966,0.017580198124051094
as,0.31749409437179565,0.31202155351638794,0.17980889976024628,0.21001186966896057,0.44774648547172546
part,0.3476244807243347,0.26684749126434326,0.24340038001537323,0.1692693680524826,0.250704288482666
of,0.33290785551071167,0.3119818866252899,0.20267067849636078,0.2038130760192871,0.4185989499092102
a,0.3320399522781372,0.38201746344566345,0.16847047209739685,0.26977941393852234,0.44038116931915283
national,0.16882304847240448,0.16890141367912292,0.13637672364711761,0.16672809422016144,0.36267757415771484
science,0.2612018585205078,0.17509725689888,0.2321079671382904,0.16143226623535156,0.23603716492652893
foundation,0.19225969910621643,0.14943169057369232,0.09585700184106827,0.16933511197566986,0.2412533462047577
(,0.2411840260028839,0.2728188931941986,0.11349386721849442,0.15827840566635132,0.3357032239437103
nsf,0.2732805907726288,0.18718719482421875,0.19642044603824615,0.07194147258996964,0.30965977907180786
),0.26259949803352356,0.2575884759426117,0.07924553751945496,0.14393578469753265,0.3639558255672455
sponsored,0.11231818050146103,0.14296852052211761,0.09798139333724976,0.13995198905467987,0.26302003860473633
project,0.27033838629722595,0.19799275696277618,0.16615530848503113,0.07478352636098862,0.2228124439716339
to,0.455847829580307,0.4391997456550598,0.28151533007621765,0.23655876517295837,0.4451248347759247
provide,0.27049049735069275,0.3120734691619873,0.2866433560848236,0.26444920897483826,0.42299434542655945
high-speed,0.3194008469581604,0.3148736357688904,0.250329852104187,0.2335340678691864,0.33698123693466187
interconnection,0.20888762176036835,0.22622503340244293,0.34336358308792114,0.18955911695957184,0.2532549798488617
between,0.2462156116962433,0.16966454684734344,0.1886599212884903,0.15090352296829224,0.24671313166618347
nsf-sponsored,0.17177264392375946,0.16646139323711395,0.12542107701301575,0.141453817486763,0.2968379557132721
supercomputing,0.2155531793832779,0.1239466592669487,0.3542104959487915,0.13395245373249054,0.2201385647058487
centers,0.22307880222797394,0.24829764664173126,0.2906666696071625,0.0544159859418869,0.2730714976787567
and,0.31309178471565247,0.3461615741252899,0.2682284712791443,0.268960565328598,0.5064792633056641
select,0.2594083249568939,0.22255803644657135,0.3038497269153595,0.1349608600139618,0.35784855484962463
access,0.2685140371322632,0.2575353980064392,0.3179875910282135,0.20418952405452728,0.2941345274448395
points,0.2184005230665207,0.2209947407245636,0.32442519068717957,0.1719478815793991,0.22348499298095703
in,0.30808621644973755,0.214483380317688,0.16415390372276306,0.20552469789981842,0.4322226941585541
the,0.42745697498321533,0.35928019881248474,0.2813221216201782,0.2531624138355255,0.4739971458911896
united,0.20036718249320984,0.1650896966457367,0.128522127866745,0.18211250007152557,0.30487096309661865
states,0.21526020765304565,0.18093830347061157,0.19929255545139313,0.1681612730026245,0.2496437132358551
.,0.3567904531955719,0.3022993505001068,0.19426409900188446,0.2296130359172821,0.4726039469242096
