,how,much,of,the,water,flow,does,the,waal,get,from,the,rhine,?
from,0.22939439117908478,0.24480824172496796,0.4249346852302551,0.40150508284568787,0.197988361120224,0.21963053941726685,0.1777622550725937,0.40150508284568787,0.10252905637025833,0.3159880042076111,1.0,0.40150508284568787,0.2181936800479889,0.19969791173934937
here,0.4370257556438446,0.3760751783847809,0.29118096828460693,0.37885698676109314,0.21777763962745667,0.19729383289813995,0.360707551240921,0.37885698676109314,0.21528901159763336,0.3956681489944458,0.27692413330078125,0.37885698676109314,0.20670028030872345,0.5686008334159851
",",0.22659391164779663,0.36182254552841187,0.4946078956127167,0.4933079481124878,0.26706066727638245,0.23027558624744415,0.28617382049560547,0.4933079481124878,0.2183123230934143,0.2926318049430847,0.39760664105415344,0.4933079481124878,0.167837992310524,0.31091248989105225
the,0.33890387415885925,0.35023224353790283,0.733189046382904,1.0,0.297396719455719,0.314039409160614,0.35928019881248474,1.0,0.14903073012828827,0.29667025804519653,0.40150508284568787,1.0,0.30735138058662415,0.22068053483963013
situation,0.42087048292160034,0.35537874698638916,0.22593308985233307,0.29657405614852905,0.2014547884464264,0.2586266100406647,0.3203280568122864,0.29657405614852905,0.2895625829696655,0.3356860280036926,0.17050987482070923,0.29657405614852905,0.22464416921138763,0.2714049518108368
becomes,0.11954227089881897,0.22787728905677795,0.29713478684425354,0.2601490020751953,0.15060630440711975,0.13041441142559052,0.24333611130714417,0.2601490020751953,0.08137237280607224,0.2535490393638611,0.1995648890733719,0.2601490020751953,0.05383241921663284,0.1751440465450287
more,0.4319567084312439,0.5936280488967896,0.30478984117507935,0.39758381247520447,0.2764609456062317,0.24125972390174866,0.2897747755050659,0.39758381247520447,0.15404702723026276,0.38641589879989624,0.2529715299606323,0.39758381247520447,0.14227862656116486,0.27894994616508484
complicated,0.3744973838329315,0.4141084551811218,0.24801397323608398,0.2161325067281723,0.24178074300289154,0.29061517119407654,0.3083401024341583,0.2161325067281723,0.1593005359172821,0.2738639712333679,0.18840733170509338,0.2161325067281723,0.0897168517112732,0.23008595407009125
",",0.22659391164779663,0.36182254552841187,0.4946078956127167,0.4933079481124878,0.26706066727638245,0.23027558624744415,0.28617382049560547,0.4933079481124878,0.2183123230934143,0.2926318049430847,0.39760664105415344,0.4933079481124878,0.167837992310524,0.31091248989105225
as,0.33782753348350525,0.36514025926589966,0.3886612355709076,0.48381632566452026,0.21305090188980103,0.16389882564544678,0.31202155351638794,0.48381632566452026,0.16373157501220703,0.2830592393875122,0.3251767158508301,0.48381632566452026,0.18380387127399445,0.27043893933296204
the,0.33890387415885925,0.35023224353790283,0.733189046382904,1.0,0.297396719455719,0.314039409160614,0.35928019881248474,1.0,0.14903073012828827,0.29667025804519653,0.40150508284568787,1.0,0.30735138058662415,0.22068053483963013
dutch,0.14990761876106262,0.1384192705154419,0.14408773183822632,0.1705695390701294,0.1223379522562027,0.10914407670497894,0.13053582608699799,0.1705695390701294,0.4976034462451935,0.16616664826869965,0.15860356390476227,0.1705695390701294,0.31772172451019287,0.1081366017460823
name,0.13619886338710785,0.15620176494121552,0.24075818061828613,0.3171212375164032,0.1251494139432907,0.10209416598081589,0.21063627302646637,0.3171212375164032,0.07803583145141602,0.11696000397205353,0.2635002136230469,0.3171212375164032,0.12217257916927338,0.15381577610969543
rijn,0.12280997633934021,0.15189458429813385,0.20357760787010193,0.15022686123847961,0.1742628663778305,0.19582144916057587,0.1349175125360489,0.15022686123847961,0.5887269973754883,0.18058617413043976,0.13293249905109406,0.15022686123847961,0.41360682249069214,0.15792600810527802
no,0.2603875398635864,0.3037329912185669,0.24809792637825012,0.3461136817932129,0.18071305751800537,0.173778235912323,0.29778221249580383,0.3461136817932129,0.08979871869087219,0.25710663199424744,0.19692718982696533,0.3461136817932129,0.11201126873493195,0.32165053486824036
