,besides,the,v,&,a,'s,",",whose,collections,are,under,the,responsibility,of,conservators,at,the,v,&,a,?
conservation,0.18696540594100952,0.2678036689758301,0.10194364190101624,0.20546069741249084,0.2068130075931549,0.004845086485147476,0.23182041943073273,0.10214937478303909,0.31775611639022827,0.20697766542434692,0.196927011013031,0.2678036689758301,0.2726636230945587,0.2804107666015625,0.6691297292709351,0.17823421955108643,0.2678036689758301,0.10194364190101624,0.20546069741249084,0.2068130075931549,0.1391831338405609
is,0.36560124158859253,0.5823672413825989,0.16126930713653564,0.08384179323911667,0.658733606338501,0.02396530658006668,0.4691906273365021,0.26491984724998474,0.20405815541744232,0.5330929756164551,0.21294879913330078,0.5823672413825989,0.187485933303833,0.4854315221309662,0.17951460182666779,0.25906258821487427,0.5823672413825989,0.16126930713653564,0.08384179323911667,0.658733606338501,0.22961433231830597
responsible,0.2501925528049469,0.3305104374885559,0.09038145840167999,0.11143627762794495,0.22119273245334625,0.002397976815700531,0.2192283272743225,0.23583711683750153,0.1783284842967987,0.2889936864376068,0.23626403510570526,0.3305104374885559,0.7189788818359375,0.37070101499557495,0.19458356499671936,0.1904243379831314,0.3305104374885559,0.09038145840167999,0.11143627762794495,0.22119273245334625,0.11367333680391312
for,0.3905259370803833,0.4739971458911896,0.13933385908603668,0.15479104220867157,0.44038116931915283,-0.07241261005401611,0.4464869201183319,0.22978365421295166,0.25632959604263306,0.3895993232727051,0.2930702269077301,0.4739971458911896,0.31113919615745544,0.4185989499092102,0.24684202671051025,0.34237727522850037,0.4739971458911896,0.13933385908603668,0.15479104220867157,0.44038116931915283,0.264628142118454
the,0.367077499628067,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,-0.01540423184633255,0.4933079481124878,0.38253846764564514,0.27174001932144165,0.40399202704429626,0.3348022699356079,1.0,0.3036732077598572,0.733189046382904,0.26582545042037964,0.457212895154953,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.22068053483963013
long-term,0.2259044647216797,0.3756130039691925,0.24838048219680786,0.16729022562503815,0.3568371832370758,0.053442806005477905,0.3221086859703064,0.21094276010990143,0.2490137368440628,0.2503519356250763,0.22402240335941315,0.3756130039691925,0.2779816687107086,0.341103732585907,0.16779811680316925,0.2505493760108948,0.3756130039691925,0.24838048219680786,0.16729022562503815,0.3568371832370758,0.2383396476507187
preservation,0.21787187457084656,0.30309581756591797,0.10227160155773163,0.17406514286994934,0.2140544354915619,-0.03355928510427475,0.19550389051437378,0.14781169593334198,0.3447291851043701,0.20998285710811615,0.1594434231519699,0.30309581756591797,0.19230127334594727,0.26127341389656067,0.33911049365997314,0.09950458258390427,0.30309581756591797,0.10227160155773163,0.17406514286994934,0.2140544354915619,0.1127895936369896
of,0.3665722906589508,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,-0.03817026689648628,0.4946078956127167,0.37058958411216736,0.3185039758682251,0.39081433415412903,0.32766106724739075,0.733189046382904,0.28464245796203613,1.0,0.24010974168777466,0.42558613419532776,0.733189046382904,0.1655031144618988,0.19900451600551605,0.5052502155303955,0.1826142966747284
the,0.367077499628067,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,-0.01540423184633255,0.4933079481124878,0.38253846764564514,0.27174001932144165,0.40399202704429626,0.3348022699356079,1.0,0.3036732077598572,0.733189046382904,0.26582545042037964,0.457212895154953,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.22068053483963013
collections,0.27080827951431274,0.27174001932144165,0.09366906434297562,0.163213849067688,0.2494979351758957,0.006817140616476536,0.2696824073791504,0.16721047461032867,0.9999998807907104,0.3220110833644867,0.16306354105472565,0.27174001932144165,0.20761710405349731,0.3185039758682251,0.3198506534099579,0.1858210265636444,0.27174001932144165,0.09366906434297562,0.163213849067688,0.2494979351758957,0.1873358190059662
