,what,areas,did,genghis,khan,control,at,the,end,of,his,life,?
by,0.2455483376979828,0.2005605250597,0.18574509024620056,0.22102472186088562,0.13558374345302582,0.2360290139913559,0.2368064820766449,0.4408751428127289,0.19136181473731995,0.3646814823150635,0.3107621967792511,0.18554949760437012,0.17966607213020325
the,0.42745697498321533,0.3311663568019867,0.34736719727516174,0.3448939025402069,0.21067845821380615,0.32841500639915466,0.457212895154953,1.0,0.39658910036087036,0.733189046382904,0.4394008219242096,0.23528170585632324,0.22068053483963013
end,0.29234179854393005,0.15988874435424805,0.18808481097221375,0.16244083642959595,0.10811278969049454,0.1922648549079895,0.3223728835582733,0.39658910036087036,1.0,0.2215006798505783,0.18775546550750732,0.1473490595817566,0.12543344497680664
of,0.33290785551071167,0.2803763747215271,0.2513895630836487,0.2938849925994873,0.17124508321285248,0.2817542552947998,0.42558613419532776,0.733189046382904,0.2215006798505783,1.0,0.38364991545677185,0.2788603901863098,0.1826142966747284
his,0.26976513862609863,0.15602530539035797,0.3546801507472992,0.3744826912879944,0.26570460200309753,0.19246335327625275,0.27659502625465393,0.4394008219242096,0.18775546550750732,0.38364991545677185,0.9999998807907104,0.37379691004753113,0.18075084686279297
life,0.24693015217781067,0.11317726969718933,0.22298283874988556,0.2215764820575714,0.1564050167798996,0.1885286271572113,0.20837508141994476,0.23528170585632324,0.1473490595817566,0.2788603901863098,0.37379691004753113,1.0,0.21677987277507782
",",0.3087472915649414,0.2789289653301239,0.3015086054801941,0.2891939878463745,0.19700400531291962,0.20811550319194794,0.38314947485923767,0.4933079481124878,0.25448864698410034,0.4946078956127167,0.3378419280052185,0.24050940573215485,0.31091248989105225
the,0.42745697498321533,0.3311663568019867,0.34736719727516174,0.3448939025402069,0.21067845821380615,0.32841500639915466,0.457212895154953,1.0,0.39658910036087036,0.733189046382904,0.4394008219242096,0.23528170585632324,0.22068053483963013
mongol,0.15870186686515808,0.1436578780412674,0.17534953355789185,0.6244974732398987,0.5576101541519165,0.23836106061935425,0.1027381643652916,0.2924198508262634,0.14754866063594818,0.22712039947509766,0.22059163451194763,0.10225646197795868,0.12849251925945282
empire,0.21723191440105438,0.1885029524564743,0.18850058317184448,0.42237505316734314,0.38083162903785706,0.27420011162757874,0.18196320533752441,0.32532164454460144,0.18853630125522614,0.30522286891937256,0.22914105653762817,0.1829366385936737,0.14909450709819794
occupied,0.2295091450214386,0.31981009244918823,0.21438418328762054,0.23639699816703796,0.13256441056728363,0.2773069739341736,0.2591996192932129,0.3288927674293518,0.2305999994277954,0.3310187757015228,0.18911834061145782,0.07846833020448685,0.11679025739431381
a,0.3320399522781372,0.24730755388736725,0.2552328109741211,0.194350928068161,0.1743650734424591,0.21056023240089417,0.3095070421695709,0.5829201340675354,0.28924596309661865,0.5052502155303955,0.3497250974178314,0.27076753973960876,0.23916715383529663
substantial,0.33448854088783264,0.27505582571029663,0.3070415258407593,0.17490343749523163,0.19010861217975616,0.18883682787418365,0.20852766931056976,0.32639044523239136,0.17530418932437897,0.30609557032585144,0.262060284614563,0.2599973678588867,0.25194647908210754
portion,0.287394255399704,0.35413914918899536,0.21140550076961517,0.1919466257095337,0.14878307282924652,0.20655938982963562,0.1814720630645752,0.42017096281051636,0.3047926425933838,0.31845465302467346,0.16910409927368164,0.1784355342388153,0.11719609797000885
of,0.33290785551071167,0.2803763747215271,0.2513895630836487,0.2938849925994873,0.17124508321285248,0.2817542552947998,0.42558613419532776,0.733189046382904,0.2215006798505783,1.0,0.38364991545677185,0.2788603901863098,0.1826142966747284
central,0.17723965644836426,0.2885909676551819,0.14962437748908997,0.17817124724388123,0.14283986389636993,0.1965293437242508,0.22031977772712708,0.3417201042175293,0.10786823183298111,0.3415789008140564,0.12756633758544922,0.06226914003491402,0.14787602424621582
asia,0.14832128584384918,0.2548030614852905,0.19509263336658478,0.31414562463760376,0.2521873712539673,0.1443500518798828,0.15991713106632233,0.2838890850543976,0.17559431493282318,0.2372564673423767,0.14609654247760773,0.11229600012302399,0.1340748518705368
and,0.31309178471565247,0.40107932686805725,0.34479495882987976,0.26551535725593567,0.22885166108608246,0.29790008068084717,0.3571503460407257,0.5171257257461548,0.24708716571331024,0.5116966962814331,0.4234102666378021,0.26095253229141235,0.20544172823429108
china,0.13832437992095947,0.22444167733192444,0.16472692787647247,0.41767415404319763,0.3775990903377533,0.21186795830726624,0.1485295444726944,0.3110525608062744,0.18170379102230072,0.27699828147888184,0.12265565246343613,0.1319694221019745,0.18007943034172058
.,0.3567904531955719,0.23760369420051575,0.35288307070732117,0.25373268127441406,0.19819748401641846,0.24319837987422943,0.4549728035926819,0.5934505462646484,0.26526886224746704,0.5352458953857422,0.3119256794452667,0.3029138445854187,0.4130953550338745
