,what,is,the,conventional,measurement,of,the,rhine,?
the,0.42745697498321533,0.5823672413825989,1.0,0.24935786426067352,0.2747146487236023,0.733189046382904,1.0,0.30735138058662415,0.22068053483963013
length,0.20598092675209045,0.2527557909488678,0.26581600308418274,0.15478497743606567,0.42692387104034424,0.22847424447536469,0.26581600308418274,0.20094704627990723,0.16668567061424255
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2812398374080658,0.26198503375053406,1.0,0.733189046382904,0.2548927664756775,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.24935786426067352,0.2747146487236023,0.733189046382904,1.0,0.30735138058662415,0.22068053483963013
rhine,0.16475653648376465,0.15617261826992035,0.30735138058662415,0.11510846763849258,0.17000390589237213,0.2548927664756775,0.30735138058662415,1.0,0.13754533231258392
is,0.28837618231773376,1.0,0.5823672413825989,0.2229870855808258,0.29067936539649963,0.4854315221309662,0.5823672413825989,0.15617261826992035,0.22961433231830597
conventionally,0.24522534012794495,0.2852628231048584,0.3092604875564575,0.8670024275779724,0.27889129519462585,0.2620749771595001,0.3092604875564575,0.1699018031358719,0.1562664955854416
measured,0.23318471014499664,0.2770887017250061,0.279002845287323,0.19807912409305573,0.7727878093719482,0.26447921991348267,0.279002845287323,0.126449316740036,0.17351430654525757
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.21955011785030365,0.2026844471693039,0.5696388483047485,0.6662389636039734,0.24648422002792358,0.20430970191955566
``,0.008517155423760414,0.058766357600688934,0.029072100296616554,0.036313481628894806,0.16786779463291168,0.06780257821083069,0.029072100296616554,0.031863048672676086,0.0685480609536171
rhine-kilometers,0.22068308293819427,0.297221839427948,0.3899826407432556,0.2266562432050705,0.32880380749702454,0.32635989785194397,0.3899826407432556,0.5765131711959839,0.12356684356927872
'',0.08143015950918198,0.0793738141655922,0.041273195296525955,0.09290490299463272,0.08244186639785767,0.13035868108272552,0.041273195296525955,-0.003653771709650755,0.018684765323996544
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.10585328936576843,0.23249028623104095,0.35032153129577637,0.33289089798927307,0.12381801009178162,0.40561532974243164
rheinkilometer,0.289517343044281,0.31161320209503174,0.377916544675827,0.2523050308227539,0.3895006477832794,0.3236406147480011,0.377916544675827,0.5023218989372253,0.2017219215631485
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.1256992667913437,0.2277601659297943,0.3680361211299896,0.3456730246543884,0.12686386704444885,0.42300865054130554
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.18631495535373688,0.204771026968956,0.4946078956127167,0.4933079481124878,0.167837992310524,0.31091248989105225
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.3075350821018219,0.2956489324569702,0.5052502155303955,0.5829201340675354,0.1823403388261795,0.23916715383529663
scale,0.23262472450733185,0.18123696744441986,0.1833842247724533,0.18036630749702454,0.3981412947177887,0.19989530742168427,0.1833842247724533,0.09456667304039001,0.21142835915088654
introduced,0.09417270123958588,0.18314895033836365,0.242969810962677,0.2820977568626404,0.19124676287174225,0.23328952491283417,0.242969810962677,0.09226672351360321,0.16386865079402924
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.21955011785030365,0.2026844471693039,0.5696388483047485,0.6662389636039734,0.24648422002792358,0.20430970191955566
1939,0.11055738478899002,0.1788119077682495,0.3322303593158722,0.06766337901353836,0.20326586067676544,0.30115509033203125,0.3322303593158722,0.16051381826400757,-0.0777229517698288
which,0.5261979103088379,0.4457404911518097,0.6521818041801453,0.3703201115131378,0.3366289734840393,0.5011631846427917,0.6521818041801453,0.18744276463985443,0.25814583897590637
runs,0.17057748138904572,0.30176323652267456,0.30832576751708984,0.10150747746229172,0.11441553384065628,0.22292760014533997,0.30832576751708984,0.24514833092689514,0.08094297349452972
from,0.2737620174884796,0.27355384826660156,0.40150508284568787,0.17549508810043335,0.22532375156879425,0.4249346852302551,0.40150508284568787,0.2181936800479889,0.19969791173934937
the,0.42745697498321533,0.5823672413825989,1.0,0.24935786426067352,0.2747146487236023,0.733189046382904,1.0,0.30735138058662415,0.22068053483963013
old,0.22117848694324493,0.24332627654075623,0.31849798560142517,0.13416895270347595,0.1469859480857849,0.30522194504737854,0.31849798560142517,0.18212221562862396,0.20577076077461243
rhine,0.16475653648376465,0.15617261826992035,0.30735138058662415,0.11510846763849258,0.17000390589237213,0.2548927664756775,0.30735138058662415,1.0,0.13754533231258392
bridge,0.16739098727703094,0.1899378001689911,0.27692803740501404,0.06368955969810486,0.11192131042480469,0.17739711701869965,0.27692803740501404,0.2627650499343872,0.1396101862192154
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.18088704347610474,0.2214486300945282,0.42558613419532776,0.457212895154953,0.19469857215881348,0.21978627145290375
constance,0.143944650888443,0.2383592426776886,0.23177717626094818,0.1824110597372055,0.24710917472839355,0.28979653120040894,0.23177717626094818,0.33406126499176025,0.1427515298128128
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.10585328936576843,0.23249028623104095,0.35032153129577637,0.33289089798927307,0.12381801009178162,0.40561532974243164
0,0.05378047749400139,-0.013776509091258049,0.06647186726331711,0.054919540882110596,-0.016387201845645905,0.0813891589641571,0.06647186726331711,0.019290808588266373,0.0436553880572319
km,0.1805391013622284,0.24258680641651154,0.21376769244670868,0.11425557732582092,0.24527034163475037,0.2376161366701126,0.21376769244670868,0.22496221959590912,0.08180338144302368
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.1256992667913437,0.2277601659297943,0.3680361211299896,0.3456730246543884,0.12686386704444885,0.42300865054130554
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.32108715176582336,0.2653844356536865,0.41548454761505127,0.535392165184021,0.1736302673816681,0.29463258385658264
hoek,0.15890797972679138,0.19093236327171326,0.24397946894168854,0.12682665884494781,0.22072799503803253,0.2957805395126343,0.24397946894168854,0.43599072098731995,0.15933550894260406
van,0.1477201133966446,0.13741689920425415,0.13541297614574432,0.12156910449266434,0.08497247844934464,0.16833904385566711,0.13541297614574432,0.2172645628452301,0.15528257191181183
holland,0.17794691026210785,0.12953487038612366,0.21247440576553345,0.13855336606502533,0.1567002236843109,0.22898225486278534,0.21247440576553345,0.374037504196167,0.14312024414539337
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.10585328936576843,0.23249028623104095,0.35032153129577637,0.33289089798927307,0.12381801009178162,0.40561532974243164
1036.20,-0.007560857571661472,0.030597753822803497,0.079269178211689,0.15092089772224426,0.1504204273223877,0.1090036928653717,0.079269178211689,0.04667671024799347,-0.020128324627876282
km,0.1805391013622284,0.24258680641651154,0.21376769244670868,0.11425557732582092,0.24527034163475037,0.2376161366701126,0.21376769244670868,0.22496221959590912,0.08180338144302368
