,what,sections,of,church,dogma,did,luther,come,to,view,in,another,way,?
as,0.31749409437179565,0.2307887226343155,0.3886612355709076,0.211966410279274,0.2760298252105713,0.3596470057964325,0.20242992043495178,0.192745640873909,0.42092081904411316,0.13756150007247925,0.3887844979763031,0.3282026946544647,0.3409440517425537,0.27043893933296204
he,0.3114890456199646,0.1526966094970703,0.38706058263778687,0.23494282364845276,0.1765194535255432,0.3292143940925598,0.2454872578382492,0.25002989172935486,0.385390967130661,0.14745047688484192,0.41690486669540405,0.34215036034584045,0.31626078486442566,0.2089974731206894
studied,0.17525729537010193,0.12105227261781693,0.24926787614822388,0.19986797869205475,0.16100017726421356,0.24305510520935059,0.12229692935943604,0.16103678941726685,0.2105901688337326,0.12422943860292435,0.3605947494506836,0.13104119896888733,0.13425934314727783,0.12394175678491592
these,0.4164220690727234,0.41321083903312683,0.42684608697891235,0.17131376266479492,0.2780429720878601,0.38755595684051514,0.23486362397670746,0.43311992287635803,0.46852558851242065,0.1743202656507492,0.3791837692260742,0.28603002429008484,0.3907841145992279,0.2571668326854706
portions,0.2714673578739166,0.4852542579174042,0.29924145340919495,0.15831393003463745,0.2903723120689392,0.20459619164466858,0.1255829632282257,0.20792308449745178,0.2855440080165863,0.2024969607591629,0.28234022855758667,0.2630835473537445,0.2718777358531952,0.13524997234344482
of,0.33290785551071167,0.20906880497932434,1.0,0.3079429268836975,0.23242829740047455,0.2513895630836487,0.1719115972518921,0.3194141983985901,0.41548454761505127,0.21446028351783752,0.5696388483047485,0.38147079944610596,0.266871839761734,0.1826142966747284
the,0.42745697498321533,0.3228905200958252,0.733189046382904,0.23846197128295898,0.24995286762714386,0.34736719727516174,0.1759674996137619,0.36020293831825256,0.535392165184021,0.25610461831092834,0.6662389636039734,0.5019711852073669,0.36217406392097473,0.22068053483963013
bible,0.33710888028144836,0.29087692499160767,0.25664499402046204,0.3814816176891327,0.34486010670661926,0.24923516809940338,0.3825412392616272,0.2321465015411377,0.22778454422950745,0.22813433408737183,0.17902518808841705,0.21763555705547333,0.30737006664276123,0.22667601704597473
",",0.3087472915649414,0.28268834948539734,0.4946078956127167,0.2707274258136749,0.25322869420051575,0.3015086054801941,0.23255878686904907,0.350309282541275,0.44245919585227966,0.216712087392807,0.5201468467712402,0.3283841907978058,0.2861018478870392,0.31091248989105225
he,0.3114890456199646,0.1526966094970703,0.38706058263778687,0.23494282364845276,0.1765194535255432,0.3292143940925598,0.2454872578382492,0.25002989172935486,0.385390967130661,0.14745047688484192,0.41690486669540405,0.34215036034584045,0.31626078486442566,0.2089974731206894
came,0.2728535234928131,0.12153487652540207,0.3201526999473572,0.15327605605125427,0.1398080736398697,0.4016856253147125,0.13847880065441132,0.6062419414520264,0.3111628592014313,0.1285405158996582,0.29996100068092346,0.30740827322006226,0.2523384094238281,0.1739392727613449
to,0.455847829580307,0.2865123450756073,0.41548454761505127,0.24439501762390137,0.2086782604455948,0.4452643394470215,0.18029534816741943,0.4297197163105011,1.0,0.229315847158432,0.45010748505592346,0.48769932985305786,0.4772548973560333,0.29463258385658264
view,0.2818201184272766,0.22256788611412048,0.21446028351783752,0.18473349511623383,0.19150574505329132,0.15928705036640167,0.14754484593868256,0.16223549842834473,0.229315847158432,1.0,0.17477142810821533,0.15808966755867004,0.31424471735954285,0.17672975361347198
the,0.42745697498321533,0.3228905200958252,0.733189046382904,0.23846197128295898,0.24995286762714386,0.34736719727516174,0.1759674996137619,0.36020293831825256,0.535392165184021,0.25610461831092834,0.6662389636039734,0.5019711852073669,0.36217406392097473,0.22068053483963013
use,0.3453877568244934,0.2792243957519531,0.2750902473926544,0.15512630343437195,0.15975293517112732,0.32446643710136414,0.10849796235561371,0.3688197731971741,0.47261837124824524,0.1679607778787613,0.2715643048286438,0.2898416519165039,0.43530192971229553,0.32795652747154236
of,0.33290785551071167,0.20906880497932434,1.0,0.3079429268836975,0.23242829740047455,0.2513895630836487,0.1719115972518921,0.3194141983985901,0.41548454761505127,0.21446028351783752,0.5696388483047485,0.38147079944610596,0.266871839761734,0.1826142966747284
terms,0.23885610699653625,0.2926848828792572,0.2767748534679413,0.16086368262767792,0.30438345670700073,0.19385001063346863,0.08851511776447296,0.21447451412677765,0.356818288564682,0.19535334408283234,0.2410934716463089,0.24350851774215698,0.2882238030433655,0.23466452956199646
such,0.23989605903625488,0.265627920627594,0.3209529519081116,0.15636888146400452,0.21767780184745789,0.24497397243976593,0.09043191373348236,0.2829435169696808,0.2871878743171692,0.11516007035970688,0.2704046070575714,0.268036812543869,0.33687862753868103,0.17851735651493073
as,0.31749409437179565,0.2307887226343155,0.3886612355709076,0.211966410279274,0.2760298252105713,0.3596470057964325,0.20242992043495178,0.192745640873909,0.42092081904411316,0.13756150007247925,0.3887844979763031,0.3282026946544647,0.3409440517425537,0.27043893933296204
penance,0.32090291380882263,0.17549613118171692,0.2394109070301056,0.35738077759742737,0.3764529228210449,0.20477493107318878,0.26178884506225586,0.22417406737804413,0.24659837782382965,0.13300281763076782,0.1316031515598297,0.23496593534946442,0.2824285626411438,0.2766370475292206
and,0.31309178471565247,0.3160761892795563,0.5116966962814331,0.1976170688867569,0.25793758034706116,0.34479495882987976,0.20796556770801544,0.3412281572818756,0.48971283435821533,0.19056165218353271,0.4954058527946472,0.3214244842529297,0.32150545716285706,0.20544172823429108
righteousness,0.35166046023368835,0.14786936342716217,0.3052210807800293,0.2958970367908478,0.3776213228702545,0.22816310822963715,0.34361401200294495,0.2518164813518524,0.2666398584842682,0.21760469675064087,0.17697679996490479,0.28864482045173645,0.29730239510536194,0.21145261824131012
by,0.2455483376979828,0.1566195785999298,0.3646814823150635,0.135782390832901,0.2557142972946167,0.18574509024620056,0.15382802486419678,0.11457374691963196,0.33534231781959534,0.1928447186946869,0.370934396982193,0.36873918771743774,0.3228684663772583,0.17966607213020325
