,to,which,year,has,the,rococo,augustus,rex,bureau,cabinet,been,dated,?
one,0.4025384783744812,0.510688066482544,0.346388578414917,0.43032392859458923,0.5514441132545471,0.2789130210876465,0.15731659531593323,0.21211586892604828,0.10693182796239853,0.16080322861671448,0.3407197892665863,0.17455975711345673,0.2673267424106598
of,0.41548454761505127,0.5011631846427917,0.2578314542770386,0.3909035325050354,0.733189046382904,0.289019376039505,0.22101011872291565,0.17788012325763702,0.23669974505901337,0.27811557054519653,0.31685134768486023,0.210488960146904,0.1826142966747284
the,0.535392165184021,0.6521818041801453,0.3609684407711029,0.4177538752555847,1.0,0.25580495595932007,0.2133389264345169,0.213502898812294,0.26302388310432434,0.24264733493328094,0.3563927710056305,0.2046709507703781,0.22068053483963013
finest,0.1865093857049942,0.24203677475452423,0.15557065606117249,0.1571817547082901,0.3178524971008301,0.3850938677787781,0.2106456756591797,0.13424067199230194,0.17533738911151886,0.0915306955575943,0.23251007497310638,0.11896839737892151,0.1559486985206604
pieces,0.24752360582351685,0.3588203191757202,0.09965962916612625,0.21121692657470703,0.2676405906677246,0.2522759437561035,0.10483832657337189,0.12794269621372223,0.08511175960302353,0.12357725948095322,0.25326213240623474,0.14419229328632355,0.12758022546768188
of,0.41548454761505127,0.5011631846427917,0.2578314542770386,0.3909035325050354,0.733189046382904,0.289019376039505,0.22101011872291565,0.17788012325763702,0.23669974505901337,0.27811557054519653,0.31685134768486023,0.210488960146904,0.1826142966747284
continental,0.20232366025447845,0.24691486358642578,0.2011163979768753,0.17416077852249146,0.32723063230514526,0.18632802367210388,0.1918342113494873,0.11225239932537079,0.16984973847866058,0.18609683215618134,0.18521128594875336,0.1628246307373047,0.1410352885723114
furniture,0.22684277594089508,0.2323695719242096,0.0888291597366333,0.16298489272594452,0.19680102169513702,0.3266793191432953,0.14310644567012787,0.13991375267505646,0.1972484588623047,0.37145543098449707,0.18914297223091125,0.13798384368419647,0.2056051790714264
in,0.45010748505592346,0.4840516746044159,0.3359307050704956,0.4173259735107422,0.6662389636039734,0.26615965366363525,0.2343107908964157,0.19581647217273712,0.23286110162734985,0.2274124175310135,0.3515113592147827,0.1982845962047577,0.20430970191955566
the,0.535392165184021,0.6521818041801453,0.3609684407711029,0.4177538752555847,1.0,0.25580495595932007,0.2133389264345169,0.213502898812294,0.26302388310432434,0.24264733493328094,0.3563927710056305,0.2046709507703781,0.22068053483963013
