,the,rhine,and,what,other,river,drained,the,northern,flanks,of,the,alps,?
at,0.457212895154953,0.19469857215881348,0.3571503460407257,0.2838611304759979,0.24329762160778046,0.16691477596759796,0.19013135135173798,0.457212895154953,0.22357766330242157,0.2084968388080597,0.42558613419532776,0.457212895154953,0.204301118850708,0.21978627145290375
that,0.5473989248275757,0.16362759470939636,0.4731321930885315,0.6297725439071655,0.5570666193962097,0.1889113336801529,0.2339937835931778,0.5473989248275757,0.19812585413455963,0.25099456310272217,0.41498205065727234,0.5473989248275757,0.1205543652176857,0.32716336846351624
time,0.43061500787734985,0.1911163330078125,0.3025408685207367,0.36319252848625183,0.32153698801994324,0.15130726993083954,0.1654711216688156,0.43061500787734985,0.1842404454946518,0.14455115795135498,0.35127586126327515,0.43061500787734985,0.23407714068889618,0.27391523122787476
",",0.4933079481124878,0.167837992310524,0.6633074283599854,0.3087472915649414,0.4446498453617096,0.26637205481529236,0.2435433715581894,0.4933079481124878,0.29473260045051575,0.1742396205663681,0.4946078956127167,0.4933079481124878,0.2293623983860016,0.31091248989105225
it,0.6251175999641418,0.17693428695201874,0.40957894921302795,0.45803478360176086,0.36282607913017273,0.24976809322834015,0.31607285141944885,0.6251175999641418,0.261946439743042,0.25393056869506836,0.38761502504348755,0.6251175999641418,0.2133510410785675,0.25732165575027466
did,0.34736719727516174,0.15695837140083313,0.34479495882987976,0.4259131848812103,0.31707024574279785,0.15783563256263733,0.2628486752510071,0.34736719727516174,0.14611519873142242,0.10910285264253616,0.2513895630836487,0.34736719727516174,0.13029783964157104,0.3023456633090973
not,0.4310511648654938,0.18424437940120697,0.39099299907684326,0.5449194312095642,0.4341118037700653,0.12821517884731293,0.2995730936527252,0.4310511648654938,0.1766294687986374,0.22068749368190765,0.3307090103626251,0.4310511648654938,0.16123202443122864,0.41942933201789856
yet,0.32892218232154846,0.18186475336551666,0.32211625576019287,0.44080492854118347,0.3030443489551544,0.13440778851509094,0.2399967610836029,0.32892218232154846,0.10836195200681686,0.2269831895828247,0.22536693513393402,0.32892218232154846,0.1225987896323204,0.4011770784854889
carry,0.26752355694770813,0.13177715241909027,0.2731964588165283,0.22239743173122406,0.2943214774131775,0.15559418499469757,0.2372993528842926,0.26752355694770813,0.12614654004573822,0.2149326652288437,0.23692575097084045,0.26752355694770813,0.16234491765499115,0.17171701788902283
discharge,0.2714732885360718,0.22111549973487854,0.23449279367923737,0.19507750868797302,0.18180550634860992,0.2371474802494049,0.39865413308143616,0.2714732885360718,0.15166567265987396,0.29978153109550476,0.24374468624591827,0.2714732885360718,0.13912740349769592,0.13592740893363953
from,0.40150508284568787,0.2181936800479889,0.3601827025413513,0.2737620174884796,0.30141791701316833,0.20433256030082703,0.2483568787574768,0.40150508284568787,0.2595764696598053,0.14311020076274872,0.4249346852302551,0.40150508284568787,0.17194011807441711,0.19969791173934937
the,1.0,0.30735138058662415,0.5171257257461548,0.42745697498321533,0.44152235984802246,0.2894456386566162,0.32451367378234863,1.0,0.3422943353652954,0.3326042890548706,0.733189046382904,1.0,0.315137654542923,0.22068053483963013
alps,0.315137654542923,0.3853704631328583,0.21796616911888123,0.12007275223731995,0.16888070106506348,0.30118149518966675,0.33025646209716797,0.315137654542923,0.32798951864242554,0.32232752442359924,0.2345404177904129,0.315137654542923,1.0,0.07792776823043823
;,0.09152708947658539,0.029798196628689766,0.08403264731168747,0.10986888408660889,0.13311924040317535,-0.002630949718877673,0.03152158483862877,0.09152708947658539,0.1101643294095993,0.02258925326168537,0.054534342139959335,0.09152708947658539,0.09742721170186996,0.10349778085947037
instead,0.3940567970275879,0.15219646692276,0.38524195551872253,0.4104403555393219,0.329297810792923,0.07466712594032288,0.1724916696548462,0.3940567970275879,0.14277592301368713,0.19141216576099396,0.31208282709121704,0.3940567970275879,0.09981820732355118,0.2942638397216797
",",0.4933079481124878,0.167837992310524,0.6633074283599854,0.3087472915649414,0.4446498453617096,0.26637205481529236,0.2435433715581894,0.4933079481124878,0.29473260045051575,0.1742396205663681,0.4946078956127167,0.4933079481124878,0.2293623983860016,0.31091248989105225
the,1.0,0.30735138058662415,0.5171257257461548,0.42745697498321533,0.44152235984802246,0.2894456386566162,0.32451367378234863,1.0,0.3422943353652954,0.3326042890548706,0.733189046382904,1.0,0.315137654542923,0.22068053483963013
watersheds,0.3682328760623932,0.28194883465766907,0.33801138401031494,0.19935698807239532,0.23012688755989075,0.6042000651359558,0.5021679401397705,0.3682328760623932,0.3943711519241333,0.3264419734477997,0.33096280694007874,0.3682328760623932,0.33089393377304077,0.16833408176898956
of,0.733189046382904,0.2548927664756775,0.5116966962814331,0.33290785551071167,0.38583824038505554,0.19903257489204407,0.29501670598983765,0.733189046382904,0.32586339116096497,0.2452065795660019,1.0,0.733189046382904,0.2345404177904129,0.1826142966747284
the,1.0,0.30735138058662415,0.5171257257461548,0.42745697498321533,0.44152235984802246,0.2894456386566162,0.32451367378234863,1.0,0.3422943353652954,0.3326042890548706,0.733189046382904,1.0,0.315137654542923,0.22068053483963013
rhone,0.3101537525653839,0.5072572827339172,0.26976293325424194,0.13365720212459564,0.17246362566947937,0.37701883912086487,0.37223273515701294,0.3101537525653839,0.3078078031539917,0.28026172518730164,0.26181480288505554,0.3101537525653839,0.4854852259159088,0.08199543505907059
and,0.5171257257461548,0.22029656171798706,1.0,0.31309178471565247,0.5504306554794312,0.19898422062397003,0.29808104038238525,0.5171257257461548,0.2852024435997009,0.30103135108947754,0.5116966962814331,0.5171257257461548,0.21796616911888123,0.20544172823429108
danube,0.275310754776001,0.5321726202964783,0.2255319207906723,0.17938126623630524,0.17958912253379822,0.4872557520866394,0.42246320843696594,0.275310754776001,0.27832427620887756,0.2819253206253052,0.2120739221572876,0.275310754776001,0.4145524799823761,0.17050804197788239
drained,0.32451367378234863,0.3398182988166809,0.29808104038238525,0.20504944026470184,0.1988535374403,0.5144215822219849,1.0,0.32451367378234863,0.24011386930942535,0.3884197175502777,0.29501670598983765,0.32451367378234863,0.33025646209716797,0.1679747998714447
