,how,many,people,lived,in,warsaw,in,1939,?
in,0.2601168751716614,0.41474202275276184,0.39605680108070374,0.3669787347316742,1.0,0.22642600536346436,1.0,0.23226740956306458,0.20430970191955566
1939,0.14548522233963013,0.1457250416278839,0.1754726618528366,0.17677021026611328,0.23226740956306458,0.1926027536392212,0.23226740956306458,1.0000001192092896,-0.0777229517698288
",",0.22659391164779663,0.40610817074775696,0.36644625663757324,0.32840919494628906,0.5201468467712402,0.25300899147987366,0.5201468467712402,0.15426161885261536,0.31091248989105225
c.,0.04567995294928551,-0.026484239846467972,0.0873306542634964,-0.15393179655075073,-0.17233212292194366,-0.16221389174461365,-0.17233212292194366,-0.030792953446507454,0.019047532230615616
"1,300,000",0.05206013843417168,0.04586105793714523,0.006414806470274925,0.0929819867014885,0.24781134724617004,0.1985200196504593,0.24781134724617004,0.11905189603567123,-0.003324186196550727
people,0.2932034730911255,0.4171447455883026,1.0000001192092896,0.3190171420574188,0.39605680108070374,0.17416244745254517,0.39605680108070374,0.1754726618528366,0.23739641904830933
lived,0.1416093111038208,0.2690332531929016,0.3190171420574188,0.9999998807907104,0.3669787347316742,0.15919925272464752,0.3669787347316742,0.17677021026611328,0.1798510104417801
in,0.2601168751716614,0.41474202275276184,0.39605680108070374,0.3669787347316742,1.0,0.22642600536346436,1.0,0.23226740956306458,0.20430970191955566
warsaw,0.13025455176830292,0.1653265357017517,0.17416244745254517,0.15919925272464752,0.22642600536346436,1.0,0.22642600536346436,0.1926027536392212,0.09769917279481888
",",0.22659391164779663,0.40610817074775696,0.36644625663757324,0.32840919494628906,0.5201468467712402,0.25300899147987366,0.5201468467712402,0.15426161885261536,0.31091248989105225
but,0.43101516366004944,0.46599987149238586,0.2892884612083435,0.2431482970714569,0.48674455285072327,0.19758136570453644,0.48674455285072327,0.19082042574882507,0.27921953797340393
in,0.2601168751716614,0.41474202275276184,0.39605680108070374,0.3669787347316742,1.0,0.22642600536346436,1.0,0.23226740956306458,0.20430970191955566
1945,-0.09901884198188782,-0.1301792562007904,-0.12753868103027344,0.0854719802737236,-0.04109480232000351,0.11277902871370316,-0.04109480232000351,-0.12025067210197449,-0.03421006724238396
–,0.13681066036224365,0.12880176305770874,0.07075772434473038,0.17437803745269775,0.23687128722667694,0.17540127038955688,0.23687128722667694,0.07217700034379959,0.2714554965496063
only,0.36590442061424255,0.4670507609844208,0.32472479343414307,0.22843164205551147,0.42992329597473145,0.15353617072105408,0.42992329597473145,0.20665371417999268,0.2767370045185089
"420,000",0.025081153959035873,0.0837482139468193,-0.06412648409605026,-0.003179372288286686,0.037726711481809616,0.017281703650951385,0.037726711481809616,-0.15486548840999603,-0.046198222786188126
.,0.3287222981452942,0.3974229395389557,0.33118996024131775,0.31328970193862915,0.5591574311256409,0.26825499534606934,0.5591574311256409,0.19110007584095,0.4130953550338745
