,when,did,the,university,decide,to,start,multimillion-dollar,expansion,projects,?
from,0.405669629573822,0.20248863101005554,0.40150508284568787,0.2771088182926178,0.13968567550182343,0.4069952368736267,0.27236250042915344,0.175406813621521,0.1329236477613449,0.1961805820465088,0.19969791173934937
the,0.5091903209686279,0.34736719727516174,1.0,0.263973206281662,0.35331496596336365,0.535392165184021,0.3656389117240906,0.3205636441707611,0.31353142857551575,0.23802334070205688,0.22068053483963013
mid-2000s,0.23956437408924103,0.1871885359287262,0.31578391790390015,0.11438716948032379,0.19488376379013062,0.26929283142089844,0.2371787577867508,0.2257290780544281,0.1583336889743805,0.17582523822784424,0.15236572921276093
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.3017033040523529,0.24334396421909332,0.44245919585227966,0.2934366464614868,0.289781779050827,0.15777990221977234,0.2649989724159241,0.31091248989105225
the,0.5091903209686279,0.34736719727516174,1.0,0.263973206281662,0.35331496596336365,0.535392165184021,0.3656389117240906,0.3205636441707611,0.31353142857551575,0.23802334070205688,0.22068053483963013
university,0.20851898193359375,0.15114416182041168,0.263973206281662,1.0,0.12647351622581482,0.20192374289035797,0.1751353144645691,0.19989396631717682,0.1734294593334198,0.2003859430551529,0.11887256056070328
began,0.25673019886016846,0.4415510594844818,0.3059147596359253,0.19927066564559937,0.15997536480426788,0.2731419503688812,0.41427290439605713,0.22215735912322998,0.1963106244802475,0.22264161705970764,0.1370266228914261
a,0.44397395849227905,0.2552328109741211,0.5829201340675354,0.20256656408309937,0.3188471794128418,0.45503583550453186,0.29672953486442566,0.31612342596054077,0.21807987987995148,0.21870890259742737,0.23916715383529663
number,0.2767394483089447,0.19046731293201447,0.35145696997642517,0.15913988649845123,0.18089036643505096,0.2706126868724823,0.2571180462837219,0.3252168893814087,0.18218791484832764,0.18451522290706635,0.19256845116615295
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.30646374821662903,0.2682307958602905,0.41548454761505127,0.23166994750499725,0.257391095161438,0.24185356497764587,0.21610960364341736,0.1826142966747284
multimillion-dollar,0.2440052032470703,0.24037609994411469,0.3205636441707611,0.19989396631717682,0.28296610713005066,0.34362727403640747,0.2472192794084549,1.0,0.29189780354499817,0.2640570402145386,0.25116172432899475
expansion,0.21312285959720612,0.1645428091287613,0.31353142857551575,0.1734294593334198,0.18396341800689697,0.2769574522972107,0.3215727210044861,0.29189780354499817,1.0,0.22027741372585297,0.18286365270614624
projects,0.18047361075878143,0.21255384385585785,0.23802334070205688,0.2003859430551529,0.26207149028778076,0.3065624237060547,0.3082691431045532,0.2640570402145386,0.22027741372585297,1.0,0.3193145990371704
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.290679007768631,0.26475638151168823,0.4645031690597534,0.3501981496810913,0.32374346256256104,0.18406090140342712,0.2564103305339813,0.4130953550338745
