,what,equation,currently,decribes,the,physics,of,force,.
the,0.42745697498321533,0.2096533477306366,0.2945235073566437,0.3861430883407593,1.0,0.17952929437160492,0.733189046382904,0.2800885736942291,0.5934505462646484
notion,0.3655226528644562,0.4410538077354431,0.14454713463783264,0.3251394033432007,0.23529204726219177,0.3787100315093994,0.23985852301120758,0.2059972882270813,0.18386082351207733
``,0.008517155423760414,0.17524345219135284,0.004076562821865082,0.14399704337120056,0.029072100296616554,0.03193385526537895,0.06780257821083069,0.08451810479164124,0.05720457062125206
force,0.16915984451770782,0.2695007920265198,0.21434231102466583,0.3324163854122162,0.2800885736942291,0.29059725999832153,0.27094775438308716,1.0000001192092896,0.2783275842666626
'',0.08143015950918198,0.04228679835796356,-0.01580255664885044,-0.004797318484634161,0.041273195296525955,0.007329173386096954,0.13035868108272552,-0.09640523791313171,-0.07181349396705627
keeps,0.21853329241275787,0.20894375443458557,0.16414910554885864,0.2720296382904053,0.26333102583885193,0.12264840304851532,0.24374237656593323,0.15337827801704407,0.22882995009422302
its,0.30393704771995544,0.16140151023864746,0.19933556020259857,0.21821162104606628,0.559237003326416,0.13397902250289917,0.48690423369407654,0.2075270563364029,0.3566088080406189
meaning,0.24135559797286987,0.19336655735969543,0.1377904713153839,0.34070447087287903,0.31918859481811523,0.1222742572426796,0.2447882443666458,0.1733345091342926,0.15429382026195526
in,0.30808621644973755,0.17716364562511444,0.30261120200157166,0.31192314624786377,0.6662389636039734,0.2189493626356125,0.5696388483047485,0.21744468808174133,0.5591574311256409
quantum,0.3095471262931824,0.5140936970710754,0.12366454303264618,0.2848530113697052,0.21868084371089935,0.5938736200332642,0.24717314541339874,0.30381885170936584,0.1690797209739685
mechanics,0.3135516941547394,0.5361484885215759,0.17739221453666687,0.24396644532680511,0.25626060366630554,0.6208994388580322,0.27608323097229004,0.2976546287536621,0.18329747021198273
