,what,fish,living,in,the,amazon,river,is,known,to,bit,humans,?
in,0.30808621644973755,0.21571144461631775,0.3253810405731201,1.0,0.6662389636039734,0.12227833271026611,0.2149806171655655,0.5394441485404968,0.32641831040382385,0.45010748505592346,0.1470249444246292,0.23748517036437988,0.20430970191955566
the,0.42745697498321533,0.23185352981090546,0.3127744197845459,0.6662389636039734,1.0,0.260541707277298,0.2894456386566162,0.5823672413825989,0.3624623417854309,0.535392165184021,0.1553376168012619,0.29565489292144775,0.22068053483963013
river,0.13815869390964508,0.24711664021015167,0.2262980043888092,0.2149806171655655,0.2894456386566162,0.35898590087890625,0.9999999403953552,0.20670881867408752,0.10661573708057404,0.13636653125286102,0.13250844180583954,0.17405903339385986,0.15390869975090027
",",0.3087472915649414,0.220574751496315,0.26278790831565857,0.5201468467712402,0.4933079481124878,0.2214922308921814,0.26637205481529236,0.4691906273365021,0.3604377806186676,0.44245919585227966,0.23954764008522034,0.2653752565383911,0.31091248989105225
electric,0.15451551973819733,0.2485000044107437,0.07870426028966904,0.19779469072818756,0.21345196664333344,0.12213451415300369,0.1485070139169693,0.16143305599689484,0.1427898406982422,0.2115597426891327,0.10669928044080734,0.14999380707740784,0.15674720704555511
eels,0.15204261243343353,0.5341805815696716,0.2872430682182312,0.17933523654937744,0.24000898003578186,0.19723686575889587,0.19480928778648376,0.20941998064517975,0.23399542272090912,0.19650913774967194,0.24261507391929626,0.33723101019859314,0.18536992371082306
can,0.34502777457237244,0.24561989307403564,0.1219123899936676,0.26527702808380127,0.312528520822525,0.20863984525203705,0.0938657596707344,0.44256699085235596,0.18300224840641022,0.4979398250579834,0.35293903946876526,0.3871666491031647,0.3226337134838104
produce,0.1685742735862732,0.20345956087112427,0.11973851919174194,0.21160131692886353,0.23457570374011993,0.20190227031707764,0.10301564633846283,0.26456785202026367,0.1697455495595932,0.30018290877342224,0.19836479425430298,0.3061330318450928,0.19229066371917725
an,0.2821882665157318,0.13212528824806213,0.11388735473155975,0.2605783939361572,0.4207492768764496,0.16257908940315247,0.07311998307704926,0.4654068350791931,0.3156754970550537,0.3138085603713989,0.18539036810398102,0.14953799545764923,0.19793890416622162
electric,0.15451551973819733,0.2485000044107437,0.07870426028966904,0.19779469072818756,0.21345196664333344,0.12213451415300369,0.1485070139169693,0.16143305599689484,0.1427898406982422,0.2115597426891327,0.10669928044080734,0.14999380707740784,0.15674720704555511
shock,0.22932535409927368,0.17203520238399506,0.054180894047021866,0.15882182121276855,0.2312299907207489,0.16019077599048615,0.08485815674066544,0.16242370009422302,0.13354212045669556,0.2391883283853531,0.19067718088626862,0.21360167860984802,0.19073565304279327
that,0.6297725439071655,0.26209649443626404,0.2670987546443939,0.435920387506485,0.5473989248275757,0.2228476107120514,0.1889113336801529,0.3995479643344879,0.20813259482383728,0.5436353087425232,0.348145067691803,0.3810921907424927,0.32716336846351624
can,0.34502777457237244,0.24561989307403564,0.1219123899936676,0.26527702808380127,0.312528520822525,0.20863984525203705,0.0938657596707344,0.44256699085235596,0.18300224840641022,0.4979398250579834,0.35293903946876526,0.3871666491031647,0.3226337134838104
stun,0.20545029640197754,0.29791906476020813,0.11415057629346848,0.17635972797870636,0.1688084900379181,0.12020540982484818,0.13976822793483734,0.18656156957149506,0.09751442074775696,0.27796387672424316,0.22812217473983765,0.25544455647468567,0.22781559824943542
or,0.33867141604423523,0.23561979830265045,0.20090705156326294,0.3586423695087433,0.4174870550632477,0.18680624663829803,0.08210044354200363,0.41870999336242676,0.2710355222225189,0.38921234011650085,0.29235371947288513,0.33373522758483887,0.32389625906944275
kill,0.2582238018512726,0.2139696478843689,0.2120579034090042,0.1590711623430252,0.1907513439655304,0.15162935853004456,0.13631252944469452,0.19622670114040375,0.15679726004600525,0.328944593667984,0.14228515326976776,0.3019275963306427,0.1932259500026703
",",0.3087472915649414,0.220574751496315,0.26278790831565857,0.5201468467712402,0.4933079481124878,0.2214922308921814,0.26637205481529236,0.4691906273365021,0.3604377806186676,0.44245919585227966,0.23954764008522034,0.2653752565383911,0.31091248989105225
while,0.35511791706085205,0.1871102750301361,0.1815672069787979,0.3399278521537781,0.39804592728614807,0.21993641555309296,0.14200472831726074,0.2713196575641632,0.1925407499074936,0.43899232149124146,0.32926565408706665,0.20243003964424133,0.21076419949531555
piranha,0.1448698192834854,0.4086742103099823,0.2300165444612503,0.21822728216648102,0.28045064210891724,0.3366020619869232,0.31704622507095337,0.20859770476818085,0.23327872157096863,0.16667254269123077,0.17849582433700562,0.26544085144996643,0.18420469760894775
are,0.29724663496017456,0.2770862281322479,0.2966900169849396,0.3841303884983063,0.40399202704429626,0.15230076014995575,0.10382523387670517,0.5330929756164551,0.26720109581947327,0.3504326641559601,0.23564057052135468,0.35193100571632385,0.24591213464736938
known,0.20381177961826324,0.1756312996149063,0.17492510378360748,0.32641831040382385,0.3624623417854309,0.11861357092857361,0.10661573708057404,0.41921812295913696,1.0,0.14337651431560516,0.1399037390947342,0.16746363043785095,0.18314571678638458
to,0.455847829580307,0.22548449039459229,0.2300543487071991,0.45010748505592346,0.535392165184021,0.17033490538597107,0.13636653125286102,0.42745086550712585,0.14337651431560516,1.0,0.2818625569343567,0.3031579256057739,0.29463258385658264
bite,0.20283693075180054,0.34462055563926697,0.1409367024898529,0.16856811940670013,0.16828715801239014,0.22146978974342346,0.19360186159610748,0.23390787839889526,0.1562778800725937,0.2413167506456375,0.4479174315929413,0.37848323583602905,0.25898826122283936
and,0.31309178471565247,0.2571234405040741,0.27568840980529785,0.4954058527946472,0.5171257257461548,0.23464977741241455,0.19898422062397003,0.3859752118587494,0.3468935489654541,0.48971283435821533,0.23591776192188263,0.36259907484054565,0.20544172823429108
injure,0.21166452765464783,0.20122382044792175,0.2424282431602478,0.24603967368602753,0.23379115760326385,0.1855166256427765,0.08602572232484818,0.1800631433725357,0.15899890661239624,0.2863658368587494,0.12019023299217224,0.2798488140106201,0.19148845970630646
humans,0.28355827927589417,0.2688465118408203,0.2990921437740326,0.23748517036437988,0.29565489292144775,0.2082948386669159,0.17405903339385986,0.24904371798038483,0.16746363043785095,0.3031579256057739,0.20881356298923492,1.0,0.20141740143299103
.,0.3567904531955719,0.25675517320632935,0.27785244584083557,0.5591574311256409,0.5934505462646484,0.262887567281723,0.21443960070610046,0.4569662809371948,0.283290296792984,0.4645031690597534,0.22276760637760162,0.2638982832431793,0.4130953550338745
