,king,sigimund,'s,column,is,an,example,of,what,kind,of,attraction,in,warsaw,?
other,0.1073838546872139,0.20486147701740265,0.04445967823266983,0.2505342960357666,0.25895947217941284,0.1556563824415207,0.42318204045295715,0.38583824038505554,0.341873437166214,0.2729318141937256,0.38583824038505554,0.2596251964569092,0.39989137649536133,0.18442021310329437,0.24682199954986572
main,0.11112038046121597,0.2174718976020813,0.032559316605329514,0.1395093947649002,0.3009335994720459,0.18319673836231232,0.2034275382757187,0.3177044689655304,0.2344268560409546,0.17713209986686707,0.3177044689655304,0.2289014458656311,0.28862449526786804,0.17904017865657806,0.1665669083595276
architectural,0.10014376789331436,0.2215508073568344,-0.03541046753525734,0.22337988018989563,0.16683503985404968,0.1544225513935089,0.20706887543201447,0.2795933783054352,0.20413975417613983,0.16495779156684875,0.2795933783054352,0.25434410572052,0.25104397535324097,0.18325236439704895,0.13917183876037598
attractions,0.11477462947368622,0.2871984839439392,-0.003914748318493366,0.09577608108520508,0.28019091486930847,0.1393924057483673,0.24463802576065063,0.2880677282810211,0.14891880750656128,0.17122869193553925,0.2880677282810211,0.923599898815155,0.28832805156707764,0.16734226047992706,0.060101259499788284
include,0.0663486197590828,0.1482638716697693,-0.07849370688199997,0.11497706919908524,0.28863582015037537,0.14737801253795624,0.3811541199684143,0.37431180477142334,0.1535889357328415,0.21321992576122284,0.37431180477142334,0.2267000824213028,0.28694382309913635,0.10660800337791443,0.14925788342952728
the,0.25887003540992737,0.303066611289978,-0.01540423184633255,0.2747204005718231,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,0.42745697498321533,0.2516445517539978,0.733189046382904,0.25437813997268677,0.6662389636039734,0.23137180507183075,0.22068053483963013
castle,0.25586259365081787,0.33742624521255493,-0.12325005233287811,0.1369764506816864,0.17311879992485046,0.09222753345966339,0.10413477569818497,0.19318179786205292,0.15708477795124054,0.1594967246055603,0.19318179786205292,0.220907524228096,0.2009769082069397,0.19518479704856873,0.0871945396065712
square,0.15750308334827423,0.25698351860046387,0.001511616283096373,0.1852920949459076,0.2405121773481369,0.17708706855773926,0.2341369241476059,0.2585134208202362,0.12660330533981323,0.11247903853654861,0.2585134208202362,0.23920993506908417,0.2193731665611267,0.21351832151412964,0.1201515942811966
with,0.1820080578327179,0.22749672830104828,-0.04624466598033905,0.18690408766269684,0.3250955045223236,0.2730048894882202,0.3082926869392395,0.41827285289764404,0.2464839518070221,0.2680599093437195,0.41827285289764404,0.15736643970012665,0.4080928862094879,0.15415489673614502,0.2433311939239502
the,0.25887003540992737,0.303066611289978,-0.01540423184633255,0.2747204005718231,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,0.42745697498321533,0.2516445517539978,0.733189046382904,0.25437813997268677,0.6662389636039734,0.23137180507183075,0.22068053483963013
