,what,type,of,mentorship,does,the,lds,church,focus,on,?
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.2141905128955841,0.214483380317688,0.6662389636039734,0.1740175187587738,0.2493300437927246,0.27219411730766296,0.46853652596473694,0.20430970191955566
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.24017667770385742,0.35928019881248474,1.0,0.21610027551651,0.23846197128295898,0.25318023562431335,0.5107308030128479,0.22068053483963013
church,0.1944202184677124,0.06279973685741425,0.3079429268836975,0.25213363766670227,0.16385334730148315,0.23846197128295898,0.43778929114341736,0.9999999403953552,0.06905081123113632,0.1726921796798706,0.18081501126289368
of,0.33290785551071167,0.18112817406654358,1.0,0.2184096872806549,0.3119818866252899,0.733189046382904,0.2256365418434143,0.3079429268836975,0.2428540587425232,0.3966929316520691,0.1826142966747284
jesus,0.307744562625885,0.08371062576770782,0.21039734780788422,0.2132822573184967,0.17678984999656677,0.23073002696037292,0.39935389161109924,0.3845904767513275,0.17374025285243988,0.1655542254447937,0.19975169003009796
christ,0.2615339457988739,0.019756807014346123,0.27289092540740967,0.20875810086727142,0.13827764987945557,0.25124865770339966,0.3852476179599762,0.4993642270565033,0.19266778230667114,0.16157518327236176,0.13772203028202057
of,0.33290785551071167,0.18112817406654358,1.0,0.2184096872806549,0.3119818866252899,0.733189046382904,0.2256365418434143,0.3079429268836975,0.2428540587425232,0.3966929316520691,0.1826142966747284
latter-day,0.27307119965553284,0.13056237995624542,0.3259866237640381,0.24565489590168,0.14557431638240814,0.3910856246948242,0.33262866735458374,0.3771452307701111,0.21517522633075714,0.3034658432006836,0.1801917403936386
saints,0.20729289948940277,0.10268010944128036,0.2700014114379883,0.1596626192331314,0.21652716398239136,0.22267529368400574,0.43643876910209656,0.5138506293296814,0.11559086292982101,0.17417308688163757,0.1782425343990326
(,0.2411840260028839,0.1677488386631012,0.35032153129577637,0.18052446842193604,0.2728188931941986,0.33289089798927307,0.15319646894931793,0.17581534385681152,0.14255386590957642,0.28656116127967834,0.40561532974243164
lds,0.19392722845077515,0.051775820553302765,0.2256365418434143,0.18749958276748657,0.2348967045545578,0.21610027551651,1.0,0.43778929114341736,0.2119324505329132,0.18052934110164642,0.23273463547229767
church,0.1944202184677124,0.06279973685741425,0.3079429268836975,0.25213363766670227,0.16385334730148315,0.23846197128295898,0.43778929114341736,0.9999999403953552,0.06905081123113632,0.1726921796798706,0.18081501126289368
),0.26259949803352356,0.18612703680992126,0.3680361211299896,0.20053234696388245,0.2575884759426117,0.3456730246543884,0.15829424560070038,0.1983546018600464,0.1483049839735031,0.29937487840652466,0.42300865054130554
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2504138946533203,0.28617382049560547,0.4933079481124878,0.24706560373306274,0.2707274258136749,0.23845507204532623,0.49057599902153015,0.31091248989105225
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.24017667770385742,0.35928019881248474,1.0,0.21610027551651,0.23846197128295898,0.25318023562431335,0.5107308030128479,0.22068053483963013
teacher,0.20492632687091827,0.13493123650550842,0.19968076050281525,0.3486343324184418,0.1430262327194214,0.17760860919952393,0.1892998069524765,0.2423553615808487,0.21173880994319916,0.1997784823179245,0.1797819435596466
