,in,cases,with,shared,medium,how,is,it,delivered
in,1.0,0.24487079679965973,0.4080928862094879,0.24815475940704346,0.14635127782821655,0.2601168751716614,0.5394441485404968,0.5130809545516968,0.17497003078460693
case,0.2190418541431427,0.681205153465271,0.2825133502483368,0.13554970920085907,0.20287580788135529,0.22917897999286652,0.26648613810539246,0.27522414922714233,0.21070463955402374
of,0.5696388483047485,0.31000128388404846,0.41827285289764404,0.2307819277048111,0.17851373553276062,0.2480744868516922,0.4854315221309662,0.38761502504348755,0.17907582223415375
a,0.539380669593811,0.3244450092315674,0.3783375024795532,0.13874579966068268,0.2819516956806183,0.29312583804130554,0.658733606338501,0.5452592968940735,0.2538176476955414
shared,0.24815475940704346,0.09992337226867676,0.35073861479759216,0.9999998807907104,0.10950738936662674,0.13892985880374908,0.15255604684352875,0.11882667988538742,0.1501687616109848
physical,0.20687337219715118,0.21126948297023773,0.23047693073749542,0.2642470896244049,0.21368364989757538,0.3465515077114105,0.16296368837356567,0.14446115493774414,0.13165177404880524
medium,0.14635127782821655,0.2037787288427353,0.1298583447933197,0.10950738936662674,1.0,0.1923702508211136,0.2135585993528366,0.15823599696159363,0.2304791957139969
(,0.3087427020072937,0.19813179969787598,0.29503780603408813,0.22719857096672058,0.20234975218772888,0.1676948219537735,0.35393038392066956,0.2745298147201538,0.1400030255317688
such,0.2704046070575714,0.3680051267147064,0.3346101939678192,0.17670515179634094,0.2591109871864319,0.307365357875824,0.23545363545417786,0.28879642486572266,0.12999404966831207
as,0.3887844979763031,0.2877117991447449,0.40387406945228577,0.1761624664068222,0.19288280606269836,0.33782753348350525,0.43216490745544434,0.4461488723754883,0.21823139488697052
radio,0.22625693678855896,0.125605046749115,0.15850627422332764,0.08685529977083206,0.2548438608646393,0.1959047019481659,0.1481926590204239,0.200987309217453,0.14655250310897827
or,0.3586423695087433,0.44568488001823425,0.38158315420150757,0.2247755229473114,0.2899248003959656,0.3378981947898865,0.41870999336242676,0.36389440298080444,0.16629020869731903
10base5,0.24819695949554443,0.18516403436660767,0.1517861783504486,0.19665338099002838,0.12211162596940994,0.13498714566230774,0.23788748681545258,0.20887789130210876,0.14162907004356384
),0.3326910734176636,0.21103455126285553,0.3069596290588379,0.22237952053546906,0.18372027575969696,0.17939934134483337,0.37732169032096863,0.28560304641723633,0.15155762434005737
",",0.5201468467712402,0.25102201104164124,0.4120737314224243,0.2729959785938263,0.1837785542011261,0.22659391164779663,0.4691906273365021,0.48329564929008484,0.17977340519428253
the,0.6662389636039734,0.33415094017982483,0.4223487675189972,0.21652492880821228,0.21611663699150085,0.33890387415885925,0.5823672413825989,0.6251175999641418,0.24479162693023682
packets,0.18608306348323822,0.31380438804626465,0.2967727780342102,0.23188301920890808,0.2549211382865906,0.32003575563430786,0.19614604115486145,0.21982933580875397,0.28281739354133606
may,0.3424151837825775,0.31341353058815,0.23512546718120575,0.20039263367652893,0.1093943789601326,0.22490409016609192,0.322792649269104,0.30672433972358704,0.19146524369716644
be,0.3481820821762085,0.42340087890625,0.36101722717285156,0.12532131373882294,0.20830094814300537,0.4158933162689209,0.4819129705429077,0.5203388929367065,0.20535118877887726
delivered,0.17497003078460693,0.12652738392353058,0.2027389258146286,0.1501687616109848,0.2304791957139969,0.20087435841560364,0.15442995727062225,0.1866314858198166,1.0000001192092896
according,0.29259276390075684,0.16094496846199036,0.25230053067207336,0.15243837237358093,0.12248688191175461,0.29424387216567993,0.2838992476463318,0.2640290856361389,0.2130226343870163
to,0.45010748505592346,0.2987212836742401,0.4239959120750427,0.14570777118206024,0.14374034106731415,0.44169697165489197,0.42745086550712585,0.513711154460907,0.24276024103164673
a,0.539380669593811,0.3244450092315674,0.3783375024795532,0.13874579966068268,0.2819516956806183,0.29312583804130554,0.658733606338501,0.5452592968940735,0.2538176476955414
multiple,0.18657618761062622,0.2657628357410431,0.23303250968456268,0.17827977240085602,0.15260803699493408,0.2151651531457901,0.12635007500648499,0.12368384748697281,0.13796336948871613
access,0.1658785492181778,0.27840059995651245,0.20532575249671936,0.2123253345489502,0.1795767992734909,0.26768216490745544,0.21022571623325348,0.2393895387649536,0.20584969222545624
scheme,0.1564595103263855,0.21549800038337708,0.14004714787006378,0.09300874918699265,0.09272247552871704,0.2220870554447174,0.1902938038110733,0.21144002676010132,0.16153304278850555
.,0.5591574311256409,0.29929009079933167,0.4446153938770294,0.2191859483718872,0.18136726319789886,0.3287222981452942,0.4569662809371948,0.5593622326850891,0.21209438145160675
