,what,type,of,landscapes,other,than,geologic,and,natural,ecosystem,landscapes,can,be,found,in,southern,california,?
southern,0.18679563701152802,0.08976348489522934,0.31933003664016724,0.22172266244888306,0.22025135159492493,0.16775213181972504,0.1934637874364853,0.24232792854309082,0.1499609798192978,0.23716072738170624,0.22172266244888306,0.0867943987250328,0.13618789613246918,0.24002797901630402,0.3190481662750244,1.0,0.2983402609825134,0.11225555837154388
california,0.1811584085226059,0.1341519057750702,0.24929828941822052,0.13314741849899292,0.19346874952316284,0.17079950869083405,0.17862437665462494,0.2441616654396057,0.23368637263774872,0.2135319858789444,0.13314741849899292,0.16841033101081848,0.17179958522319794,0.16289275884628296,0.2772824168205261,0.2983402609825134,1.0,0.1409905105829239
consists,0.11367427557706833,0.25766944885253906,0.41510096192359924,0.15612727403640747,0.2577906548976898,0.22397543489933014,0.23320604860782623,0.2891005575656891,0.1662093847990036,0.15138477087020874,0.15612727403640747,0.16898587346076965,0.2368895560503006,0.2244793027639389,0.3011418879032135,0.1401759684085846,0.11834762990474701,-0.004641483072191477
of,0.33290785551071167,0.18112817406654358,1.0,0.2691197097301483,0.38583824038505554,0.33036211133003235,0.2885846793651581,0.5116966962814331,0.2963479459285736,0.26304125785827637,0.2691197097301483,0.2603091299533844,0.33904364705085754,0.2982911467552185,0.5696388483047485,0.31933003664016724,0.24929828941822052,0.1826142966747284
one,0.376489520072937,0.2377735823392868,0.4999135136604309,0.1710159331560135,0.45956575870513916,0.43810948729515076,0.21101108193397522,0.42438167333602905,0.24921293556690216,0.2026180624961853,0.1710159331560135,0.34032124280929565,0.4154875874519348,0.21342429518699646,0.4129433035850525,0.18585622310638428,0.19388975203037262,0.2673267424106598
of,0.33290785551071167,0.18112817406654358,1.0,0.2691197097301483,0.38583824038505554,0.33036211133003235,0.2885846793651581,0.5116966962814331,0.2963479459285736,0.26304125785827637,0.2691197097301483,0.2603091299533844,0.33904364705085754,0.2982911467552185,0.5696388483047485,0.31933003664016724,0.24929828941822052,0.1826142966747284
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.21186833083629608,0.44152235984802246,0.3227543234825134,0.27847176790237427,0.5171257257461548,0.2291368842124939,0.26392892003059387,0.21186833083629608,0.312528520822525,0.4248143136501312,0.3452354073524475,0.6662389636039734,0.3282862603664398,0.2750805914402008,0.22068053483963013
more,0.3484537899494171,0.2277899980545044,0.30478984117507935,0.20288123190402985,0.49628373980522156,0.726518988609314,0.21370741724967957,0.39880692958831787,0.19589680433273315,0.2659372389316559,0.20288123190402985,0.4044358730316162,0.5445363521575928,0.23245514929294586,0.32563260197639465,0.13608552515506744,0.15166103839874268,0.27894994616508484
varied,0.28807467222213745,0.22995756566524506,0.3254011273384094,0.37581852078437805,0.3069998025894165,0.2686189115047455,0.3038081228733063,0.31809723377227783,0.25913169980049133,0.35433048009872437,0.37581852078437805,0.28445929288864136,0.28472721576690674,0.23930348455905914,0.23159094154834747,0.23403586447238922,0.16465623676776886,0.14171531796455383
collections,0.22708594799041748,0.18900363147258759,0.3185039758682251,0.33235397934913635,0.34929129481315613,0.2000291645526886,0.2055153250694275,0.2914140522480011,0.19379568099975586,0.20362237095832825,0.33235397934913635,0.21467486023902893,0.20191146433353424,0.2498386800289154,0.2719179093837738,0.13256731629371643,0.23975874483585358,0.1873358190059662
of,0.33290785551071167,0.18112817406654358,1.0,0.2691197097301483,0.38583824038505554,0.33036211133003235,0.2885846793651581,0.5116966962814331,0.2963479459285736,0.26304125785827637,0.2691197097301483,0.2603091299533844,0.33904364705085754,0.2982911467552185,0.5696388483047485,0.31933003664016724,0.24929828941822052,0.1826142966747284
geologic,0.2760752737522125,0.14639858901500702,0.2885846793651581,0.3431292474269867,0.12173979729413986,0.1938762068748474,0.9999999403953552,0.1878790259361267,0.3359626829624176,0.3254692554473877,0.3431292474269867,0.18614111840724945,0.20028342306613922,0.27999651432037354,0.23343469202518463,0.1934637874364853,0.17862437665462494,0.18781805038452148
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.24080586433410645,0.4446498453617096,0.3371901512145996,0.19010312855243683,0.6633074283599854,0.30864179134368896,0.1941627413034439,0.24080586433410645,0.3139454126358032,0.39254459738731384,0.27385151386260986,0.5201468467712402,0.2795628309249878,0.2704589068889618,0.31091248989105225
topographic,0.14779779314994812,0.12835370004177094,0.3007392883300781,0.46131712198257446,0.13819646835327148,0.14937345683574677,0.5523737072944641,0.26034367084503174,0.2838604748249054,0.3045448660850525,0.46131712198257446,0.16190725564956665,0.13449299335479736,0.24107958376407623,0.2512044310569763,0.2763514816761017,0.2140149176120758,0.11078166216611862
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.24080586433410645,0.4446498453617096,0.3371901512145996,0.19010312855243683,0.6633074283599854,0.30864179134368896,0.1941627413034439,0.24080586433410645,0.3139454126358032,0.39254459738731384,0.27385151386260986,0.5201468467712402,0.2795628309249878,0.2704589068889618,0.31091248989105225
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.3002045452594757,0.5504306554794312,0.39361441135406494,0.1878790259361267,1.0,0.3004496097564697,0.2580353617668152,0.3002045452594757,0.3675691485404968,0.41766801476478577,0.27978911995887756,0.4954058527946472,0.24232792854309082,0.2441616654396057,0.20544172823429108
natural,0.15666867792606354,0.068992480635643,0.2963479459285736,0.3219762146472931,0.2570590674877167,0.20237292349338531,0.3359626829624176,0.3004496097564697,1.0,0.396480530500412,0.3219762146472931,0.24739035964012146,0.2263202965259552,0.2138468325138092,0.32136213779449463,0.1499609798192978,0.23368637263774872,0.16155436635017395
ecosystem,0.18935301899909973,0.16214171051979065,0.26304125785827637,0.3436226546764374,0.2486225664615631,0.2527356743812561,0.3254692554473877,0.2580353617668152,0.396480530500412,1.0000001192092896,0.3436226546764374,0.2727937698364258,0.2761877179145813,0.21486973762512207,0.22401294112205505,0.23716072738170624,0.2135319858789444,0.1864660233259201
landscapes,0.22770287096500397,0.10454703867435455,0.2691197097301483,1.0,0.14317122101783752,0.1429959237575531,0.3431292474269867,0.3002045452594757,0.3219762146472931,0.3436226546764374,1.0,0.12221944332122803,0.15277045965194702,0.19913864135742188,0.26519930362701416,0.22172266244888306,0.13314741849899292,0.13407273590564728
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.26519930362701416,0.39989137649536133,0.3270052373409271,0.23343469202518463,0.4954058527946472,0.32136213779449463,0.22401294112205505,0.26519930362701416,0.26527702808380127,0.3481820821762085,0.39141854643821716,1.0,0.3190481662750244,0.2772824168205261,0.20430970191955566
a,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.21160751581192017,0.2806335389614105,0.3126874566078186,0.24017247557640076,0.3739250600337982,0.19475746154785156,0.1789931356906891,0.21160751581192017,0.3915780484676361,0.39883795380592346,0.2869448959827423,0.539380669593811,0.25843560695648193,0.2426064908504486,0.23916715383529663
diversity,0.2244141548871994,0.21745418012142181,0.30036839842796326,0.2640896737575531,0.2642907202243805,0.2305680215358734,0.27001723647117615,0.2822173237800598,0.2911946475505829,0.46341270208358765,0.2640896737575531,0.1740831732749939,0.1612282544374466,0.19390343129634857,0.2306472808122635,0.18585266172885895,0.20930375158786774,0.057167764753103256
