,along,with,dan,fouts,",",who,served,as,a,color,analyst,for,the,radio,broadcast,?
westwood,0.1599058210849762,0.1647321730852127,0.16283684968948364,0.22817279398441315,0.29910868406295776,0.18958885967731476,0.19050362706184387,0.28776946663856506,0.2102794200181961,0.14488482475280762,0.25535404682159424,0.2745876908302307,0.289829283952713,0.270943284034729,0.3024093806743622,0.17119714617729187
one,0.3453238010406494,0.3855307400226593,0.12329176068305969,0.2757849395275116,0.3696635365486145,0.40083858370780945,0.16785596311092377,0.3954789340496063,0.4910551905632019,0.16016504168510437,0.1907147467136383,0.384836345911026,0.5514441132545471,0.22566388547420502,0.2145468145608902,0.2673267424106598
will,0.18856222927570343,0.33888739347457886,0.12697359919548035,0.3012094497680664,0.29706671833992004,0.24651563167572021,0.09476418048143387,0.3047071695327759,0.3401327431201935,0.1928393542766571,0.16482478380203247,0.3647450804710388,0.3635469079017639,0.14596246182918549,0.16020336747169495,0.35046905279159546
carry,0.1602284163236618,0.22976382076740265,0.11332044005393982,0.19571222364902496,0.1951419711112976,0.20254260301589966,0.21413622796535492,0.21199582517147064,0.2364719659090042,0.1438634842634201,0.11165820062160492,0.2858029901981354,0.26752355694770813,0.18107746541500092,0.182814359664917,0.17171701788902283
the,0.39495137333869934,0.4223487675189972,0.21507468819618225,0.28466182947158813,0.4933079481124878,0.3733934462070465,0.25209251046180725,0.48381632566452026,0.5829201340675354,0.21895472705364227,0.24423721432685852,0.4739971458911896,1.0,0.23511973023414612,0.2713715434074402,0.22068053483963013
game,0.17132028937339783,0.19394829869270325,0.16820552945137024,0.3081877529621124,0.2653886377811432,0.2523840069770813,0.10076654702425003,0.18194591999053955,0.23211604356765747,0.24641147255897522,0.3316159248352051,0.2608485519886017,0.285271555185318,0.22439733147621155,0.2862359285354614,0.1829071193933487
throughout,0.34579187631607056,0.3559260964393616,0.06019116938114166,0.30584099888801575,0.22385434806346893,0.22343657910823822,0.20795513689517975,0.2935595214366913,0.2578590512275696,0.15362001955509186,0.17366504669189453,0.31491008400917053,0.4158564507961273,0.20322127640247345,0.23048080503940582,0.12665234506130219
north,0.28480100631713867,0.185934916138649,0.10491226613521576,0.21657173335552216,0.31834840774536133,0.11026738584041595,0.22819015383720398,0.22670356929302216,0.25008413195610046,0.13689766824245453,0.14170411229133606,0.17560088634490967,0.36298373341560364,0.1604752391576767,0.19772908091545105,0.11829731613397598
america,0.17035698890686035,0.21664398908615112,0.1509472131729126,0.23016029596328735,0.253568559885025,0.1830417811870575,0.1736234575510025,0.22265762090682983,0.22012436389923096,0.1663532704114914,0.20393049716949463,0.243271604180336,0.37090015411376953,0.18978674709796906,0.2707236111164093,0.19333907961845398
",",0.29824912548065186,0.4120737314224243,0.2779068052768707,0.29717838764190674,1.0000001192092896,0.3365725874900818,0.2739005386829376,0.48816442489624023,0.427140474319458,0.20653429627418518,0.23385494947433472,0.4464869201183319,0.4933079481124878,0.25251123309135437,0.24917922914028168,0.31091248989105225
with,0.47997185587882996,0.9999999403953552,0.13039369881153107,0.2695961892604828,0.4120737314224243,0.3282766342163086,0.17899122834205627,0.40387406945228577,0.3783375024795532,0.22848032414913177,0.14874672889709473,0.39140474796295166,0.4223487675189972,0.15850627422332764,0.1932039111852646,0.2433311939239502
kevin,0.19568893313407898,0.1865609884262085,0.3762900233268738,0.12529747188091278,0.21483652293682098,0.2511484920978546,0.18201959133148193,0.2800542116165161,0.18644659221172333,0.06317070126533508,0.2390834391117096,0.17402775585651398,0.179534912109375,0.19655464589595795,0.23892514407634735,0.1176677793264389
harlan,0.09543639421463013,0.15966862440109253,0.3048102557659149,0.16107159852981567,0.2966327369213104,0.2475024312734604,0.2588595747947693,0.22716505825519562,0.21752335131168365,0.18395207822322845,0.2450835108757019,0.19328321516513824,0.22123396396636963,0.17283225059509277,0.19688007235527039,0.1691509187221527
as,0.31813573837280273,0.40387406945228577,0.1914626955986023,0.1800897866487503,0.48816442489624023,0.3923053741455078,0.35688039660453796,1.0,0.39550232887268066,0.21893621981143951,0.2652720510959625,0.44774648547172546,0.48381632566452026,0.18667691946029663,0.19535446166992188,0.27043893933296204
play-by-play,0.19092224538326263,0.26767468452453613,0.19513475894927979,0.2978123724460602,0.2556174397468567,0.2488287091255188,0.09888406097888947,0.21848075091838837,0.25785258412361145,0.26749542355537415,0.3300977647304535,0.318437397480011,0.2794552743434906,0.31086286902427673,0.3359743058681488,0.2925850749015808
