,what,was,the,catalyst,that,created,greater,interest,in,renewable,resources,?
the,0.42745697498321533,0.48711544275283813,1.0,0.21989983320236206,0.5473989248275757,0.3539263904094696,0.2814446687698364,0.197127103805542,0.6662389636039734,0.21781468391418457,0.25734785199165344,0.22068053483963013
energy,0.190252885222435,0.15364649891853333,0.26756542921066284,0.3995874524116516,0.2617390751838684,0.18346628546714783,0.19259685277938843,0.2912856340408325,0.17693158984184265,0.581517219543457,0.39112088084220886,0.14860127866268158
crisis,0.23514460027217865,0.20050278306007385,0.263981431722641,0.23592203855514526,0.23239389061927795,0.14341846108436584,0.16174235939979553,0.24014067649841309,0.19426369667053223,0.3057160973548889,0.2838004231452942,0.17902959883213043
led,0.12112844735383987,0.34443995356559753,0.3267505168914795,0.21531246602535248,0.20931211113929749,0.20910999178886414,0.16313934326171875,0.1968705952167511,0.2990247309207916,0.11911691725254059,0.23819856345653534,0.09273858368396759
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.22533655166625977,0.5436353087425232,0.2592601478099823,0.25585630536079407,0.29384326934814453,0.45010748505592346,0.3290753662586212,0.3263809382915497,0.29463258385658264
greater,0.1946859508752823,0.1568739414215088,0.2814446687698364,0.10332868993282318,0.2520751655101776,0.17350547015666962,1.0000001192092896,0.21920940279960632,0.26627716422080994,0.16874419152736664,0.16753850877285004,0.09723397344350815
interest,0.23849236965179443,0.18275634944438934,0.197127103805542,0.2381226271390915,0.33937549591064453,0.21549955010414124,0.21920940279960632,1.0000001192092896,0.27232617139816284,0.3169601261615753,0.34626370668411255,0.2411724328994751
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.18604736030101776,0.435920387506485,0.2843434810638428,0.26627716422080994,0.27232617139816284,1.0,0.21835893392562866,0.2161814570426941,0.20430970191955566
renewable,0.20174002647399902,0.0990142896771431,0.21781468391418457,0.30574312806129456,0.2935086786746979,0.19389817118644714,0.16874419152736664,0.3169601261615753,0.21835893392562866,0.9999999403953552,0.5438634157180786,0.22101682424545288
energy,0.190252885222435,0.15364649891853333,0.26756542921066284,0.3995874524116516,0.2617390751838684,0.18346628546714783,0.19259685277938843,0.2912856340408325,0.17693158984184265,0.581517219543457,0.39112088084220886,0.14860127866268158
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.1982959508895874,0.4137537479400635,0.2755771577358246,0.25035545229911804,0.2741461396217346,0.5201468467712402,0.2232004553079605,0.2789028584957123,0.31091248989105225
nuclear,0.23862333595752716,0.16506333649158478,0.23911187052726746,0.34981048107147217,0.19523723423480988,0.110780730843544,0.12602947652339935,0.14914874732494354,0.2580479681491852,0.41104063391685486,0.2623988687992096,0.1865687519311905
power,0.22216427326202393,0.1794997751712799,0.2647338807582855,0.22361896932125092,0.2680378556251526,0.12084059417247772,0.17981243133544922,0.2020125538110733,0.16666220128536224,0.4037432372570038,0.3394971787929535,0.15304024517536163
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.2098906934261322,0.4731321930885315,0.2873832881450653,0.26711440086364746,0.26105934381484985,0.4954058527946472,0.25729137659072876,0.3116118013858795,0.20544172823429108
domestic,0.11560896784067154,0.16082599759101868,0.21731778979301453,0.095409095287323,0.20620352029800415,0.1280808001756668,0.21417833864688873,0.13766911625862122,0.208420991897583,0.3211117684841156,0.1732986867427826,0.1850636899471283
fossil,0.22930388152599335,0.10512274503707886,0.21818694472312927,0.21286346018314362,0.27467289566993713,0.09429606795310974,0.12183225154876709,0.23815061151981354,0.22461621463298798,0.39418336749076843,0.270558625459671,0.15712964534759521
fuels,0.2505243420600891,0.14967280626296997,0.18556588888168335,0.4680436849594116,0.27841734886169434,0.0943247377872467,0.14245636761188507,0.2301398366689682,0.17114129662513733,0.6504017114639282,0.44116806983947754,0.22506318986415863
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.23796483874320984,0.4460422694683075,0.3230568766593933,0.20152446627616882,0.2713910639286041,0.5591574311256409,0.22541557252407074,0.2478848099708557,0.4130953550338745
