,in,the,wake,of,the,jacksonville,fire,",",what,did,the,florida,governor,do,?
governor,0.19612561166286469,0.19955585896968842,0.07670161128044128,0.19877229630947113,0.19955585896968842,0.2060924619436264,0.16270554065704346,0.25151750445365906,0.21184112131595612,0.1650441586971283,0.19955585896968842,0.13546809554100037,1.0,0.10160153359174728,0.135940283536911
jennings,0.2230689972639084,0.2316640317440033,0.14097008109092712,0.15836428105831146,0.2316640317440033,0.34167540073394775,0.17754843831062317,0.35216790437698364,0.1697235256433487,0.16656774282455444,0.2316640317440033,0.22279304265975952,0.27984821796417236,0.07094632834196091,0.2327541559934616
declare,0.25520235300064087,0.2523198127746582,0.1987096220254898,0.281587690114975,0.2523198127746582,0.08892782777547836,0.18573476374149323,0.2672341763973236,0.271112322807312,0.24485835433006287,0.2523198127746582,0.14179334044456482,0.2279435694217682,0.2283073365688324,0.20834565162658691
martial,0.2320837676525116,0.18506133556365967,0.10305190831422806,0.2202148586511612,0.18506133556365967,0.18782390654087067,0.16349641978740692,0.2518432140350342,0.152587890625,0.1730819195508957,0.18506133556365967,0.16836217045783997,0.19782309234142303,0.18004204332828522,0.10523618757724762
law,0.24850773811340332,0.24548950791358948,0.13031326234340668,0.2816956341266632,0.24548950791358948,0.19069260358810425,0.15620890259742737,0.24953721463680267,0.2145031988620758,0.2238171398639679,0.24548950791358948,0.15163372457027435,0.24366796016693115,0.193905308842659,0.1528988480567932
and,0.4954058527946472,0.5171257257461548,0.23732002079486847,0.5116966962814331,0.5171257257461548,0.2603762745857239,0.2478165328502655,0.6633074283599854,0.31309178471565247,0.34479495882987976,0.5171257257461548,0.22456413507461548,0.19707801938056946,0.276123583316803,0.20544172823429108
sent,0.25609636306762695,0.3010627329349518,0.1809539645910263,0.28923630714416504,0.3010627329349518,0.17512933909893036,0.13331691920757294,0.2487054318189621,0.19595611095428467,0.3411059081554413,0.3010627329349518,0.19391222298145294,0.2587833106517792,0.1656864732503891,0.10903520882129669
the,0.6662389636039734,1.0,0.19048289954662323,0.733189046382904,1.0,0.2176690250635147,0.2911929488182068,0.4933079481124878,0.42745697498321533,0.34736719727516174,1.0,0.24091358482837677,0.19955585896968842,0.30239659547805786,0.22068053483963013
state,0.33316072821617126,0.3097178041934967,0.18474027514457703,0.34253445267677307,0.3097178041934967,0.279419481754303,0.14851434528827667,0.29481780529022217,0.24273863434791565,0.152080237865448,0.3097178041934967,0.30986836552619934,0.3357430398464203,0.21297907829284668,0.1160883978009224
militia,0.22128655016422272,0.22964103519916534,0.12889482080936432,0.22431901097297668,0.22964103519916534,0.3083842098712921,0.16868481040000916,0.21061602234840393,0.20625215768814087,0.2361917346715927,0.22964103519916534,0.19960366189479828,0.36827969551086426,0.15427501499652863,0.16097775101661682
to,0.45010748505592346,0.535392165184021,0.25551822781562805,0.41548454761505127,0.535392165184021,0.1994343250989914,0.2020210474729538,0.44245919585227966,0.455847829580307,0.4452643394470215,0.535392165184021,0.20760414004325867,0.15556925535202026,0.38876664638519287,0.29463258385658264
maintain,0.18554846942424774,0.2896709144115448,0.17463535070419312,0.2703363299369812,0.2896709144115448,0.13633376359939575,0.15538795292377472,0.22615692019462585,0.2619679272174835,0.242290660738945,0.2896709144115448,0.14722461998462677,0.14421650767326355,0.2804717719554901,0.20568779110908508
order,0.24184700846672058,0.3284194767475128,0.05976272001862526,0.31287699937820435,0.3284194767475128,0.06652946025133133,0.15852080285549164,0.22478096187114716,0.16634008288383484,0.22891858220100403,0.3284194767475128,0.14853647351264954,0.11769221723079681,0.20566318929195404,0.13725648820400238
.,0.5591574311256409,0.5934505462646484,0.20382748544216156,0.5352458953857422,0.5934505462646484,0.2843366861343384,0.2511917054653168,0.6812511086463928,0.3567904531955719,0.35288307070732117,0.5934505462646484,0.23988212645053864,0.2575504183769226,0.3613996207714081,0.4130953550338745
