,what,brand,of,car,is,manufactured,in,broadmeadows,?
holden,0.09738751500844955,0.3238447308540344,0.18827825784683228,0.2319398820400238,0.2498326301574707,0.27769994735717773,0.2851129174232483,0.37490114569664,0.16267192363739014
's,0.02692362666130066,-0.047709349542856216,-0.03817026689648628,0.06186335161328316,0.02396530658006668,0.01982387900352478,-0.037580832839012146,0.07727078348398209,-0.023395681753754616
announcement,0.2184571474790573,0.26714959740638733,0.25170645117759705,0.18582451343536377,0.2098904699087143,0.1558554768562317,0.23808319866657257,0.2280369997024536,0.24608203768730164
occurred,0.22118957340717316,0.07678829878568649,0.31296631693840027,0.17380988597869873,0.186143696308136,0.20892277359962463,0.3479720652103424,0.19885903596878052,0.15880417823791504
in,0.30808621644973755,0.1840389519929886,0.5696388483047485,0.22567488253116608,0.5394441485404968,0.20258495211601257,1.0,0.3517063856124878,0.20430970191955566
may,0.25739946961402893,0.15931184589862823,0.26447007060050964,0.180209219455719,0.322792649269104,0.16746830940246582,0.3424151837825775,0.22612331807613373,0.2768254578113556
2013,-0.3886653184890747,-0.221167653799057,-0.2904720902442932,-0.21199555695056915,-0.3365909159183502,-0.25423067808151245,-0.2606481909751892,-0.13695938885211945,-0.2969330847263336
",",0.3087472915649414,0.26502054929733276,0.4946078956127167,0.21104301512241364,0.4691906273365021,0.2106647491455078,0.5201468467712402,0.36753302812576294,0.31091248989105225
followed,0.20169416069984436,0.10466404259204865,0.3060508966445923,0.16390381753444672,0.19759002327919006,0.20227062702178955,0.3307904005050659,0.16669690608978271,0.20567169785499573
by,0.2455483376979828,0.20311595499515533,0.3646814823150635,0.19369623064994812,0.3899846076965332,0.20842239260673523,0.370934396982193,0.21424177289009094,0.17966607213020325
ford,0.12612242996692657,0.26368650794029236,0.2179923951625824,0.44395124912261963,0.14988628029823303,0.30963510274887085,0.190155491232872,0.3250039219856262,0.19164219498634338
's,0.02692362666130066,-0.047709349542856216,-0.03817026689648628,0.06186335161328316,0.02396530658006668,0.01982387900352478,-0.037580832839012146,0.07727078348398209,-0.023395681753754616
decision,0.32053670287132263,0.17353756725788116,0.2331373691558838,0.1885913461446762,0.2514069080352783,0.1684703230857849,0.2212151288986206,0.1753983348608017,0.2796577215194702
in,0.30808621644973755,0.1840389519929886,0.5696388483047485,0.22567488253116608,0.5394441485404968,0.20258495211601257,1.0,0.3517063856124878,0.20430970191955566
december,0.19304980337619781,0.15049180388450623,0.1503814309835434,0.132573202252388,0.23552489280700684,0.14317579567432404,0.25854936242103577,0.1601368635892868,0.2480352818965912
of,0.33290785551071167,0.13266319036483765,1.0,0.1781313419342041,0.4854315221309662,0.19884580373764038,0.5696388483047485,0.30272841453552246,0.1826142966747284
the,0.42745697498321533,0.18590734899044037,0.733189046382904,0.19754165410995483,0.5823672413825989,0.19734008610248566,0.6662389636039734,0.3116646409034729,0.22068053483963013
same,0.3764382302761078,0.17040486633777618,0.3808329105377197,0.23641732335090637,0.31152886152267456,0.17652137577533722,0.3692481815814972,0.19919797778129578,0.22649677097797394
year,0.15184831619262695,0.19546636939048767,0.2578314542770386,0.1519733965396881,0.2402215600013733,0.10346745699644089,0.3359307050704956,0.19654127955436707,0.18315006792545319
(,0.2411840260028839,0.10116463899612427,0.35032153129577637,0.16872528195381165,0.35393038392066956,0.1088033989071846,0.3087427020072937,0.2378050684928894,0.40561532974243164
ford,0.12612242996692657,0.26368650794029236,0.2179923951625824,0.44395124912261963,0.14988628029823303,0.30963510274887085,0.190155491232872,0.3250039219856262,0.19164219498634338
's,0.02692362666130066,-0.047709349542856216,-0.03817026689648628,0.06186335161328316,0.02396530658006668,0.01982387900352478,-0.037580832839012146,0.07727078348398209,-0.023395681753754616
victorian,0.15513519942760468,0.1426645964384079,0.28338366746902466,0.10743087530136108,0.1690170168876648,0.16454048454761505,0.21606117486953735,0.3454318642616272,0.07572567462921143
plants—in,0.24717582762241364,0.19657114148139954,0.34019041061401367,0.25313276052474976,0.27249452471733093,0.27014970779418945,0.32884296774864197,0.41178417205810547,0.22370363771915436
broadmeadows,0.13266856968402863,0.19594518840312958,0.30272841453552246,0.1731661707162857,0.24128732085227966,0.15253011882305145,0.3517063856124878,0.9999998807907104,0.15289460122585297
and,0.31309178471565247,0.2041386067867279,0.5116966962814331,0.19568514823913574,0.3859752118587494,0.2096557319164276,0.4954058527946472,0.3678872287273407,0.20544172823429108
geelong—will,0.23458319902420044,0.20493948459625244,0.3331613540649414,0.19977539777755737,0.32360872626304626,0.1633094996213913,0.3487604558467865,0.5304847955703735,0.20264343917369843
close,0.23424343764781952,0.11668727546930313,0.24178770184516907,0.09104935079813004,0.26769399642944336,0.14827169477939606,0.23149028420448303,0.23591309785842896,0.1908312737941742
in,0.30808621644973755,0.1840389519929886,0.5696388483047485,0.22567488253116608,0.5394441485404968,0.20258495211601257,1.0,0.3517063856124878,0.20430970191955566
october,0.24927909672260284,0.1492752581834793,0.20846129953861237,0.14601577818393707,0.24397309124469757,0.16406738758087158,0.27560389041900635,0.18072855472564697,0.29706719517707825
2016,0.10915659368038177,-0.002288614399731159,0.1386374831199646,-0.0633382797241211,0.04464074596762657,-0.07000327855348587,0.05308714509010315,0.03459891676902771,-0.12147852033376694
),0.26259949803352356,0.09025644510984421,0.3680361211299896,0.18427881598472595,0.37732169032096863,0.11278335750102997,0.3326910734176636,0.22890609502792358,0.42300865054130554
.,0.3567904531955719,0.1755143702030182,0.5352458953857422,0.2388465255498886,0.4569662809371948,0.2237006425857544,0.5591574311256409,0.29209280014038086,0.4130953550338745
