,what,are,examples,of,economic,actors,?
in,0.30808621644973755,0.3841303884983063,0.25567561388015747,0.5696388483047485,0.22027181088924408,0.18698661029338837,0.20430970191955566
this,0.5489566326141357,0.35762670636177063,0.36814287304878235,0.45148900151252747,0.23486244678497314,0.20935167372226715,0.3155723512172699
perspective,0.3797385096549988,0.25546157360076904,0.270323783159256,0.29868391156196594,0.3161546587944031,0.2166711688041687,0.20587648451328278
",",0.3087472915649414,0.4062570035457611,0.2687304615974426,0.4946078956127167,0.2340485155582428,0.2721500098705292,0.31091248989105225
wages,0.20351257920265198,0.17474032938480377,0.17665967345237732,0.17478904128074646,0.4024271070957184,0.1951819658279419,0.19884631037712097
and,0.31309178471565247,0.48576638102531433,0.35639533400535583,0.5116966962814331,0.2707010805606842,0.22122350335121155,0.20544172823429108
profits,0.22846324741840363,0.23049934208393097,0.19653436541557312,0.16343750059604645,0.31704479455947876,0.1668027639389038,0.1589900553226471
are,0.29724663496017456,1.0,0.5214043259620667,0.39081433415412903,0.17979218065738678,0.22160251438617706,0.24591213464736938
determined,0.2784222662448883,0.238899365067482,0.16539378464221954,0.3115927577018738,0.24280287325382233,0.15025988221168518,0.19379007816314697
by,0.2455483376979828,0.37842893600463867,0.27706319093704224,0.3646814823150635,0.129435196518898,0.21236354112625122,0.17966607213020325
the,0.42745697498321533,0.40399202704429626,0.30092597007751465,0.733189046382904,0.282455176115036,0.27470633387565613,0.22068053483963013
marginal,0.2536638677120209,0.23788893222808838,0.207564115524292,0.2691383361816406,0.3358960449695587,0.10496887564659119,0.18376903235912323
value,0.24056871235370636,0.1797625571489334,0.1999608278274536,0.14933855831623077,0.24139325320720673,0.10350672155618668,0.23920650780200958
added,0.23789235949516296,0.2351086586713791,0.2805418372154236,0.2879071831703186,0.05100192129611969,0.143093079328537,0.2865637540817261
of,0.33290785551071167,0.39081433415412903,0.3054686188697815,1.0,0.3030148148536682,0.22658050060272217,0.1826142966747284
each,0.3353266417980194,0.39730963110923767,0.2376038283109665,0.38460010290145874,0.16310356557369232,0.17636004090309143,0.21173812448978424
economic,0.18082544207572937,0.17979218065738678,0.17012731730937958,0.3030148148536682,0.9999999403953552,0.139154851436615,0.1206481084227562
actor,0.1445341259241104,0.07580823451280594,0.13543617725372314,0.14881062507629395,0.13029401004314423,0.5505256652832031,0.16922013461589813
(,0.2411840260028839,0.23263892531394958,0.18685734272003174,0.35032153129577637,0.12015148252248764,0.17763108015060425,0.40561532974243164
worker,0.17877663671970367,0.12429244816303253,0.07103189080953598,0.1631152182817459,0.24465472996234894,0.16907255351543427,0.1447860300540924
",",0.3087472915649414,0.4062570035457611,0.2687304615974426,0.4946078956127167,0.2340485155582428,0.2721500098705292,0.31091248989105225
capitalist/business,0.3203568160533905,0.25645434856414795,0.24114179611206055,0.25292086601257324,0.5199131965637207,0.2589758336544037,0.24696026742458344
owner,0.149997740983963,0.10598113387823105,0.07547241449356079,0.1597081422805786,0.08358577638864517,0.15215210616588593,0.1461835652589798
",",0.3087472915649414,0.4062570035457611,0.2687304615974426,0.4946078956127167,0.2340485155582428,0.2721500098705292,0.31091248989105225
landlord,0.22242523729801178,0.14885948598384857,0.11451102048158646,0.13146908581256866,0.23348233103752136,0.21064478158950806,0.11567245423793793
),0.26259949803352356,0.2373749315738678,0.20013900101184845,0.3680361211299896,0.14061136543750763,0.19165480136871338,0.42300865054130554
.,0.3567904531955719,0.3452940285205841,0.28905922174453735,0.5352458953857422,0.22435031831264496,0.2096177339553833,0.4130953550338745
