,what,are,the,points,of,algebro-geometric,objects,?
prime,0.15586113929748535,0.12279369682073593,0.19960100948810577,0.17880582809448242,0.23935265839099884,0.2121206820011139,0.06892918795347214,0.11276303976774216
ideals,0.28476682305336,0.21367430686950684,0.3200533390045166,0.2249840945005417,0.3695777654647827,0.3480162024497986,0.2937491238117218,0.05933374539017677
are,0.29724663496017456,1.0,0.40399202704429626,0.25911909341812134,0.39081433415412903,0.26670974493026733,0.3614059388637543,0.24591213464736938
the,0.42745697498321533,0.40399202704429626,1.0,0.2560983896255493,0.733189046382904,0.21172063052654266,0.24716724455356598,0.22068053483963013
points,0.2184005230665207,0.25911909341812134,0.2560983896255493,1.0000001192092896,0.20397144556045532,0.2876300513744354,0.251651793718338,0.11006313562393188
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.20397144556045532,1.0,0.2943732738494873,0.23814009130001068,0.1826142966747284
algebro-geometric,0.2559668719768524,0.26670974493026733,0.21172063052654266,0.2876300513744354,0.2943732738494873,1.0000001192092896,0.46363401412963867,0.19663311541080475
objects,0.24020016193389893,0.3614059388637543,0.24716724455356598,0.251651793718338,0.23814009130001068,0.46363401412963867,1.0000001192092896,0.15479016304016113
",",0.3087472915649414,0.4062570035457611,0.4933079481124878,0.2862778604030609,0.4946078956127167,0.23079140484333038,0.21213118731975555,0.31091248989105225
via,0.16736915707588196,0.16915540397167206,0.23979412019252777,0.13984191417694092,0.1293322592973709,0.08197472244501114,0.12421529740095139,0.19443516433238983
the,0.42745697498321533,0.40399202704429626,1.0,0.2560983896255493,0.733189046382904,0.21172063052654266,0.24716724455356598,0.22068053483963013
notion,0.3655226528644562,0.17763487994670868,0.23529204726219177,0.24094849824905396,0.23985852301120758,0.4855749309062958,0.3379151225090027,0.20487375557422638
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.20397144556045532,1.0,0.2943732738494873,0.23814009130001068,0.1826142966747284
the,0.42745697498321533,0.40399202704429626,1.0,0.2560983896255493,0.733189046382904,0.21172063052654266,0.24716724455356598,0.22068053483963013
spectrum,0.2396017163991928,0.2670098543167114,0.24305526912212372,0.1866779774427414,0.21045996248722076,0.3355516493320465,0.2930048406124115,0.13036777079105377
of,0.33290785551071167,0.39081433415412903,0.733189046382904,0.20397144556045532,1.0,0.2943732738494873,0.23814009130001068,0.1826142966747284
a,0.3320399522781372,0.265255331993103,0.5829201340675354,0.22482505440711975,0.5052502155303955,0.26458826661109924,0.24898670613765717,0.23916715383529663
ring,0.19784773886203766,0.15643514692783356,0.2354331910610199,0.14423340559005737,0.20323021709918976,0.29442647099494934,0.20342792570590973,0.054174330085515976
.,0.3567904531955719,0.3452940285205841,0.5934505462646484,0.19175463914871216,0.5352458953857422,0.2243526726961136,0.23188386857509613,0.4130953550338745
