,what,sort,of,continental,sculptors,are,represented,in,the,british,galleries,of,the,v,&,a,?
sculptors,0.1616670936346054,0.18392932415008545,0.19496163725852966,0.16156673431396484,0.9999999403953552,0.22430238127708435,0.24647600948810577,0.20806211233139038,0.17251421511173248,0.15967923402786255,0.42506617307662964,0.19496163725852966,0.17251421511173248,0.14748424291610718,0.013516687788069248,0.1509021818637848,0.1309177279472351
both,0.3361809551715851,0.21371755003929138,0.3565710783004761,0.2524598240852356,0.20263545215129852,0.4594642221927643,0.26409292221069336,0.3960166871547699,0.4931981563568115,0.22744378447532654,0.2182888388633728,0.3565710783004761,0.4931981563568115,0.12110912054777145,0.13048413395881653,0.3171786069869995,0.19455738365650177
british,0.19255435466766357,0.19485822319984436,0.23701532185077667,0.2508048713207245,0.15967923402786255,0.12250547111034393,0.15302805602550507,0.23084034025669098,0.28973397612571716,1.0,0.2164243906736374,0.23701532185077667,0.28973397612571716,0.1269635409116745,0.14896833896636963,0.1984395682811737,0.09711728990077972
and,0.31309178471565247,0.20330104231834412,0.5116966962814331,0.21829797327518463,0.20475885272026062,0.48576638102531433,0.2506123185157776,0.4954058527946472,0.5171257257461548,0.325880765914917,0.3095110058784485,0.5116966962814331,0.5171257257461548,0.19040757417678833,0.34093084931373596,0.3739250600337982,0.20544172823429108
europeans,0.2602015435695648,0.18431226909160614,0.17975986003875732,0.3205050230026245,0.2895556390285492,0.23516546189785004,0.12798595428466797,0.22646811604499817,0.3299996256828308,0.266691118478775,0.13201509416103363,0.17975986003875732,0.3299996256828308,0.12295258045196533,0.06370405107736588,0.15935876965522766,0.16229631006717682
who,0.40942975878715515,0.25508272647857666,0.2827862501144409,0.19502732157707214,0.3139173090457916,0.27294138073921204,0.17065028846263885,0.2792111933231354,0.3733934462070465,0.2666113078594208,0.16204048693180084,0.2827862501144409,0.3733934462070465,0.06742344051599503,0.09244576841592789,0.36608949303627014,0.26220351457595825
were,0.22298263013362885,0.1655513495206833,0.34038281440734863,0.21695680916309357,0.2664821445941925,0.6489362716674805,0.2571416199207306,0.3815755248069763,0.3906462490558624,0.27742838859558105,0.24707363545894623,0.34038281440734863,0.3906462490558624,0.1089601069688797,0.1205248013138771,0.17203083634376526,0.17890112102031708
based,0.274813175201416,0.23783385753631592,0.3033197224140167,0.18717966973781586,0.09200482815504074,0.3002447783946991,0.2003517746925354,0.3070422410964966,0.29860720038414,0.19058464467525482,0.19342076778411865,0.3033197224140167,0.29860720038414,0.12422794848680496,0.14534787833690643,0.2977409064769745,0.134929820895195
in,0.30808621644973755,0.20928911864757538,0.5696388483047485,0.248937726020813,0.20806211233139038,0.3841303884983063,0.33309870958328247,1.0,0.6662389636039734,0.23084034025669098,0.2712664008140564,0.5696388483047485,0.6662389636039734,0.15216681361198425,0.1358654648065567,0.539380669593811,0.20430970191955566
britain,0.24206450581550598,0.17326994240283966,0.28899943828582764,0.36092236638069153,0.23471932113170624,0.19201767444610596,0.18416191637516022,0.26246872544288635,0.29784059524536133,0.4846838712692261,0.2711387872695923,0.28899943828582764,0.29784059524536133,0.17508196830749512,0.14032991230487823,0.18575294315814972,0.1268460750579834
