,what,is,the,lower,house,of,the,victorian,parliament,called,?
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.1926431655883789,0.23401996493339539,0.42558613419532776,0.457212895154953,0.20787636935710907,0.17480722069740295,0.23534239828586578,0.21978627145290375
state,0.24273863434791565,0.2627358138561249,0.3097178041934967,0.23899781703948975,0.2132183313369751,0.34253445267677307,0.3097178041934967,0.19238229095935822,0.26019567251205444,0.214922696352005,0.1160883978009224
level,0.27376922965049744,0.24803997576236725,0.31442487239837646,0.3845921456813812,0.08523077517747879,0.23504668474197388,0.31442487239837646,0.18801437318325043,0.1602921336889267,0.17928017675876617,0.20528386533260345
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.236776202917099,0.28236111998558044,0.4946078956127167,0.4933079481124878,0.19891108572483063,0.25442883372306824,0.26549121737480164,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.3463275134563446,0.2847244441509247,0.733189046382904,1.0,0.2753658890724182,0.26521381735801697,0.489897221326828,0.22068053483963013
parliament,0.21650300920009613,0.19676777720451355,0.26521381735801697,0.1889670044183731,0.4205757975578308,0.2885259687900543,0.26521381735801697,0.3065771162509918,1.0,0.14464540779590607,0.1586504578590393
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.31757521629333496,0.285114049911499,1.0,0.733189046382904,0.28338366746902466,0.2885259687900543,0.4222904443740845,0.1826142966747284
victoria,0.1194850504398346,0.1633591204881668,0.2204313427209854,0.13095985352993011,0.19547563791275024,0.2505437433719635,0.2204313427209854,0.7158359885215759,0.2823483645915985,0.08585289120674133,0.12246892601251602
consists,0.11367427557706833,0.43405216932296753,0.3362659811973572,0.22027350962162018,0.15748657286167145,0.41510096192359924,0.3362659811973572,0.18636833131313324,0.14224901795387268,0.3447881042957306,-0.004641483072191477
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.31757521629333496,0.285114049911499,1.0,0.733189046382904,0.28338366746902466,0.2885259687900543,0.4222904443740845,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,1.0,0.3463275134563446,0.2847244441509247,0.733189046382904,1.0,0.2753658890724182,0.26521381735801697,0.489897221326828,0.22068053483963013
legislative,0.22232688963413239,0.19055356085300446,0.27501925826072693,0.24528662860393524,0.3390387296676636,0.34083476662635803,0.27501925826072693,0.26430726051330566,0.6651111245155334,0.1703372746706009,0.1654243916273117
assembly,0.21462371945381165,0.20304200053215027,0.2524827718734741,0.18689186871051788,0.32486921548843384,0.2946469783782959,0.2524827718734741,0.23146381974220276,0.5638344287872314,0.18083186447620392,0.1488889455795288
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.18077315390110016,0.16532687842845917,0.35032153129577637,0.33289089798927307,0.09898795932531357,0.1706518530845642,0.2546432614326477,0.40561532974243164
the,0.42745697498321533,0.5823672413825989,1.0,0.3463275134563446,0.2847244441509247,0.733189046382904,1.0,0.2753658890724182,0.26521381735801697,0.489897221326828,0.22068053483963013
lower,0.20079238712787628,0.20806168019771576,0.3463275134563446,1.0,0.2392946481704712,0.31757521629333496,0.3463275134563446,0.20687848329544067,0.1889670044183731,0.2149171233177185,0.08471795171499252
house,0.200801283121109,0.2084006369113922,0.2847244441509247,0.2392946481704712,0.9999998807907104,0.285114049911499,0.2847244441509247,0.26484405994415283,0.4205757975578308,0.20276714861392975,0.13736455142498016
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.19089847803115845,0.19536921381950378,0.3680361211299896,0.3456730246543884,0.12338844686746597,0.18304091691970825,0.273923397064209,0.42300865054130554
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2802542746067047,0.2552875876426697,0.5116966962814331,0.5171257257461548,0.30684709548950195,0.26227831840515137,0.3251761794090271,0.20544172823429108
the,0.42745697498321533,0.5823672413825989,1.0,0.3463275134563446,0.2847244441509247,0.733189046382904,1.0,0.2753658890724182,0.26521381735801697,0.489897221326828,0.22068053483963013
legislative,0.22232688963413239,0.19055356085300446,0.27501925826072693,0.24528662860393524,0.3390387296676636,0.34083476662635803,0.27501925826072693,0.26430726051330566,0.6651111245155334,0.1703372746706009,0.1654243916273117
council,0.16933071613311768,0.2196589708328247,0.2829204201698303,0.11354196071624756,0.24350973963737488,0.2972237169742584,0.2829204201698303,0.23446457087993622,0.4229061007499695,0.14182394742965698,0.1160062924027443
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.18077315390110016,0.16532687842845917,0.35032153129577637,0.33289089798927307,0.09898795932531357,0.1706518530845642,0.2546432614326477,0.40561532974243164
the,0.42745697498321533,0.5823672413825989,1.0,0.3463275134563446,0.2847244441509247,0.733189046382904,1.0,0.2753658890724182,0.26521381735801697,0.489897221326828,0.22068053483963013
upper,0.1592642068862915,0.2177516371011734,0.35289278626441956,0.7553458213806152,0.27867934107780457,0.25818127393722534,0.35289278626441956,0.23848837614059448,0.23794271051883698,0.19935820996761322,0.051342256367206573
house,0.200801283121109,0.2084006369113922,0.2847244441509247,0.2392946481704712,0.9999998807907104,0.285114049911499,0.2847244441509247,0.26484405994415283,0.4205757975578308,0.20276714861392975,0.13736455142498016
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.19089847803115845,0.19536921381950378,0.3680361211299896,0.3456730246543884,0.12338844686746597,0.18304091691970825,0.273923397064209,0.42300865054130554
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.24347278475761414,0.2607949376106262,0.5352458953857422,0.5934505462646484,0.22745303809642792,0.23747818171977997,0.300344854593277,0.4130953550338745
