,what,is,the,number,of,plant,species,in,economics,and,social,interest,?
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.2706126868724823,0.41548454761505127,0.20493197441101074,0.2193736732006073,0.45010748505592346,0.22133201360702515,0.48971283435821533,0.19684761762619019,0.29384326934814453,0.29463258385658264
date,0.20141606032848358,0.1887049674987793,0.25333094596862793,0.22422242164611816,0.19568462669849396,0.18280020356178284,0.13960672914981842,0.21362407505512238,0.0575270876288414,0.21585220098495483,0.14097541570663452,0.151982843875885,0.2698357403278351
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2535701394081116,0.4946078956127167,0.25194862484931946,0.2223871648311615,0.5201468467712402,0.25434449315071106,0.6633074283599854,0.2674078345298767,0.2741461396217346,0.31091248989105225
an,0.2821882665157318,0.4654068350791931,0.4207492768764496,0.1875157356262207,0.32280945777893066,0.22981685400009155,0.15628215670585632,0.2605783939361572,0.13252700865268707,0.2838519215583801,0.1521279513835907,0.18294550478458405,0.19793890416622162
estimated,0.19670580327510834,0.23564131557941437,0.29184040427207947,0.2866502106189728,0.30473583936691284,0.22000274062156677,0.2682102918624878,0.2508986294269562,0.19880501925945282,0.211697056889534,0.16720199584960938,0.19222988188266754,0.18149758875370026
"438,000",0.06349886953830719,0.08019912242889404,0.2304653823375702,0.03384862467646599,0.253983736038208,0.04054190590977669,-0.0028318006079643965,0.19494859874248505,0.1435297727584839,0.18920716643333435,0.14669591188430786,0.05318155884742737,0.11573739349842072
species,0.14617158472537994,0.2673557698726654,0.2522439956665039,0.20185405015945435,0.23307405412197113,0.47544243931770325,0.9999999403953552,0.2179255336523056,0.12839557230472565,0.23547904193401337,0.18193772435188293,0.14637206494808197,0.1957087516784668
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2778518795967102,1.0,0.26645857095718384,0.23307405412197113,0.5696388483047485,0.2429119050502777,0.5116966962814331,0.2605111300945282,0.2115241438150406,0.1826142966747284
plants,0.25144460797309875,0.2423158437013626,0.29499560594558716,0.16520412266254425,0.29386165738105774,0.8344468474388123,0.5846481919288635,0.2697395086288452,0.1520407497882843,0.3052898943424225,0.19651265442371368,0.17196229100227356,0.1473488062620163
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.2778518795967102,1.0,0.26645857095718384,0.23307405412197113,0.5696388483047485,0.2429119050502777,0.5116966962814331,0.2605111300945282,0.2115241438150406,0.1826142966747284
economic,0.18082544207572937,0.21102669835090637,0.282455176115036,0.1426883190870285,0.3030148148536682,0.1566912829875946,0.19487540423870087,0.22027181088924408,0.7812634110450745,0.2707010805606842,0.4703100919723511,0.1790027618408203,0.1206481084227562
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.28545793890953064,0.5116966962814331,0.2409428209066391,0.23547904193401337,0.4954058527946472,0.1880827248096466,1.0,0.38231831789016724,0.26105934381484985,0.20544172823429108
social,0.22217629849910736,0.15944984555244446,0.21797899901866913,0.17195825278759003,0.2605111300945282,0.1284051537513733,0.18193772435188293,0.23382627964019775,0.425109326839447,0.38231831789016724,1.0,0.25084221363067627,0.1615191102027893
interest,0.23849236965179443,0.19835616648197174,0.197127103805542,0.1876712441444397,0.2115241438150406,0.1429091840982437,0.14637206494808197,0.27232617139816284,0.20579229295253754,0.26105934381484985,0.25084221363067627,1.0000001192092896,0.2411724328994751
have,0.39808809757232666,0.3613572418689728,0.40389683842658997,0.3633861541748047,0.3802283704280853,0.23837271332740784,0.3239450752735138,0.36843645572662354,0.11748602986335754,0.4711785912513733,0.2098868191242218,0.3377552330493927,0.32991164922714233
been,0.2567804455757141,0.39566612243652344,0.3563927710056305,0.28169363737106323,0.31685134768486023,0.22371040284633636,0.2805362343788147,0.3515113592147827,0.10800357908010483,0.3424558639526367,0.1701458990573883,0.2711270749568939,0.24354910850524902
registered,0.18316222727298737,0.1567090004682541,0.23383188247680664,0.26692986488342285,0.17804858088493347,0.08805348724126816,0.16073577105998993,0.193543940782547,0.0989464819431305,0.15022504329681396,0.21947920322418213,0.3461320102214813,0.24155336618423462
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.3024539053440094,0.5696388483047485,0.2597269117832184,0.2179255336523056,1.0,0.19117838144302368,0.4954058527946472,0.23382627964019775,0.27232617139816284,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.35145696997642517,0.733189046382904,0.28395459055900574,0.2522439956665039,0.6662389636039734,0.17465341091156006,0.5171257257461548,0.21797899901866913,0.197127103805542,0.22068053483963013
region,0.2298986315727234,0.3317503035068512,0.35020557045936584,0.17890554666519165,0.2852717339992523,0.1843220591545105,0.22915275394916534,0.3524819314479828,0.2076730728149414,0.2372262328863144,0.17263111472129822,0.13349181413650513,0.13441751897335052
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.2513769268989563,0.41827285289764404,0.18355664610862732,0.1754012405872345,0.4080928862094879,0.12060391902923584,0.5477725267410278,0.20528239011764526,0.1937357634305954,0.2433311939239502
many,0.36131182312965393,0.2649032473564148,0.4335206151008606,0.41408368945121765,0.37253960967063904,0.2707696259021759,0.25436872243881226,0.41474202275276184,0.2016090750694275,0.5296266674995422,0.2721116840839386,0.3078969717025757,0.2124512493610382
more,0.3484537899494171,0.2946030795574188,0.39758381247520447,0.327032208442688,0.30478984117507935,0.20805960893630981,0.2758140563964844,0.32563260197639465,0.1873561441898346,0.39880692958831787,0.21873395144939423,0.26096734404563904,0.27894994616508484
remaining,0.21802754700183868,0.24525704979896545,0.45105910301208496,0.2964719235897064,0.3693024218082428,0.1752488762140274,0.20874924957752228,0.3161192238330841,0.036866627633571625,0.34621065855026245,0.116683728992939,0.23213380575180054,0.16961920261383057
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.2706126868724823,0.41548454761505127,0.20493197441101074,0.2193736732006073,0.45010748505592346,0.22133201360702515,0.48971283435821533,0.19684761762619019,0.29384326934814453,0.29463258385658264
be,0.3929833769798279,0.4819129705429077,0.4248143136501312,0.28840136528015137,0.33904364705085754,0.2607407569885254,0.25450053811073303,0.3481820821762085,0.15730801224708557,0.41766801476478577,0.1878766417503357,0.21657410264015198,0.3324260413646698
