,what,has,the,highest,impact,on,wealth,accumulation,and,the,resulting,income,inequality,?
thomas,0.1806955188512802,0.129233717918396,0.23505409061908722,0.1641676425933838,-0.04351688548922539,0.1902061104774475,0.17641766369342804,0.17919084429740906,0.20946627855300903,0.23505409061908722,0.05158216878771782,0.13192082941532135,0.13228389620780945,0.16133050620555878
piketty,0.23601166903972626,0.22260986268520355,0.27088600397109985,0.1839863359928131,0.1421009749174118,0.2705252170562744,0.28153926134109497,0.15694814920425415,0.3796457350254059,0.27088600397109985,0.14737513661384583,0.21332399547100067,0.17187516391277313,0.200417622923851
in,0.30808621644973755,0.4173259735107422,0.6662389636039734,0.3400614559650421,0.18933768570423126,0.46853652596473694,0.1835664063692093,0.212209090590477,0.4954058527946472,0.6662389636039734,0.3149644732475281,0.1795814335346222,0.19402410089969635,0.20430970191955566
his,0.26976513862609863,0.2611220180988312,0.4394008219242096,0.17439651489257812,0.2047867476940155,0.32064297795295715,0.2566535472869873,0.19796420633792877,0.4234102666378021,0.4394008219242096,0.23289287090301514,0.1813822090625763,0.19931146502494812,0.18075084686279297
book,0.2872225046157837,0.17000597715377808,0.2652374505996704,0.13023272156715393,0.16962921619415283,0.1977628916501999,0.21215081214904785,0.1072586327791214,0.28024056553840637,0.2652374505996704,0.10544923692941666,0.1595277637243271,0.26568153500556946,0.20572158694267273
capital,0.17967931926250458,0.19167733192443848,0.3049491047859192,0.17772793769836426,0.07172868400812149,0.15679915249347687,0.2671343684196472,0.186526820063591,0.218168243765831,0.3049491047859192,0.16913765668869019,0.2837882339954376,0.24214337766170502,0.0907452180981636
in,0.30808621644973755,0.4173259735107422,0.6662389636039734,0.3400614559650421,0.18933768570423126,0.46853652596473694,0.1835664063692093,0.212209090590477,0.4954058527946472,0.6662389636039734,0.3149644732475281,0.1795814335346222,0.19402410089969635,0.20430970191955566
the,0.42745697498321533,0.4177538752555847,1.0,0.36945265531539917,0.22336715459823608,0.5107308030128479,0.24999672174453735,0.340740829706192,0.5171257257461548,1.0,0.3905409574508667,0.23699946701526642,0.23508106172084808,0.22068053483963013
twenty-first,0.23661409318447113,0.25668320059776306,0.4217081069946289,0.24202409386634827,0.24788057804107666,0.28091609477996826,0.13962039351463318,0.24263522028923035,0.35322317481040955,0.4217081069946289,0.2851408123970032,0.23905940353870392,0.2459487020969391,0.2190079689025879
century,0.20422613620758057,0.2044479250907898,0.3617299497127533,0.19418977200984955,0.16817706823349,0.14449788630008698,0.2291043996810913,0.1964874416589737,0.2726690471172333,0.3617299497127533,0.1425485759973526,0.21460804343223572,0.20274882018566132,0.1026201918721199
argues,0.3211183547973633,0.18066540360450745,0.22893615067005157,0.19891560077667236,0.16339808702468872,0.17911744117736816,0.34192955493927,0.22264377772808075,0.27027055621147156,0.22893615067005157,0.14182773232460022,0.2876139283180237,0.41845762729644775,0.20733967423439026
that,0.6297725439071655,0.41272613406181335,0.5473989248275757,0.1878446489572525,0.3073127269744873,0.42569106817245483,0.256238728761673,0.312995582818985,0.4731321930885315,0.5473989248275757,0.3038327991962433,0.2627509534358978,0.3467824459075928,0.32716336846351624
the,0.42745697498321533,0.4177538752555847,1.0,0.36945265531539917,0.22336715459823608,0.5107308030128479,0.24999672174453735,0.340740829706192,0.5171257257461548,1.0,0.3905409574508667,0.23699946701526642,0.23508106172084808,0.22068053483963013
fundamental,0.35305243730545044,0.21495762467384338,0.3078918755054474,0.1960769146680832,0.2876526713371277,0.2373352348804474,0.2238847017288208,0.2564755380153656,0.27082425355911255,0.3078918755054474,0.26020845770835876,0.24428395926952362,0.48113274574279785,0.2011919468641281
force,0.16915984451770782,0.15953533351421356,0.2800885736942291,0.1248076781630516,0.2140377312898636,0.1764998733997345,0.18202006816864014,0.17064248025417328,0.24372100830078125,0.2800885736942291,0.3052351474761963,0.18059608340263367,0.2662271559238434,0.1650998443365097
for,0.3017193675041199,0.450642853975296,0.4739971458911896,0.2320692539215088,0.24428735673427582,0.36199691891670227,0.21390709280967712,0.2540213167667389,0.5064792633056641,0.4739971458911896,0.28196775913238525,0.27512091398239136,0.256974995136261,0.264628142118454
divergence,0.21409821510314941,0.14249612390995026,0.24312162399291992,0.1712632179260254,0.3243488073348999,0.14242133498191833,0.12230832874774933,0.2800314426422119,0.16390089690685272,0.24312162399291992,0.19060911238193512,0.19544149935245514,0.31625956296920776,0.10567541420459747
is,0.28837618231773376,0.5668748617172241,0.5823672413825989,0.27460670471191406,0.18670059740543365,0.3635730445384979,0.19482117891311646,0.2816382944583893,0.3859752118587494,0.5823672413825989,0.2671727240085602,0.14559021592140198,0.1953488290309906,0.22961433231830597
the,0.42745697498321533,0.4177538752555847,1.0,0.36945265531539917,0.22336715459823608,0.5107308030128479,0.24999672174453735,0.340740829706192,0.5171257257461548,1.0,0.3905409574508667,0.23699946701526642,0.23508106172084808,0.22068053483963013
usually,0.32521089911460876,0.3205535113811493,0.36782920360565186,0.21063832938671112,0.1517191231250763,0.25784361362457275,0.12547074258327484,0.29803308844566345,0.3817319869995117,0.36782920360565186,0.30711305141448975,0.2187640219926834,0.22912797331809998,0.19435347616672516
greater,0.1946859508752823,0.23084081709384918,0.2814446687698364,0.26182013750076294,0.19673004746437073,0.15935756266117096,0.24967558681964874,0.25220024585723877,0.26711440086364746,0.2814446687698364,0.28222015500068665,0.20690014958381653,0.27409595251083374,0.09723397344350815
return,0.18344242870807648,0.15009768307209015,0.2543797492980957,0.0704135149717331,0.16104409098625183,0.16799497604370117,0.17701853811740875,0.1636652648448944,0.20753136277198792,0.2543797492980957,0.2600601315498352,0.14675627648830414,0.19228559732437134,0.14655634760856628
of,0.33290785551071167,0.3909035325050354,0.733189046382904,0.3223685622215271,0.21139270067214966,0.3966929316520691,0.27235376834869385,0.3249269723892212,0.5116966962814331,0.733189046382904,0.3631994426250458,0.2581324577331543,0.27910974621772766,0.1826142966747284
capital,0.17967931926250458,0.19167733192443848,0.3049491047859192,0.17772793769836426,0.07172868400812149,0.15679915249347687,0.2671343684196472,0.186526820063591,0.218168243765831,0.3049491047859192,0.16913765668869019,0.2837882339954376,0.24214337766170502,0.0907452180981636
(,0.2411840260028839,0.2498389035463333,0.33289089798927307,0.17115482687950134,0.17425116896629333,0.28656116127967834,0.13117057085037231,0.17255014181137085,0.4862271547317505,0.33289089798927307,0.137907013297081,0.1266181766986847,0.1679764688014984,0.40561532974243164
r,0.14495669305324554,0.15846368670463562,0.1519533395767212,0.06271390616893768,0.13705310225486755,0.18032848834991455,0.06400042772293091,0.12440776824951172,0.18390944600105286,0.1519533395767212,0.09793689846992493,0.10388261079788208,0.16326884925365448,0.16570481657981873
),0.26259949803352356,0.26944878697395325,0.3456730246543884,0.20505082607269287,0.1697939932346344,0.29937487840652466,0.13129688799381256,0.17827793955802917,0.4961937665939331,0.3456730246543884,0.13999134302139282,0.12669844925403595,0.16527613997459412,0.42300865054130554
than,0.29388150572776794,0.32792407274246216,0.3227543234825134,0.22231288254261017,0.2485632598400116,0.2864885926246643,0.22315660119056702,0.302763432264328,0.39361441135406494,0.3227543234825134,0.3339553475379944,0.22589486837387085,0.24634315073490143,0.24917294085025787
