,who,kicked,a,field,goal,for,denver,?
then,0.29952746629714966,0.3420948386192322,0.3970017731189728,0.20403032004833221,0.15350303053855896,0.3392637073993683,0.16408474743366241,0.2884598970413208
after,0.32549580931663513,0.3120245337486267,0.3831600844860077,0.13112539052963257,0.176401287317276,0.3650246858596802,0.16213500499725342,0.16608688235282898
an,0.2848317325115204,0.144642174243927,0.44552403688430786,0.1812812238931656,0.16866573691368103,0.3236706852912903,0.17798778414726257,0.19793890416622162
incompletion,0.14256173372268677,0.2274276614189148,0.287943035364151,0.20802365243434906,0.2793465554714203,0.3535553216934204,0.14426632225513458,0.17424984276294708
",",0.3365725874900818,0.21649131178855896,0.427140474319458,0.27645614743232727,0.2145523726940155,0.4464869201183319,0.25173696875572205,0.31091248989105225
thomas,0.26103657484054565,0.15420761704444885,0.19268037378787994,0.10549862682819366,0.14527387917041779,0.19489257037639618,0.21843333542346954,0.16133050620555878
davis,0.2547153830528259,0.18481099605560303,0.19002141058444977,0.16954472661018372,0.09027726948261261,0.20754043757915497,0.2718811631202698,0.17094263434410095
tackled,0.2225686013698578,0.39098966121673584,0.18400587141513824,0.19543668627738953,0.3016361892223358,0.28696534037590027,0.3359432816505432,0.20976905524730682
anderson,0.27154824137687683,0.22085313498973846,0.2118762582540512,0.211154505610466,0.12295348942279816,0.23211809992790222,0.3069041669368744,0.1857001930475235
for,0.37110671401023865,0.21299658715724945,0.44038116931915283,0.24342265725135803,0.2554558217525482,0.9999999403953552,0.22017966210842133,0.264628142118454
a,0.36608949303627014,0.2796778082847595,1.0,0.2030690312385559,0.20853768289089203,0.44038116931915283,0.179859921336174,0.23916715383529663
1-yard,0.27700075507164,0.31843245029449463,0.2793872654438019,0.24208922684192657,0.22258132696151733,0.252498596906662,0.23212532699108124,0.1193876713514328
gain,0.250509113073349,0.19452202320098877,0.26759546995162964,0.23855507373809814,0.329097181558609,0.2699543833732605,0.07698112726211548,0.1417919248342514
on,0.2340552806854248,0.220340758562088,0.3848365545272827,0.192391499876976,0.2157920002937317,0.36199691891670227,0.1561855524778366,0.2714994251728058
third,0.20739443600177765,0.1724432408809662,0.35260438919067383,0.11935245990753174,0.11846645176410675,0.2187870591878891,0.18712952733039856,0.15394791960716248
down,0.23123176395893097,0.2748195230960846,0.2387222796678543,0.07091811299324036,0.1136508658528328,0.22538931667804718,0.13666987419128418,0.13836295902729034
",",0.3365725874900818,0.21649131178855896,0.427140474319458,0.27645614743232727,0.2145523726940155,0.4464869201183319,0.25173696875572205,0.31091248989105225
forcing,0.3017413914203644,0.3025360107421875,0.22368870675563812,0.1686466783285141,0.20381046831607819,0.2308533489704132,0.0755109041929245,0.19852621853351593
denver,0.20955970883369446,0.27481016516685486,0.179859921336174,0.17716234922409058,0.15172222256660461,0.22017966210842133,1.0,0.1520889848470688
to,0.42656609416007996,0.2801065444946289,0.45503583550453186,0.2647967040538788,0.37094977498054504,0.4451248347759247,0.23706497251987457,0.29463258385658264
settle,0.23353661596775055,0.1761218160390854,0.22866025567054749,0.11251871287822723,0.1552138775587082,0.17019139230251312,0.10636330395936966,0.19976577162742615
for,0.37110671401023865,0.21299658715724945,0.44038116931915283,0.24342265725135803,0.2554558217525482,0.9999999403953552,0.22017966210842133,0.264628142118454
a,0.36608949303627014,0.2796778082847595,1.0,0.2030690312385559,0.20853768289089203,0.44038116931915283,0.179859921336174,0.23916715383529663
3–0,0.009440748021006584,0.02429013140499592,0.05603450536727905,-0.1044362410902977,-0.018242890015244484,-0.008301247842609882,0.028960395604372025,0.0359797328710556
lead,0.19455209374427795,0.2704918086528778,0.20661775767803192,0.14786890149116516,0.12836824357509613,0.29822173714637756,0.23341892659664154,0.14552436769008636
on,0.2340552806854248,0.220340758562088,0.3848365545272827,0.192391499876976,0.2157920002937317,0.36199691891670227,0.1561855524778366,0.2714994251728058
a,0.36608949303627014,0.2796778082847595,1.0,0.2030690312385559,0.20853768289089203,0.44038116931915283,0.179859921336174,0.23916715383529663
brandon,0.2876533269882202,0.1813846081495285,0.1996319591999054,0.1278432160615921,0.14521808922290802,0.1954781413078308,0.35859453678131104,0.2774931490421295
mcmanus,0.3399089574813843,0.25206872820854187,0.21207298338413239,0.13735942542552948,0.15743473172187805,0.18529914319515228,0.25093990564346313,0.2241760641336441
34-yard,0.27311256527900696,0.323016881942749,0.2807327210903168,0.24040213227272034,0.22027114033699036,0.24526268243789673,0.22969043254852295,0.11814969778060913
field,0.18098586797714233,0.1876479834318161,0.2030690312385559,1.0,0.26796361804008484,0.24342265725135803,0.17716234922409058,0.11279727518558502
goal,0.24070286750793457,0.30448809266090393,0.20853768289089203,0.26796361804008484,1.0000001192092896,0.2554558217525482,0.15172222256660461,0.1964566856622696
.,0.3541337847709656,0.2693699300289154,0.50484299659729,0.23224417865276337,0.19919876754283905,0.4726039469242096,0.2573630213737488,0.4130953550338745
