,what,do,photosynthetic,carotenoids,do,?
they,0.4431931674480438,0.4667694866657257,0.3713264465332031,0.43043866753578186,0.4667694866657257,0.2753053903579712
help,0.3728281855583191,0.40743157267570496,0.2358749657869339,0.18952688574790955,0.40743157267570496,0.28403452038764954
transfer,0.16232657432556152,0.22009211778640747,0.3272766172885895,0.25252464413642883,0.22009211778640747,0.13552898168563843
and,0.31309178471565247,0.276123583316803,0.24332784116268158,0.3126223087310791,0.276123583316803,0.20544172823429108
dissipate,0.2605976164340973,0.22980155050754547,0.3462098240852356,0.3299316465854645,0.22980155050754547,0.19192944467067719
excess,0.19351524114608765,0.19433964788913727,0.38975611329078674,0.37421485781669617,0.19433964788913727,0.16102707386016846
energy,0.190252885222435,0.21968168020248413,0.46530333161354065,0.35987401008605957,0.21968168020248413,0.14860127866268158
",",0.3087472915649414,0.3283645510673523,0.1952964812517166,0.27300846576690674,0.3283645510673523,0.31091248989105225
and,0.31309178471565247,0.276123583316803,0.24332784116268158,0.3126223087310791,0.276123583316803,0.20544172823429108
their,0.35142919421195984,0.35424983501434326,0.3118831515312195,0.38513830304145813,0.35424983501434326,0.1898253709077835
bright,0.22715561091899872,0.25842177867889404,0.37174883484840393,0.36637935042381287,0.25842177867889404,0.18864305317401886
colors,0.2215159684419632,0.23438787460327148,0.2853873372077942,0.3211893141269684,0.23438787460327148,0.18779070675373077
sometimes,0.34229418635368347,0.32188543677330017,0.30494245886802673,0.3517531454563141,0.32188543677330017,0.1751544177532196
override,0.32125815749168396,0.2817491590976715,0.1912151426076889,0.23911364376544952,0.2817491590976715,0.3403741419315338
the,0.42745697498321533,0.30239659547805786,0.24047884345054626,0.2960159182548523,0.30239659547805786,0.22068053483963013
chlorophyll,0.23408083617687225,0.20705407857894897,0.6899845004081726,0.6262645721435547,0.20705407857894897,0.1099696233868599
green,0.16762696206569672,0.15925562381744385,0.32632413506507874,0.2821768820285797,0.15925562381744385,0.11409882456064224
",",0.3087472915649414,0.3283645510673523,0.1952964812517166,0.27300846576690674,0.3283645510673523,0.31091248989105225
like,0.4320242702960968,0.4615015685558319,0.28173962235450745,0.3698914051055908,0.4615015685558319,0.3268813192844391
during,0.24137552082538605,0.1831897497177124,0.24924173951148987,0.19574891030788422,0.1831897497177124,0.1325719803571701
the,0.42745697498321533,0.30239659547805786,0.24047884345054626,0.2960159182548523,0.30239659547805786,0.22068053483963013
fall,0.26931828260421753,0.2515643835067749,0.1659090518951416,0.18793481588363647,0.2515643835067749,0.1656162142753601
",",0.3087472915649414,0.3283645510673523,0.1952964812517166,0.27300846576690674,0.3283645510673523,0.31091248989105225
when,0.4700249433517456,0.28572237491607666,0.25665542483329773,0.27941426634788513,0.28572237491607666,0.22841128706932068
the,0.42745697498321533,0.30239659547805786,0.24047884345054626,0.2960159182548523,0.30239659547805786,0.22068053483963013
leaves,0.17524603009223938,0.24060866236686707,0.3422442674636841,0.3335832953453064,0.24060866236686707,0.11751258373260498
of,0.33290785551071167,0.26150479912757874,0.23934365808963776,0.31530770659446716,0.26150479912757874,0.1826142966747284
some,0.4491020441055298,0.4725562036037445,0.34246712923049927,0.43038511276245117,0.4725562036037445,0.2562315762042999
land,0.23411516845226288,0.12396524101495743,0.2816787362098694,0.17759761214256287,0.12396524101495743,0.1432059109210968
plants,0.25144460797309875,0.2695476710796356,0.5702237486839294,0.5185391902923584,0.2695476710796356,0.1473488062620163
change,0.3690716028213501,0.528757631778717,0.2697238326072693,0.26358550786972046,0.528757631778717,0.24115969240665436
color,0.2746529281139374,0.17490574717521667,0.2421790510416031,0.2594227194786072,0.17490574717521667,0.21299609541893005
.,0.3567904531955719,0.3613996207714081,0.24930793046951294,0.30328190326690674,0.3613996207714081,0.4130953550338745
