,how,many,more,landing,sites,for,the,apollo,missions,did,nasa,have,planned,?
nasa,0.20395343005657196,0.15574845671653748,0.16720911860466003,0.3379216194152832,0.1435926854610443,0.17481353878974915,0.19786997139453888,0.4747956395149231,0.38373640179634094,0.12001431733369827,1.0000001192092896,0.1881445348262787,0.21781548857688904,0.1809994876384735
publicized,0.2435813993215561,0.3349508047103882,0.2838611602783203,0.15798285603523254,0.23443427681922913,0.3097778558731079,0.24207065999507904,0.18239550292491913,0.1696508228778839,0.3397420644760132,0.1720576137304306,0.26145631074905396,0.28662872314453125,0.2513439953327179
a,0.29312583804130554,0.2872205972671509,0.3452818691730499,0.23207896947860718,0.2097954899072647,0.44038116931915283,0.5829201340675354,0.19996169209480286,0.2459585964679718,0.2552328109741211,0.19403119385242462,0.338716596364975,0.23569394648075104,0.23916715383529663
preliminary,0.23863980174064636,0.14845751225948334,0.17264176905155182,0.1856432408094406,0.1405971497297287,0.21859794855117798,0.3177361786365509,0.17420513927936554,0.25550854206085205,0.19767358899116516,0.21827977895736694,0.20123890042304993,0.22640256583690643,0.1416303664445877
list,0.1892312467098236,0.3007022738456726,0.21929503977298737,0.10421571880578995,0.2618640661239624,0.254395067691803,0.2863321602344513,0.036998406052589417,0.15603533387184143,0.13643468916416168,0.11946863681077957,0.284357488155365,0.2051415890455246,0.23630984127521515
of,0.2480744868516922,0.37253960967063904,0.30478984117507935,0.22376328706741333,0.24120540916919708,0.4185989499092102,0.733189046382904,0.1786269098520279,0.2598918080329895,0.2513895630836487,0.17935146391391754,0.3802283704280853,0.2487981617450714,0.1826142966747284
eight,0.222213014960289,0.348200261592865,0.2916285991668701,0.20029526948928833,0.14962932467460632,0.33149853348731995,0.34254369139671326,0.141656756401062,0.2043253481388092,0.19307805597782135,0.0729670599102974,0.31264185905456543,0.204361692070961,0.11634626984596252
more,0.4319567084312439,0.48608261346817017,1.0,0.1782240867614746,0.23986101150512695,0.3891189992427826,0.39758381247520447,0.16325661540031433,0.22517609596252441,0.2803135812282562,0.16720911860466003,0.49033403396606445,0.24357573688030243,0.27894994616508484
planned,0.16940928995609283,0.182924285531044,0.24357573688030243,0.2703187167644501,0.15800905227661133,0.21071262657642365,0.3010992109775543,0.25496646761894226,0.35098007321357727,0.3708326518535614,0.21781548857688904,0.21476474404335022,1.0000001192092896,0.16188396513462067
landing,0.09343604743480682,0.1812470257282257,0.1782240867614746,1.0000001192092896,0.23073077201843262,0.23171500861644745,0.24055521190166473,0.3499414920806885,0.3587879240512848,0.16402073204517365,0.3379216194152832,0.18267643451690674,0.2703187167644501,0.11133739352226257
