,what,is,not,considered,appropriate,disclipine,?
teachers,0.2526462972164154,0.15701442956924438,0.22176165878772736,0.1886288970708847,0.18672455847263336,0.15046623349189758,0.19522249698638916
are,0.29724663496017456,0.5330929756164551,0.46186959743499756,0.35714471340179443,0.25567856431007385,0.2515198290348053,0.24591213464736938
expected,0.3720298707485199,0.20087631046772003,0.42440927028656006,0.3163379728794098,0.23900851607322693,0.28821849822998047,0.19474582374095917
to,0.455847829580307,0.42745086550712585,0.5149973034858704,0.2954166829586029,0.31406155228614807,0.3469839096069336,0.29463258385658264
respect,0.35592806339263916,0.20416083931922913,0.378264456987381,0.3113076388835907,0.1930280178785324,0.32244476675987244,0.2402682900428772
their,0.35142919421195984,0.2101074606180191,0.4368778169155121,0.29961520433425903,0.22451302409172058,0.25405195355415344,0.1898253709077835
students,0.2380729615688324,0.2124544233083725,0.2090270072221756,0.15947109460830688,0.1876973956823349,0.20694266259670258,0.18017297983169556
;,0.10986888408660889,0.05324986204504967,0.12084553390741348,0.11059124767780304,0.06341030448675156,0.02494610659778118,0.10349778085947037
sarcasm,0.4185880422592163,0.24092459678649902,0.3821546733379364,0.2201671153306961,0.2638726532459259,0.2952050268650055,0.3245334029197693
and,0.31309178471565247,0.3859752118587494,0.39099299907684326,0.3359341621398926,0.2026604861021042,0.28510910272598267,0.20544172823429108
attempts,0.192328080534935,0.17270392179489136,0.23930291831493378,0.21369142830371857,0.22410796582698822,0.21748396754264832,0.09428907185792923
to,0.455847829580307,0.42745086550712585,0.5149973034858704,0.2954166829586029,0.31406155228614807,0.3469839096069336,0.29463258385658264
humiliate,0.3046097159385681,0.11690285056829453,0.28211715817451477,0.126778706908226,0.30607733130455017,0.27439048886299133,0.18582069873809814
pupils,0.180222749710083,0.1490861177444458,0.2278037965297699,0.11699238419532776,0.15948255360126495,0.1015048623085022,0.06499303877353668
are,0.29724663496017456,0.5330929756164551,0.46186959743499756,0.35714471340179443,0.25567856431007385,0.2515198290348053,0.24591213464736938
seen,0.3087027072906494,0.2670730948448181,0.32236090302467346,0.4663122892379761,0.17019878327846527,0.25990989804267883,0.2567344307899475
as,0.31749409437179565,0.43216490745544434,0.5105602741241455,0.4031961262226105,0.35442492365837097,0.2695706784725189,0.27043893933296204
falling,0.26906242966651917,0.18225830793380737,0.20796559751033783,0.15723274648189545,0.07304549962282181,0.33523690700531006,0.159834623336792
outside,0.3224688768386841,0.2823421061038971,0.3095373511314392,0.2576434314250946,0.17520563304424286,0.2909034192562103,0.14839068055152893
of,0.33290785551071167,0.4854315221309662,0.3307090103626251,0.4190242290496826,0.1958872526884079,0.2966288924217224,0.1826142966747284
what,0.9999998807907104,0.28837618231773376,0.5449194312095642,0.2834889590740204,0.29508692026138306,0.3184933066368103,0.5051238536834717
constitutes,0.36108922958374023,0.3203865885734558,0.39894819259643555,0.34704911708831787,0.25632429122924805,0.3065500855445862,0.2611486315727234
reasonable,0.40443673729896545,0.2570490837097168,0.46887505054473877,0.26077187061309814,0.3932965099811554,0.3897131085395813,0.3725526034832001
discipline,0.2522185742855072,0.13422119617462158,0.2240573763847351,0.2510016858577728,0.2108229249715805,0.3157830536365509,0.06836310029029846
.,0.3567904531955719,0.4569662809371948,0.4824007451534271,0.29356086254119873,0.209958016872406,0.2618078589439392,0.4130953550338745
