,what,is,the,only,episode,released,on,vcd,?
one,0.376489520072937,0.4544198513031006,0.5514441132545471,0.5699372291564941,0.20317377150058746,0.20460300147533417,0.3601475656032562,0.29796352982521057,0.2673267424106598
episode,0.1919318586587906,0.1346389800310135,0.25342556834220886,0.20416653156280518,1.0,0.3039000928401947,0.28993746638298035,0.2767215967178345,0.23978739976882935
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.49632513523101807,0.17369085550308228,0.17721395194530487,0.3966929316520691,0.20414148271083832,0.1826142966747284
doctor,0.20870667695999146,0.19875872135162354,0.2820442318916321,0.20663131773471832,0.2940889000892639,0.16010989248752594,0.1636410653591156,0.20834489166736603,0.1462511420249939
who,0.40942975878715515,0.24293622374534607,0.3733934462070465,0.4202229380607605,0.2015407234430313,0.15033993124961853,0.2340552806854248,0.21696104109287262,0.26220351457595825
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.30817532539367676,0.19250941276550293,0.20382565259933472,0.28656116127967834,0.298633337020874,0.40561532974243164
the,0.42745697498321533,0.5823672413825989,1.0,0.5497692227363586,0.25342556834220886,0.24578391015529633,0.5107308030128479,0.20932558178901672,0.22068053483963013
infinite,0.22463853657245636,0.179602712392807,0.17816448211669922,0.19131004810333252,0.198104128241539,0.19924387335777283,0.1479283720254898,0.170850470662117,0.21672561764717102
quest,0.25975751876831055,0.21807114779949188,0.24956130981445312,0.16881917417049408,0.2924400269985199,0.2445531040430069,0.19991222023963928,0.20867596566677094,0.1989581137895584
),0.26259949803352356,0.37732169032096863,0.3456730246543884,0.31837013363838196,0.1890215277671814,0.2337164580821991,0.29937487840652466,0.3240003287792206,0.42300865054130554
was,0.22111038863658905,0.5810302495956421,0.48711544275283813,0.36249664425849915,0.1706574261188507,0.32720035314559937,0.3909217119216919,0.25981876254081726,0.18412111699581146
released,0.20228935778141022,0.21587204933166504,0.24578391015529633,0.25011342763900757,0.3039000928401947,1.0,0.31313204765319824,0.3864009380340576,0.20329579710960388
on,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.38586410880088806,0.28993746638298035,0.31313204765319824,0.9999999403953552,0.2823532521724701,0.2714994251728058
vcd,0.24091129004955292,0.24947793781757355,0.20932558178901672,0.3454621732234955,0.2767215967178345,0.3864009380340576,0.2823532521724701,0.9999999403953552,0.23630939424037933
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.49507418274879456,0.23102888464927673,0.298698753118515,0.49257001280784607,0.29985129833221436,0.4130953550338745
