,what,is,the,start,of,the,salary,year,?
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.2663039267063141,0.4185989499092102,0.4739971458911896,0.31719970703125,0.29294124245643616,0.264628142118454
the,0.42745697498321533,0.5823672413825989,1.0,0.3656389117240906,0.733189046382904,1.0,0.2075764387845993,0.3609684407711029,0.22068053483963013
salary,0.2065381407737732,0.15019352734088898,0.2075764387845993,0.20329099893569946,0.22919052839279175,0.2075764387845993,1.0,0.2983018755912781,0.20685498416423798
year,0.15184831619262695,0.2402215600013733,0.3609684407711029,0.3398894965648651,0.2578314542770386,0.3609684407711029,0.2983018755912781,1.0,0.18315006792545319
beginning,0.3351518511772156,0.2446223646402359,0.49622642993927,0.5557746887207031,0.36558160185813904,0.49622642993927,0.14991118013858795,0.38203126192092896,0.19413669407367706
april,0.21502700448036194,0.2219124734401703,0.23232673108577728,0.16885007917881012,0.18706536293029785,0.23232673108577728,0.13508321344852448,0.27374204993247986,0.25704094767570496
2008,-0.19703538715839386,-0.10843191295862198,-0.06530369818210602,-0.09055693447589874,-0.10678710788488388,-0.06530369818210602,0.05156247317790985,0.05900556594133377,-0.09852470457553864
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2934366464614868,0.4946078956127167,0.4933079481124878,0.19489715993404388,0.28560417890548706,0.31091248989105225
unpromoted,0.2904668152332306,0.14186380803585052,0.2513701915740967,0.2791377604007721,0.16910961270332336,0.2513701915740967,0.2969324290752411,0.21131287515163422,0.2894577980041504
teachers,0.2526462972164154,0.15701442956924438,0.22025763988494873,0.20813435316085815,0.27737662196159363,0.22025763988494873,0.2759143114089966,0.16246744990348816,0.19522249698638916
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.29979339241981506,0.5696388483047485,0.6662389636039734,0.190061554312706,0.3359307050704956,0.20430970191955566
scotland,0.16722074151039124,0.19796344637870789,0.23846951127052307,0.13112017512321472,0.2208399921655655,0.23846951127052307,0.12873408198356628,0.1959311068058014,0.09160218387842178
