,what,kind,of,influence,does,the,gulf,stream,exert,on,newcastle,?
the,0.42745697498321533,0.2516445517539978,0.733189046382904,0.3039984107017517,0.35928019881248474,1.0,0.29029619693756104,0.2507912814617157,0.1836007833480835,0.5107308030128479,0.2253497689962387,0.22068053483963013
climate,0.2854173183441162,0.20011179149150848,0.25840428471565247,0.2267543077468872,0.22213737666606903,0.2693597674369812,0.2283543050289154,0.16919556260108948,0.2444867342710495,0.23228000104427338,0.14343397319316864,0.19998492300510406
in,0.30808621644973755,0.2349269688129425,0.5696388483047485,0.26119694113731384,0.214483380317688,0.6662389636039734,0.2268008291721344,0.2099897712469101,0.12481959164142609,0.46853652596473694,0.19270820915699005,0.20430970191955566
newcastle,0.16276082396507263,0.17355214059352875,0.18781472742557526,0.1632043570280075,0.12200397253036499,0.2253497689962387,0.19118593633174896,0.13907641172409058,0.18917910754680634,0.1698579639196396,1.0000001192092896,0.0902252271771431
is,0.28837618231773376,0.3292753994464874,0.4854315221309662,0.19989071786403656,0.4403602182865143,0.5823672413825989,0.17587663233280182,0.29532310366630554,0.18991988897323608,0.3635730445384979,0.1841045320034027,0.22961433231830597
oceanic,0.11882314085960388,0.11998708546161652,0.254686176776886,0.20640096068382263,0.1838316172361374,0.26616084575653076,0.26174482703208923,0.16987201571464539,0.20465335249900818,0.21347108483314514,0.25864988565444946,0.12940600514411926
(,0.2411840260028839,0.16271455585956573,0.35032153129577637,0.14272426068782806,0.2728188931941986,0.33289089798927307,0.1748950481414795,0.13697470724582672,0.21797364950180054,0.28656116127967834,0.13896974921226501,0.40561532974243164
köppen,0.20744265615940094,0.21937498450279236,0.2060711532831192,0.1782914102077484,0.1997472047805786,0.21937279403209686,0.26643994450569153,0.17175526916980743,0.247149258852005,0.19577351212501526,0.12365879118442535,0.20823095738887787
cfb,0.16539087891578674,0.14320015907287598,0.21948495507240295,0.12146618217229843,0.21924370527267456,0.26373550295829773,0.25308606028556824,0.18028202652931213,0.20190994441509247,0.24556976556777954,0.20955032110214233,0.17808344960212708
),0.26259949803352356,0.17504733800888062,0.3680361211299896,0.16664013266563416,0.2575884759426117,0.3456730246543884,0.15381240844726562,0.15274988114833832,0.21464011073112488,0.29937487840652466,0.15254424512386322,0.42300865054130554
and,0.31309178471565247,0.22462370991706848,0.5116966962814331,0.34756016731262207,0.3461615741252899,0.5171257257461548,0.22214645147323608,0.24512408673763275,0.2512648105621338,0.4077630043029785,0.20204751193523407,0.20544172823429108
significantly,0.2746123671531677,0.10267160832881927,0.2703875005245209,0.37351199984550476,0.31266137957572937,0.3313288986682892,0.14847666025161743,0.22145245969295502,0.29405486583709717,0.25293123722076416,0.1362217217683792,0.1823679804801941
milder,0.29651546478271484,0.26653411984443665,0.2753671109676361,0.33101004362106323,0.22968332469463348,0.2787216007709503,0.18754349648952484,0.2343916893005371,0.2438538521528244,0.18388211727142334,0.1489550769329071,0.175554558634758
than,0.29388150572776794,0.22328941524028778,0.33036211133003235,0.24192745983600616,0.32178643345832825,0.3227543234825134,0.12140130251646042,0.18828505277633667,0.264272004365921,0.2864885926246643,0.20350264012813568,0.24917294085025787
