,what,does,the,islamic,state,lack,from,the,international,community,?
(,0.2411840260028839,0.2728188931941986,0.33289089798927307,0.13537868857383728,0.23423868417739868,0.18732798099517822,0.25806233286857605,0.33289089798927307,0.19440914690494537,0.18021008372306824,0.40561532974243164
while,0.35511791706085205,0.3243313729763031,0.39804592728614807,0.17953117191791534,0.19779255986213684,0.28144127130508423,0.35008183121681213,0.39804592728614807,0.17208506166934967,0.2277403622865677,0.21076419949531555
a,0.3320399522781372,0.38201746344566345,0.5829201340675354,0.20177602767944336,0.25097307562828064,0.20266364514827728,0.322764128446579,0.5829201340675354,0.24617823958396912,0.2694961726665497,0.23916715383529663
self-described,0.28439024090766907,0.26170387864112854,0.3231130540370941,0.2761596143245697,0.20855404436588287,0.21766985952854156,0.17215949296951294,0.3231130540370941,0.17910483479499817,0.1471208930015564,0.1882113367319107
state,0.24273863434791565,0.15987756848335266,0.3097178041934967,0.26186755299568176,1.0,0.13825640082359314,0.29024070501327515,0.3097178041934967,0.19825027883052826,0.2997109591960907,0.1160883978009224
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.20175659656524658,0.29481780529022217,0.27166152000427246,0.39760664105415344,0.4933079481124878,0.23395943641662598,0.2761111557483673,0.31091248989105225
it,0.45803478360176086,0.34188351035118103,0.6251175999641418,0.1365245133638382,0.32295069098472595,0.24508468806743622,0.325604110956192,0.6251175999641418,0.15743213891983032,0.3190441429615021,0.25732165575027466
lacks,0.2592582106590271,0.35133394598960876,0.2201744019985199,0.09684702754020691,0.083077572286129,0.6637859344482422,0.09073492884635925,0.2201744019985199,0.20964401960372925,0.18023842573165894,0.22729714214801788
international,0.10870302468538284,0.13668061792850494,0.23719607293605804,0.27118366956710815,0.19825027883052826,0.18499954044818878,0.1384202241897583,0.23719607293605804,1.0,0.18089459836483002,0.15335838496685028
recognition,0.25729188323020935,0.17790068686008453,0.31624147295951843,0.17709913849830627,0.23982450366020203,0.24160988628864288,0.2009168416261673,0.31624147295951843,0.34913691878318787,0.22082659602165222,0.20074869692325592
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.20520655810832977,0.31380724906921387,0.21505410969257355,0.41536515951156616,0.5934505462646484,0.20745405554771423,0.2594514787197113,0.4130953550338745
),0.26259949803352356,0.2575884759426117,0.3456730246543884,0.17926958203315735,0.2340407520532608,0.1853916198015213,0.2672361731529236,0.3456730246543884,0.2199915647506714,0.18613839149475098,0.42300865054130554
