,when,was,a,study,published,confirming,the,2001,ipcc,projections,?
on,0.37706470489501953,0.3909217119216919,0.3848365545272827,0.1889076977968216,0.26885396242141724,0.30801260471343994,0.5107308030128479,-0.08765829354524612,0.24879392981529236,0.28605321049690247,0.2714994251728058
1,-0.2683585286140442,-0.2275921255350113,-0.20817746222019196,-0.12781494855880737,-0.21345828473567963,-0.3379487097263336,-0.1554475575685501,-0.006492342334240675,-0.12149538099765778,-0.1709083467721939,-0.249979168176651
february,0.2621206045150757,0.446986585855484,0.2560074031352997,0.09032559394836426,0.1863275170326233,0.2855416536331177,0.26483774185180664,-0.09065747261047363,0.1285850554704666,0.049934763461351395,0.29594847559928894
2007,-0.1582726538181305,-0.29168957471847534,-0.06548836827278137,-0.032123398035764694,-0.13878703117370605,-0.22776708006858826,-0.23657195270061493,0.28128597140312195,-0.10205449908971786,0.0256879273802042,-0.1664225310087204
",",0.36674630641937256,0.45456063747406006,0.427140474319458,0.26425549387931824,0.2937801778316498,0.23652184009552002,0.4933079481124878,-0.19191312789916992,0.15590040385723114,0.27439084649086,0.31091248989105225
the,0.5091903209686279,0.48711544275283813,0.5829201340675354,0.2533665597438812,0.22017472982406616,0.3460308313369751,1.0,-0.07246288657188416,0.24925659596920013,0.2387572079896927,0.22068053483963013
eve,0.20212070643901825,0.1957324892282486,0.1599501520395279,0.10756415128707886,0.14168357849121094,0.19628380239009857,0.21724742650985718,-0.0961969792842865,0.18264608085155487,0.09269262105226517,0.23469486832618713
of,0.3757161796092987,0.4069072902202606,0.5052502155303955,0.29377859830856323,0.23023100197315216,0.30918073654174805,0.733189046382904,-0.08535187691450119,0.20174051821231842,0.2559340298175812,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,0.5829201340675354,0.2533665597438812,0.22017472982406616,0.3460308313369751,1.0,-0.07246288657188416,0.24925659596920013,0.2387572079896927,0.22068053483963013
publication,0.1825483739376068,0.22530198097229004,0.1690656691789627,0.2620224952697754,0.6172669529914856,0.24500614404678345,0.24080322682857513,0.002547758398577571,0.37535402178764343,0.22226476669311523,0.2191428393125534
of,0.3757161796092987,0.4069072902202606,0.5052502155303955,0.29377859830856323,0.23023100197315216,0.30918073654174805,0.733189046382904,-0.08535187691450119,0.20174051821231842,0.2559340298175812,0.1826142966747284
