,the,s-ivb-200,was,used,in,what,stage,of,the,saturn,v,?
a,0.5829201340675354,0.19485880434513092,0.4508470594882965,0.3864384889602661,0.539380669593811,0.3320399522781372,0.2036506086587906,0.5052502155303955,0.5829201340675354,0.20805643498897552,0.21861357986927032,0.23916715383529663
restartable,0.34501853585243225,0.0818345919251442,0.20242717862129211,0.2985263168811798,0.2748927175998688,0.3555796444416046,0.25173938274383545,0.24799290299415588,0.34501853585243225,0.27838805317878723,0.22752536833286285,0.3082503080368042
version,0.27268242835998535,0.12158281356096268,0.297456830739975,0.21223314106464386,0.19599339365959167,0.20755547285079956,0.18130677938461304,0.14166875183582306,0.27268242835998535,0.1825740784406662,0.19365927577018738,0.2573966085910797
of,0.733189046382904,0.3188033401966095,0.4069072902202606,0.3075267970561981,0.5696388483047485,0.33290785551071167,0.1389172226190567,1.0,0.733189046382904,0.19011574983596802,0.1655031144618988,0.1826142966747284
the,1.0,0.25528669357299805,0.48711544275283813,0.3718377649784088,0.6662389636039734,0.42745697498321533,0.22652170062065125,0.733189046382904,1.0,0.24189656972885132,0.18580520153045654,0.22068053483963013
s-ivb,0.3730037808418274,0.5095077753067017,0.18752162158489227,0.3607843816280365,0.31367796659469604,0.27927571535110474,0.17134155333042145,0.3328222632408142,0.3730037808418274,0.29092708230018616,0.1231713518500328,0.1708081215620041
was,0.48711544275283813,0.20327790081501007,1.0000001192092896,0.23679393529891968,0.45514053106307983,0.22111038863658905,0.2081151008605957,0.4069072902202606,0.48711544275283813,0.24932558834552765,0.16128918528556824,0.18412111699581146
used,0.3718377649784088,0.12696589529514313,0.23679393529891968,0.9999998807907104,0.3090210556983948,0.27546408772468567,0.12145236134529114,0.3075267970561981,0.3718377649784088,0.13609382510185242,0.1392776072025299,0.22430120408535004
as,0.48381632566452026,0.16031354665756226,0.3677520453929901,0.35160550475120544,0.3887844979763031,0.31749409437179565,0.18075832724571228,0.3886612355709076,0.48381632566452026,0.15707606077194214,0.10349564254283905,0.27043893933296204
the,1.0,0.25528669357299805,0.48711544275283813,0.3718377649784088,0.6662389636039734,0.42745697498321533,0.22652170062065125,0.733189046382904,1.0,0.24189656972885132,0.18580520153045654,0.22068053483963013
third,0.4229298532009125,0.23922130465507507,0.3460187017917633,0.12432441860437393,0.3309578001499176,0.2033906877040863,0.17873531579971313,0.30602210760116577,0.4229298532009125,0.17948243021965027,0.1977764219045639,0.15394791960716248
stage,0.22652170062065125,0.07601434737443924,0.2081151008605957,0.12145236134529114,0.2011467069387436,0.15168409049510956,1.0000001192092896,0.1389172226190567,0.22652170062065125,0.18939214944839478,0.1110387071967125,0.14916576445102692
of,0.733189046382904,0.3188033401966095,0.4069072902202606,0.3075267970561981,0.5696388483047485,0.33290785551071167,0.1389172226190567,1.0,0.733189046382904,0.19011574983596802,0.1655031144618988,0.1826142966747284
the,1.0,0.25528669357299805,0.48711544275283813,0.3718377649784088,0.6662389636039734,0.42745697498321533,0.22652170062065125,0.733189046382904,1.0,0.24189656972885132,0.18580520153045654,0.22068053483963013
saturn,0.24189656972885132,0.1459134817123413,0.24932558834552765,0.13609382510185242,0.16002382338047028,0.12153393030166626,0.18939214944839478,0.19011574983596802,0.24189656972885132,1.0,0.22139346599578857,0.1619711071252823
v.,-0.028345759958028793,-0.02620569057762623,0.00570128345862031,0.09923999756574631,-0.03806581720709801,0.017213884741067886,-0.025905674323439598,-0.02588406391441822,-0.028345759958028793,-0.003872098634019494,-0.016162624582648277,0.13179227709770203
the,1.0,0.25528669357299805,0.48711544275283813,0.3718377649784088,0.6662389636039734,0.42745697498321533,0.22652170062065125,0.733189046382904,1.0,0.24189656972885132,0.18580520153045654,0.22068053483963013
saturn,0.24189656972885132,0.1459134817123413,0.24932558834552765,0.13609382510185242,0.16002382338047028,0.12153393030166626,0.18939214944839478,0.19011574983596802,0.24189656972885132,1.0,0.22139346599578857,0.1619711071252823
ib,0.14590691030025482,0.10967443138360977,0.12603223323822021,0.14382220804691315,0.11213688552379608,0.13645219802856445,0.13966669142246246,0.1537172794342041,0.14590691030025482,0.25456637144088745,0.2117014080286026,0.23230938613414764
could,0.35393214225769043,0.04988361522555351,0.39896807074546814,0.3978976011276245,0.29357993602752686,0.4188697934150696,0.14734719693660736,0.29043012857437134,0.35393214225769043,0.17870256304740906,0.17897208034992218,0.3411986827850342
send,0.2581755518913269,0.09824194759130478,0.11789905279874802,0.28857919573783875,0.18412359058856964,0.28887391090393066,0.05249015986919403,0.22127455472946167,0.2581755518913269,0.22143831849098206,0.1628173142671585,0.1784207671880722
over,0.39856547117233276,0.10959106683731079,0.24486446380615234,0.21628807485103607,0.3605569899082184,0.28007611632347107,0.14147692918777466,0.36136594414711,0.39856547117233276,0.10847608000040054,0.10378551483154297,0.25742942094802856
"40,000",0.21362866461277008,0.0898907259106636,0.25289416313171387,0.002569983946159482,0.24079853296279907,0.1441991776227951,0.23619025945663452,0.20713761448860168,0.21362866461277008,0.1326030045747757,0.09127477556467056,0.262452632188797
pounds,0.18430368602275848,0.11598124355077744,0.22008460760116577,0.23970827460289001,0.1508542150259018,0.16925819218158722,0.045519616454839706,0.16210339963436127,0.18430368602275848,0.12039061635732651,0.1452675610780716,0.1807934194803238
(,0.33289089798927307,0.05691876262426376,0.2980341613292694,0.19005385041236877,0.3087427020072937,0.2411840260028839,0.21330693364143372,0.35032153129577637,0.33289089798927307,0.16996361315250397,0.2043849378824234,0.40561532974243164
"18,100",0.21016894280910492,0.12360194325447083,0.19527961313724518,0.06530216336250305,0.14204227924346924,0.1122816726565361,0.047413960099220276,0.2130550593137741,0.21016894280910492,0.11107001453638077,0.08294374495744705,0.1868671029806137
kg,0.14337459206581116,0.13920599222183228,0.22378763556480408,0.17604175209999084,0.1480094939470291,0.08752016723155975,0.11957959085702896,0.1790316253900528,0.14337459206581116,0.1705811321735382,0.14917199313640594,0.14374905824661255
),0.3456730246543884,0.06244101747870445,0.3267642855644226,0.1905621439218521,0.3326910734176636,0.26259949803352356,0.24287325143814087,0.3680361211299896,0.3456730246543884,0.18594779074192047,0.20857036113739014,0.42300865054130554
into,0.39493247866630554,0.1261104941368103,0.2322220653295517,0.21789848804473877,0.38021373748779297,0.2180619090795517,0.1644117832183838,0.32255905866622925,0.39493247866630554,0.13052208721637726,0.040059421211481094,0.15662476420402527
low,0.2544175982475281,0.041034966707229614,0.18105973303318024,0.2571846842765808,0.21458278596401215,0.20743566751480103,0.12469317018985748,0.27171993255615234,0.2544175982475281,0.1439170241355896,0.09922777861356735,0.10658930987119675
earth,0.2801888585090637,0.1721223145723343,0.18661361932754517,0.20207399129867554,0.18566735088825226,0.25883176922798157,0.09142285585403442,0.2329314798116684,0.2801888585090637,0.38226228952407837,0.1663668006658554,0.17717236280441284
orbit,0.1565481424331665,0.10709112882614136,0.1862146407365799,0.101396843791008,0.13808301091194153,0.19471463561058044,0.20040342211723328,0.13123251497745514,0.1565481424331665,0.5035338401794434,0.13204096257686615,0.16621392965316772
",",0.4933079481124878,0.17869305610656738,0.45456063747406006,0.3120402991771698,0.5201468467712402,0.3087472915649414,0.2630990147590637,0.4946078956127167,0.4933079481124878,0.22104106843471527,0.22053663432598114,0.31091248989105225
sufficient,0.27501294016838074,0.015313033014535904,0.17240363359451294,0.33065488934516907,0.19672052562236786,0.34977179765701294,0.18265016376972198,0.23525285720825195,0.27501294016838074,0.1900731772184372,0.11539031565189362,0.2950035035610199
for,0.4739971458911896,0.16934643685817719,0.3863949179649353,0.4236139953136444,0.4322226941585541,0.3017193675041199,0.2402065247297287,0.4185989499092102,0.4739971458911896,0.30204665660858154,0.13933385908603668,0.264628142118454
a,0.5829201340675354,0.19485880434513092,0.4508470594882965,0.3864384889602661,0.539380669593811,0.3320399522781372,0.2036506086587906,0.5052502155303955,0.5829201340675354,0.20805643498897552,0.21861357986927032,0.23916715383529663
partially,0.27405473589897156,0.005774356424808502,0.24514621496200562,0.2232206165790558,0.2404835969209671,0.24273231625556946,0.15449489653110504,0.23981168866157532,0.27405473589897156,0.04664177447557449,0.15270081162452698,0.10232327878475189
fueled,0.17533089220523834,0.03266074135899544,0.276437908411026,0.27789831161499023,0.15629707276821136,0.14996778964996338,0.18778656423091888,0.18315236270427704,0.17533089220523834,0.2196943163871765,0.14854277670383453,0.11968302726745605
csm,0.15609420835971832,4.0600221836939454e-05,0.15221786499023438,0.17239028215408325,0.15355633199214935,0.16508343815803528,0.18900631368160248,0.15882812440395355,0.15609420835971832,0.33487534523010254,0.26196232438087463,0.19925744831562042
or,0.4174870550632477,0.10795636475086212,0.2330796718597412,0.4951852560043335,0.3586423695087433,0.33867141604423523,0.1695668250322342,0.3792596757411957,0.4174870550632477,0.17696666717529297,0.16698549687862396,0.32389625906944275
the,1.0,0.25528669357299805,0.48711544275283813,0.3718377649784088,0.6662389636039734,0.42745697498321533,0.22652170062065125,0.733189046382904,1.0,0.24189656972885132,0.18580520153045654,0.22068053483963013
lm,0.25534775853157043,-0.02172403782606125,0.14216841757297516,0.20631051063537598,0.14918769896030426,0.22412168979644775,0.15268173813819885,0.15462981164455414,0.25534775853157043,0.2892628610134125,0.20622140169143677,0.2270602136850357
.,0.5934505462646484,0.17049555480480194,0.40146201848983765,0.33111312985420227,0.5591574311256409,0.3567904531955719,0.19994208216667175,0.5352458953857422,0.5934505462646484,0.23308148980140686,0.2973858416080475,0.4130953550338745
,the,s-ivb-200,was,used,in,what,stage,of,the,saturn,v,?
the,1.0,0.25528669357299805,0.48711544275283813,0.3718377649784088,0.6662389636039734,0.42745697498321533,0.22652170062065125,0.733189046382904,1.0,0.24189656972885132,0.18580520153045654,0.22068053483963013
s-ib,0.22101955115795135,0.29847872257232666,0.15436452627182007,0.23154813051223755,0.1463569551706314,0.24634750187397003,0.0788835808634758,0.2561119496822357,0.22101955115795135,0.24692261219024658,0.12325915694236755,0.2431945949792862
first,0.49448907375335693,0.2302004098892212,0.5022147297859192,0.2984957695007324,0.4127444326877594,0.28086137771606445,0.22718806564807892,0.3536086082458496,0.49448907375335693,0.20075896382331848,0.22899948060512543,0.18701928853988647
stage,0.22652170062065125,0.07601434737443924,0.2081151008605957,0.12145236134529114,0.2011467069387436,0.15168409049510956,1.0000001192092896,0.1389172226190567,0.22652170062065125,0.18939214944839478,0.1110387071967125,0.14916576445102692
increased,0.3188653886318207,0.05800152197480202,0.23245969414710999,0.24995848536491394,0.244624063372612,0.1599731743335724,0.16721059381961823,0.3371390700340271,0.3188653886318207,0.14327110350131989,0.09740424156188965,0.09587585180997849
the,1.0,0.25528669357299805,0.48711544275283813,0.3718377649784088,0.6662389636039734,0.42745697498321533,0.22652170062065125,0.733189046382904,1.0,0.24189656972885132,0.18580520153045654,0.22068053483963013
thrust,0.28476181626319885,0.06675950437784195,0.18145988881587982,0.2509884536266327,0.17720508575439453,0.22513122856616974,0.16727915406227112,0.17752546072006226,0.28476181626319885,0.2821305990219116,0.189153790473938,0.1531757265329361
to,0.535392165184021,0.17562733590602875,0.3636345863342285,0.40058770775794983,0.45010748505592346,0.455847829580307,0.1484832912683487,0.41548454761505127,0.535392165184021,0.18787172436714172,0.2109750658273697,0.29463258385658264
"1,600,000",0.13359662890434265,0.06375379860401154,0.08314602822065353,0.14827924966812134,0.03365575522184372,0.029343439266085625,0.19518499076366425,0.09670081734657288,0.13359662890434265,0.18079586327075958,0.1497563123703003,0.06048373505473137
pounds-force,0.2882310450077057,0.15120142698287964,0.29540151357650757,0.30113106966018677,0.24452467262744904,0.2862117290496826,0.12364933639764786,0.2765384912490845,0.2882310450077057,0.2011900097131729,0.2410498559474945,0.29165512323379517
(,0.33289089798927307,0.05691876262426376,0.2980341613292694,0.19005385041236877,0.3087427020072937,0.2411840260028839,0.21330693364143372,0.35032153129577637,0.33289089798927307,0.16996361315250397,0.2043849378824234,0.40561532974243164
"7,120",0.08533044904470444,0.016514504328370094,0.0804910734295845,-0.08524419367313385,0.05039945989847183,0.07426123321056366,0.026223355904221535,0.011156843975186348,0.08533044904470444,-0.0010148838628083467,-0.029528267681598663,0.05117534473538399
kn,0.12718795239925385,0.14278282225131989,0.13641974329948425,0.20767197012901306,0.09522516280412674,0.18303970992565155,0.1370285451412201,0.144547700881958,0.12718795239925385,0.11088479310274124,0.17889504134655,0.22977566719055176
),0.3456730246543884,0.06244101747870445,0.3267642855644226,0.1905621439218521,0.3326910734176636,0.26259949803352356,0.24287325143814087,0.3680361211299896,0.3456730246543884,0.18594779074192047,0.20857036113739014,0.42300865054130554
",",0.4933079481124878,0.17869305610656738,0.45456063747406006,0.3120402991771698,0.5201468467712402,0.3087472915649414,0.2630990147590637,0.4946078956127167,0.4933079481124878,0.22104106843471527,0.22053663432598114,0.31091248989105225
and,0.5171257257461548,0.2049134224653244,0.3740963041782379,0.3150506615638733,0.4954058527946472,0.31309178471565247,0.17654182016849518,0.5116966962814331,0.5171257257461548,0.18160289525985718,0.19040757417678833,0.20544172823429108
the,1.0,0.25528669357299805,0.48711544275283813,0.3718377649784088,0.6662389636039734,0.42745697498321533,0.22652170062065125,0.733189046382904,1.0,0.24189656972885132,0.18580520153045654,0.22068053483963013
second,0.4620301127433777,0.21873052418231964,0.3858029544353485,0.16882206499576569,0.34510284662246704,0.19948028028011322,0.12515126168727875,0.353416383266449,0.4620301127433777,0.13307109475135803,0.19126640260219574,0.17239587008953094
stage,0.22652170062065125,0.07601434737443924,0.2081151008605957,0.12145236134529114,0.2011467069387436,0.15168409049510956,1.0000001192092896,0.1389172226190567,0.22652170062065125,0.18939214944839478,0.1110387071967125,0.14916576445102692
replaced,0.2645455598831177,0.11885849386453629,0.34946855902671814,0.3739944398403168,0.2068215310573578,0.12975038588047028,0.11173181235790253,0.20067165791988373,0.2645455598831177,0.18790467083454132,0.13236784934997559,0.14945141971111298
the,1.0,0.25528669357299805,0.48711544275283813,0.3718377649784088,0.6662389636039734,0.42745697498321533,0.22652170062065125,0.733189046382904,1.0,0.24189656972885132,0.18580520153045654,0.22068053483963013
