,what,percentage,of,american,households,did,abc,reach,in,march,2015,?
the,0.42745697498321533,0.2736506462097168,0.733189046382904,0.24562937021255493,0.26440316438674927,0.34736719727516174,0.2068762183189392,0.31808504462242126,0.6662389636039734,0.2680487632751465,0.1466771513223648,0.22068053483963013
network,0.16917307674884796,0.1880975067615509,0.21800683438777924,0.19002419710159302,0.19232788681983948,0.08572790026664734,0.4295894205570221,0.16611191630363464,0.19496823847293854,0.1648399382829666,-0.04010036587715149,0.17853789031505585
has,0.20338068902492523,0.21051472425460815,0.3909035325050354,0.15494826436042786,0.1987396776676178,0.2124989777803421,0.23067910969257355,0.17757542431354523,0.4173259735107422,0.15738847851753235,-0.041663043200969696,0.15994466841220856
an,0.2821882665157318,0.20277270674705505,0.32280945777893066,0.2878177762031555,0.14665834605693817,0.22598257660865784,0.16561369597911835,0.14843446016311646,0.2605783939361572,0.20647801458835602,0.028813116252422333,0.19793890416622162
estimated,0.19670580327510834,0.3637859523296356,0.30473583936691284,0.17249301075935364,0.40635091066360474,0.14494213461875916,0.1567322313785553,0.26054486632347107,0.2508986294269562,0.13749808073043823,0.21328146755695343,0.18149758875370026
national,0.16882304847240448,0.20652063190937042,0.3314673602581024,0.24127501249313354,0.0899805873632431,0.17743784189224243,0.17058564722537994,0.11598901450634003,0.28915393352508545,0.24897143244743347,0.019679715856909752,0.15643028914928436
reach,0.23399507999420166,0.21796584129333496,0.20552729070186615,0.1276906430721283,0.18237626552581787,0.2372579574584961,0.05181146413087845,1.0,0.20601192116737366,0.10799381881952286,0.1250048726797104,0.13152138888835907
of,0.33290785551071167,0.24724560976028442,1.0,0.22180068492889404,0.2765655219554901,0.2513895630836487,0.14607268571853638,0.20552729070186615,0.5696388483047485,0.20692677795886993,0.21138253808021545,0.1826142966747284
96.26,0.10336820036172867,0.13005107641220093,0.1898593008518219,-0.06557265669107437,0.22835862636566162,0.07694821059703827,-0.10319726169109344,0.16299159824848175,0.13767008483409882,-0.08159048110246658,-0.04785652831196785,-0.13874194025993347
%,0.20738190412521362,0.5639340281486511,0.19953428208827972,0.06834287941455841,0.4648574888706207,0.1450016051530838,0.061222776770591736,0.18271619081497192,0.19465309381484985,0.12916165590286255,0.0034540060441941023,0.21441808342933655
of,0.33290785551071167,0.24724560976028442,1.0,0.22180068492889404,0.2765655219554901,0.2513895630836487,0.14607268571853638,0.20552729070186615,0.5696388483047485,0.20692677795886993,0.21138253808021545,0.1826142966747284
all,0.41981086134910583,0.37048232555389404,0.42798417806625366,0.15754780173301697,0.2738155722618103,0.33943864703178406,0.18112415075302124,0.25952044129371643,0.3335905969142914,0.1679525226354599,-0.049718644469976425,0.29575422406196594
households,0.1889873743057251,0.4049142301082611,0.2765655219554901,0.11294137686491013,1.0000001192092896,0.18521134555339813,0.12057404220104218,0.18237626552581787,0.24879489839076996,0.0718194767832756,0.01589074172079563,0.17362827062606812
in,0.30808621644973755,0.18874377012252808,0.5696388483047485,0.22871561348438263,0.24879489839076996,0.2593238651752472,0.1697147786617279,0.20601192116737366,1.0,0.29730337858200073,0.0891268327832222,0.20430970191955566
the,0.42745697498321533,0.2736506462097168,0.733189046382904,0.24562937021255493,0.26440316438674927,0.34736719727516174,0.2068762183189392,0.31808504462242126,0.6662389636039734,0.2680487632751465,0.1466771513223648,0.22068053483963013
united,0.20036718249320984,0.14304271340370178,0.3187655806541443,0.3562275767326355,0.2907450199127197,0.21137088537216187,0.20297972857952118,0.16215895116329193,0.3938477039337158,0.22451536357402802,0.028465934097766876,0.17266890406608582
states,0.21526020765304565,0.1540820449590683,0.30884552001953125,0.34012681245803833,0.31675004959106445,0.21754568815231323,0.20048053562641144,0.16979260742664337,0.3977442979812622,0.217941015958786,0.05041464418172836,0.16272737085819244
(,0.2411840260028839,0.15512096881866455,0.35032153129577637,0.3044136166572571,0.10650848597288132,0.18979617953300476,0.183883935213089,0.21382570266723633,0.3087427020072937,0.345022052526474,0.14610634744167328,0.40561532974243164
or,0.33867141604423523,0.29796382784843445,0.3792596757411957,0.15763404965400696,0.3000042736530304,0.28211739659309387,0.10767780989408493,0.26713132858276367,0.3586423695087433,0.12400835007429123,0.006789912935346365,0.32389625906944275
"300,794,157",0.23930677771568298,0.1736832559108734,0.08905679732561111,0.05293608829379082,0.18365715444087982,0.12746331095695496,0.09205686300992966,0.16622209548950195,0.17462846636772156,0.0860612615942955,-0.10041655600070953,0.24647587537765503
americans,0.2497653216123581,0.2768861949443817,0.22938047349452972,0.483667254447937,0.2829330563545227,0.31740209460258484,0.1514173150062561,0.17053231596946716,0.24953381717205048,0.2228652536869049,-0.017153779044747353,0.19417695701122284
with,0.2464839518070221,0.18467122316360474,0.41827285289764404,0.20245933532714844,0.26435455679893494,0.25472134351730347,0.17432008683681488,0.18481220304965973,0.4080928862094879,0.1895335465669632,-0.05818283185362816,0.2433311939239502
at,0.2838611304759979,0.18349309265613556,0.42558613419532776,0.16126874089241028,0.22224754095077515,0.28390252590179443,0.12953892350196838,0.2956312894821167,0.4374977946281433,0.26105815172195435,0.12469656765460968,0.21978627145290375
