,what,translation,of,luther,'s,is,still,used,today,?
it,0.45803478360176086,0.2212449461221695,0.38761502504348755,0.15365919470787048,0.06608816236257553,0.6328473687171936,0.4413336217403412,0.3575260639190674,0.3544831871986389,0.25732165575027466
remains,0.2232762724161148,0.15670688450336456,0.3198432922363281,0.06121504679322243,0.023601576685905457,0.3655484914779663,0.5221015810966492,0.24605290591716766,0.3880625069141388,0.1479063630104065
in,0.30808621644973755,0.1721324771642685,0.5696388483047485,0.20523880422115326,-0.037580832839012146,0.5394441485404968,0.3424699008464813,0.3090210556983948,0.3300545811653137,0.20430970191955566
use,0.3453877568244934,0.17954066395759583,0.2750902473926544,0.10849796235561371,0.004619393963366747,0.3357410430908203,0.37452417612075806,0.7127541303634644,0.3563902974128723,0.32795652747154236
today,0.3814660608768463,0.17432086169719696,0.3291318118572235,0.17231552302837372,-0.017862282693386078,0.3404538929462433,0.6265153288841248,0.381777286529541,1.0000001192092896,0.17338968813419342
",",0.3087472915649414,0.2429160475730896,0.4946078956127167,0.23255878686904907,-0.0016132977325469255,0.4691906273365021,0.35217106342315674,0.3120402991771698,0.3282252550125122,0.31091248989105225
along,0.22421957552433014,0.16411514580249786,0.34889817237854004,0.13882501423358917,-0.05784126743674278,0.23571021854877472,0.23462936282157898,0.1619422286748886,0.15350137650966644,0.17134909331798553
with,0.2464839518070221,0.1879519522190094,0.41827285289764404,0.14705438911914825,-0.04624466598033905,0.3250955045223236,0.29578447341918945,0.3047430217266083,0.22647687792778015,0.2433311939239502
luther,0.2134782373905182,0.18200817704200745,0.1719115972518921,1.0,-0.009990512393414974,0.08282390236854553,0.16661010682582855,0.08111961930990219,0.17231552302837372,0.1732746809720993
's,0.02692362666130066,-0.01735842600464821,-0.03817026689648628,-0.009990512393414974,0.9999999403953552,0.02396530658006668,0.033143531531095505,0.00600846204906702,-0.017862282693386078,-0.023395681753754616
hymns,0.17175553739070892,0.33239591121673584,0.23365463316440582,0.30894896388053894,0.018269306048750877,0.16106092929840088,0.18426212668418884,0.15903712809085846,0.21093320846557617,0.17695237696170807
and,0.31309178471565247,0.2206902801990509,0.5116966962814331,0.20796556770801544,0.06895173341035843,0.3859752118587494,0.37647393345832825,0.3150506615638733,0.37503334879875183,0.20544172823429108
his,0.26976513862609863,0.16262900829315186,0.38364991545677185,0.27093374729156494,0.047556519508361816,0.24372583627700806,0.316427618265152,0.20492680370807648,0.21750064194202423,0.18075084686279297
translation,0.22188860177993774,0.9999998807907104,0.18704865872859955,0.18200817704200745,-0.01735842600464821,0.24474994838237762,0.20399552583694458,0.17104819416999817,0.17432086169719696,0.22574150562286377
of,0.33290785551071167,0.18704865872859955,1.0,0.1719115972518921,-0.03817026689648628,0.4854315221309662,0.3288819193840027,0.3075267970561981,0.3291318118572235,0.1826142966747284
the,0.42745697498321533,0.26402729749679565,0.733189046382904,0.1759674996137619,-0.01540423184633255,0.5823672413825989,0.40142056345939636,0.3718377649784088,0.35740926861763,0.22068053483963013
bible,0.33710888028144836,0.4584057331085205,0.25664499402046204,0.3825412392616272,0.008640618063509464,0.22857646644115448,0.2800636887550354,0.18954835832118988,0.2874392867088318,0.22667601704597473
.,0.3567904531955719,0.2109805941581726,0.5352458953857422,0.24907569587230682,-0.003708066651597619,0.4569662809371948,0.38162845373153687,0.33111312985420227,0.30348071455955505,0.4130953550338745
