,in,what,process,are,electrons,recycled,?
this,0.45205554366111755,0.5489566326141357,0.4155423641204834,0.35762670636177063,0.2807442843914032,0.3013145327568054,0.3155723512172699
is,0.5394441485404968,0.28837618231773376,0.21762968599796295,0.5330929756164551,0.20416733622550964,0.24505694210529327,0.22961433231830597
termed,0.23346757888793945,0.21266722679138184,0.3396527171134949,0.27039843797683716,0.2825324237346649,0.29918304085731506,0.08721713721752167
cyclic,0.18731583654880524,0.21427087485790253,0.3599123954772949,0.2563178241252899,0.4317087233066559,0.354401558637619,0.12302186340093613
photophosphorylation,0.25414398312568665,0.2677285969257355,0.4489365816116333,0.32698410749435425,0.6060478091239929,0.5041963458061218,0.20330481231212616
because,0.37423941493034363,0.46729007363319397,0.3476908206939697,0.43093472719192505,0.2839733958244324,0.30578553676605225,0.2528740465641022
the,0.6662389636039734,0.42745697498321533,0.264274537563324,0.40399202704429626,0.2109822928905487,0.24403855204582214,0.22068053483963013
electrons,0.15858358144760132,0.23107858002185822,0.30261823534965515,0.25583213567733765,1.0,0.32733628153800964,0.15516111254692078
are,0.3841303884983063,0.29724663496017456,0.23280955851078033,1.0,0.25583213567733765,0.33043190836906433,0.24591213464736938
recycled,0.21810254454612732,0.20887060463428497,0.37013494968414307,0.33043190836906433,0.32733628153800964,1.0000001192092896,0.23930218815803528
.,0.5591574311256409,0.3567904531955719,0.23766504228115082,0.3452940285205841,0.2193155288696289,0.24478870630264282,0.4130953550338745
