,what,is,the,expression,used,to,represent,a,complexity,class,of,counting,problems,?
other,0.341873437166214,0.25895947217941284,0.44152235984802246,0.19813983142375946,0.3574926257133484,0.4193183183670044,0.34445977210998535,0.2806335389614105,0.25132685899734497,0.16611546277999878,0.38583824038505554,0.33002907037734985,0.2678011357784271,0.24682199954986572
important,0.31164905428886414,0.350485235452652,0.39348116517066956,0.24398723244667053,0.3378707766532898,0.30913278460502625,0.2627897262573242,0.2963852882385254,0.25560009479522705,0.1629442423582077,0.43301743268966675,0.12805378437042236,0.2298530638217926,0.17812499403953552
complexity,0.33747240900993347,0.2541271150112152,0.21171598136425018,0.3962573707103729,0.2618294954299927,0.28336837887763977,0.24635639786720276,0.27206721901893616,1.0,0.22154183685779572,0.23338180780410767,0.36908072233200073,0.45911696553230286,0.23062916100025177
classes,0.20746955275535583,0.13611210882663727,0.21469499170780182,0.19185975193977356,0.26141780614852905,0.2503586411476135,0.16622114181518555,0.25567445158958435,0.29931116104125977,0.7096753120422363,0.19099700450897217,0.17210853099822998,0.2519468665122986,0.14397528767585754
include,0.1535889357328415,0.28863582015037537,0.2951717972755432,0.2103736698627472,0.3024999499320984,0.1820748895406723,0.266072154045105,0.18765322864055634,0.18483740091323853,0.16841112077236176,0.37431180477142334,0.15851058065891266,0.20521005988121033,0.14925788342952728
bpp,0.13434776663780212,0.15419691801071167,0.09346412122249603,0.16634605824947357,0.20102466642856598,0.18952545523643494,0.12815755605697632,0.20539288222789764,0.29234030842781067,0.13155943155288696,0.08372394740581512,0.15669497847557068,0.25403091311454773,0.22042737901210785
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.22825834155082703,0.3120402991771698,0.44245919585227966,0.26053929328918457,0.427140474319458,0.27822354435920715,0.1753857135772705,0.4946078956127167,0.3291271924972534,0.2596952021121979,0.31091248989105225
zpp,0.10799464583396912,0.1393442302942276,0.16289570927619934,0.10975001752376556,0.13874223828315735,0.1451192945241928,0.08708526194095612,0.20812852680683136,0.2229839712381363,0.13165849447250366,0.14227162301540375,0.15996883809566498,0.13246993720531464,0.23891094326972961
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.24040144681930542,0.3150506615638733,0.48971283435821533,0.2796897888183594,0.3739250600337982,0.2520415782928467,0.20710228383541107,0.5116966962814331,0.2665523886680603,0.285793662071228,0.20544172823429108
rp,0.2636401355266571,0.17695195972919464,0.13557825982570648,0.1482154279947281,0.12060189992189407,0.19160768389701843,0.11011059582233429,0.2068556547164917,0.22844357788562775,0.13001276552677155,0.1248948872089386,0.19129621982574463,0.10058154910802841,0.28526240587234497
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.22825834155082703,0.3120402991771698,0.44245919585227966,0.26053929328918457,0.427140474319458,0.27822354435920715,0.1753857135772705,0.4946078956127167,0.3291271924972534,0.2596952021121979,0.31091248989105225
which,0.5261979103088379,0.4457404911518097,0.6521818041801453,0.3366905152797699,0.414506196975708,0.5345056653022766,0.32871541380882263,0.56894451379776,0.2941568195819855,0.23547251522541046,0.5011631846427917,0.321560263633728,0.3054017126560211,0.25814583897590637
