,what,was,the,emphasis,focuses,on,?
it,0.45803478360176086,0.4577186405658722,0.6251175999641418,0.19275014102458954,0.23410533368587494,0.4529881477355957,0.25732165575027466
put,0.3330543637275696,0.24684612452983856,0.34150463342666626,0.20852483808994293,0.18949629366397858,0.33860915899276733,0.2993032932281494
more,0.3484537899494171,0.21525104343891144,0.39758381247520447,0.3081212043762207,0.2812575697898865,0.37351730465888977,0.27894994616508484
emphasis,0.2812975347042084,0.1471625566482544,0.19833582639694214,1.0,0.4824071526527405,0.23377813398838043,0.2750280499458313
on,0.34226128458976746,0.3909217119216919,0.5107308030128479,0.23377813398838043,0.32762500643730164,0.9999999403953552,0.2714994251728058
vocational,0.25595757365226746,0.21591003239154816,0.23646128177642822,0.401759535074234,0.32480064034461975,0.15852658450603485,0.1961013227701187
subjects,0.3538523018360138,0.16951552033424377,0.22999566793441772,0.36320099234580994,0.43396493792533875,0.23630590736865997,0.26547127962112427
on,0.34226128458976746,0.3909217119216919,0.5107308030128479,0.23377813398838043,0.32762500643730164,0.9999999403953552,0.2714994251728058
the,0.42745697498321533,0.48711544275283813,1.0,0.19833582639694214,0.26860302686691284,0.5107308030128479,0.22068053483963013
assumption,0.4053521156311035,0.24384567141532898,0.26466310024261475,0.2921234369277954,0.2254621982574463,0.22753669321537018,0.28394895792007446
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.2798662483692169,0.2547721862792969,0.42569106817245483,0.32716336846351624
the,0.42745697498321533,0.48711544275283813,1.0,0.19833582639694214,0.26860302686691284,0.5107308030128479,0.22068053483963013
new,0.2130378633737564,0.2748313844203949,0.3845241069793701,0.09252113848924637,0.1617107093334198,0.31106263399124146,0.14782847464084625
structure,0.27351704239845276,0.1626352071762085,0.2933249771595001,0.2221398502588272,0.23015280067920685,0.21283137798309326,0.1770772784948349
would,0.45766422152519226,0.41663143038749695,0.4133751392364502,0.24856795370578766,0.22775493562221527,0.35589995980262756,0.37178951501846313
enable,0.29289326071739197,0.12107384949922562,0.284074991941452,0.30281344056129456,0.22731086611747742,0.2263612598180771,0.2741726338863373
school,0.18774057924747467,0.25740107893943787,0.22953221201896667,0.2236371636390686,0.2250528484582901,0.2388053983449936,0.15091250836849213
drop-outs,0.26778507232666016,0.2073659747838974,0.3483524024486542,0.19408133625984192,0.23655715584754944,0.2893568277359009,0.21964715421199799
at,0.2838611304759979,0.36707764863967896,0.457212895154953,0.16693095862865448,0.13939060270786285,0.4806317389011383,0.21978627145290375
all,0.41981086134910583,0.23179835081100464,0.4860881567001343,0.23373740911483765,0.16693636775016785,0.3832052946090698,0.29575422406196594
levels,0.21641245484352112,0.10329693555831909,0.286034494638443,0.17366445064544678,0.20968614518642426,0.1644611656665802,0.1541307419538498
either,0.3851809501647949,0.2062831073999405,0.3795609474182129,0.22104845941066742,0.15390747785568237,0.3322877585887909,0.31498292088508606
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.22717075049877167,0.27192121744155884,0.41031414270401,0.29463258385658264
be,0.3929833769798279,0.42228707671165466,0.4248143136501312,0.23424914479255676,0.2441735863685608,0.37900757789611816,0.3324260413646698
self-employed,0.22843597829341888,0.281567245721817,0.23894543945789337,0.20570391416549683,0.20372110605239868,0.19057753682136536,0.20501531660556793
or,0.33867141604423523,0.2330796718597412,0.4174870550632477,0.2548029124736786,0.22993405163288116,0.2897229492664337,0.32389625906944275
to,0.455847829580307,0.3636345863342285,0.535392165184021,0.22717075049877167,0.27192121744155884,0.41031414270401,0.29463258385658264
secure,0.14779600501060486,0.18390972912311554,0.2569228410720825,0.1428196281194687,0.12334795296192169,0.196397066116333,0.1604752093553543
employment,0.1882249116897583,0.17765623331069946,0.22877080738544464,0.3577110171318054,0.29465451836586,0.16510926187038422,0.20128771662712097
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2321949303150177,0.28335705399513245,0.46853652596473694,0.20430970191955566
the,0.42745697498321533,0.48711544275283813,1.0,0.19833582639694214,0.26860302686691284,0.5107308030128479,0.22068053483963013
informal,0.31096258759498596,0.17012159526348114,0.24695700407028198,0.3116399347782135,0.3050422966480255,0.19777752459049225,0.17082542181015015
sector,0.18244388699531555,0.23579141497612,0.27798449993133545,0.2572489082813263,0.22873808443546295,0.21944007277488708,0.06294605135917664
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.14837388694286346,0.2219461053609848,0.49257001280784607,0.4130953550338745
