,what,follows,secondary,education,?
generally,0.40614598989486694,0.3121289312839508,0.2920841574668884,0.18290089070796967,0.23411904275417328
",",0.3087472915649414,0.25478267669677734,0.2158004194498062,0.2718683183193207,0.31091248989105225
education,0.19940856099128723,0.1532783806324005,0.4472634196281433,1.0,0.18067774176597595
in,0.30808621644973755,0.31313058733940125,0.2103116512298584,0.2654339671134949,0.20430970191955566
australia,0.1913539320230484,0.20490019023418427,0.18863242864608765,0.18532110750675201,0.15702682733535767
follows,0.28637656569480896,1.0000001192092896,0.16365210711956024,0.1532783806324005,0.16897420585155487
the,0.42745697498321533,0.3630034327507019,0.21037471294403076,0.23982903361320496,0.22068053483963013
three-tier,0.22210615873336792,0.24547207355499268,0.1315421164035797,0.19161944091320038,0.18743960559368134
model,0.2303347885608673,0.16014160215854645,0.13327573239803314,0.1450279951095581,0.14843042194843292
which,0.5261979103088379,0.3619208037853241,0.29409417510032654,0.1723235547542572,0.25814583897590637
includes,0.17138352990150452,0.31669512391090393,0.1674150824546814,0.14516983926296234,0.14011523127555847
primary,0.2113915979862213,0.19754385948181152,0.6853594779968262,0.3644731044769287,0.16286636888980865
education,0.19940856099128723,0.1532783806324005,0.4472634196281433,1.0,0.18067774176597595
(,0.2411840260028839,0.1662454754114151,0.20586027204990387,0.1691931039094925,0.40561532974243164
primary,0.2113915979862213,0.19754385948181152,0.6853594779968262,0.3644731044769287,0.16286636888980865
schools,0.1820785105228424,0.18668176233768463,0.4608161151409149,0.6035618185997009,0.18349280953407288
),0.26259949803352356,0.1739025115966797,0.20800510048866272,0.19257274270057678,0.42300865054130554
",",0.3087472915649414,0.25478267669677734,0.2158004194498062,0.2718683183193207,0.31091248989105225
followed,0.20169416069984436,0.5688276290893555,0.15654200315475464,0.10948627442121506,0.20567169785499573
by,0.2455483376979828,0.3067372441291809,0.16728177666664124,0.18719787895679474,0.17966607213020325
secondary,0.20388361811637878,0.16365210711956024,1.0,0.4472634196281433,0.18118004500865936
education,0.19940856099128723,0.1532783806324005,0.4472634196281433,1.0,0.18067774176597595
(,0.2411840260028839,0.1662454754114151,0.20586027204990387,0.1691931039094925,0.40561532974243164
secondary,0.20388361811637878,0.16365210711956024,1.0,0.4472634196281433,0.18118004500865936
schools/high,0.3400546610355377,0.26089203357696533,0.48699867725372314,0.6028310656547546,0.36289680004119873
schools,0.1820785105228424,0.18668176233768463,0.4608161151409149,0.6035618185997009,0.18349280953407288
),0.26259949803352356,0.1739025115966797,0.20800510048866272,0.19257274270057678,0.42300865054130554
and,0.31309178471565247,0.3256111145019531,0.25317713618278503,0.308173805475235,0.20544172823429108
tertiary,0.2784169018268585,0.18549896776676178,0.5652426481246948,0.3411751091480255,0.2581363916397095
education,0.19940856099128723,0.1532783806324005,0.4472634196281433,1.0,0.18067774176597595
(,0.2411840260028839,0.1662454754114151,0.20586027204990387,0.1691931039094925,0.40561532974243164
universities,0.1630716770887375,0.15579020977020264,0.2949308753013611,0.4975728690624237,0.16836881637573242
and/or,0.26439139246940613,0.1601969301700592,0.24011892080307007,0.12578324973583221,0.24081800878047943
tafe,0.16639594733715057,0.09498216211795807,0.34406518936157227,0.41742679476737976,0.17468518018722534
colleges,0.19657261669635773,0.19719091057777405,0.33590349555015564,0.5139620900154114,0.15586905181407928
),0.26259949803352356,0.1739025115966797,0.20800510048866272,0.19257274270057678,0.42300865054130554
.,0.3567904531955719,0.26911503076553345,0.195527583360672,0.27047446370124817,0.4130953550338745
