,in,what,type,of,ring,can,prime,ideals,be,used,for,validating,quadratic,reciprocity,?
for,0.4322226941585541,0.3017193675041199,0.20848464965820312,0.4185989499092102,0.17500008642673492,0.35690054297447205,0.17833133041858673,0.26136305928230286,0.3801851272583008,0.4236139953136444,0.9999999403953552,0.35564130544662476,0.1951127052307129,0.3065492510795593,0.264628142118454
example,0.30483278632164,0.3456268310546875,0.2937546968460083,0.3570667505264282,0.15012040734291077,0.5023694038391113,0.16545042395591736,0.2907806634902954,0.4382762610912323,0.48354339599609375,0.45665353536605835,0.3094726502895355,0.2928798496723175,0.37329018115997314,0.30374911427497864
",",0.5201468467712402,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.19084720313549042,0.3139454126358032,0.2565026581287384,0.19077056646347046,0.39254459738731384,0.3120402991771698,0.4464869201183319,0.2243068516254425,0.20080609619617462,0.2818882465362549,0.31091248989105225
prime,0.18097394704818726,0.15586113929748535,0.09346602857112885,0.23935265839099884,0.1277114599943161,0.1305878609418869,1.0,0.11902778595685959,0.14576895534992218,0.1468653529882431,0.17833133041858673,0.10357549041509628,0.1655678153038025,0.23493212461471558,0.11276303976774216
ideals,0.2416277676820755,0.28476682305336,0.11580982059240341,0.3695777654647827,0.16379612684249878,0.15182305872440338,0.11902778595685959,1.0,0.24891766905784607,0.1869637370109558,0.26136305928230286,0.29342150688171387,0.29978683590888977,0.4347091615200043,0.05933374539017677
in,1.0,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.1902257651090622,0.26527702808380127,0.18097394704818726,0.2416277676820755,0.3481820821762085,0.3090210556983948,0.4322226941585541,0.1859377920627594,0.19246864318847656,0.2063232958316803,0.20430970191955566
the,0.6662389636039734,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2354331910610199,0.312528520822525,0.19960100948810577,0.3200533390045166,0.4248143136501312,0.3718377649784088,0.4739971458911896,0.260457843542099,0.24549010396003723,0.24901801347732544,0.22068053483963013
ring,0.1902257651090622,0.19784773886203766,0.12507514655590057,0.20323021709918976,0.9999999403953552,0.10071364045143127,0.1277114599943161,0.16379612684249878,0.11801038682460785,0.13178496062755585,0.17500008642673492,0.17804713547229767,0.19006836414337158,0.1968219131231308,0.054174330085515976
of,0.5696388483047485,0.33290785551071167,0.18112817406654358,1.0,0.20323021709918976,0.2603091299533844,0.23935265839099884,0.3695777654647827,0.33904364705085754,0.3075267970561981,0.4185989499092102,0.2766198217868805,0.26294127106666565,0.26470425724983215,0.1826142966747284
integers,0.1772688925266266,0.2691354751586914,0.17399626970291138,0.20153668522834778,0.24739786982536316,0.33596161007881165,0.38114607334136963,0.23197324573993683,0.28398826718330383,0.1781599521636963,0.1802103966474533,0.3443077802658081,0.5046853423118591,0.493215948343277,0.2591196596622467
of,0.5696388483047485,0.33290785551071167,0.18112817406654358,1.0,0.20323021709918976,0.2603091299533844,0.23935265839099884,0.3695777654647827,0.33904364705085754,0.3075267970561981,0.4185989499092102,0.2766198217868805,0.26294127106666565,0.26470425724983215,0.1826142966747284
quadratic,0.19246864318847656,0.217502161860466,0.19623880088329315,0.26294127106666565,0.19006836414337158,0.2940922677516937,0.1655678153038025,0.29978683590888977,0.2542339861392975,0.22345326840877533,0.1951127052307129,0.291135311126709,1.0,0.4461703598499298,0.1588403880596161
number,0.3024539053440094,0.23046229779720306,0.2370503842830658,0.2778518795967102,0.17269256711006165,0.33886176347732544,0.2556258738040924,0.2073623090982437,0.28840136528015137,0.23600076138973236,0.2861633002758026,0.29982855916023254,0.3031550943851471,0.3559103310108185,0.19256845116615295
fields,0.19709080457687378,0.14054246246814728,0.1462824046611786,0.19633589684963226,0.1605384796857834,0.19597917795181274,0.0037681367248296738,0.24347542226314545,0.25505945086479187,0.24607358872890472,0.2648622393608093,0.1432720571756363,0.17770129442214966,0.2314382791519165,0.1411406248807907
can,0.26527702808380127,0.34502777457237244,0.33094167709350586,0.2603091299533844,0.10071364045143127,1.0,0.1305878609418869,0.15182305872440338,0.5791122913360596,0.48128408193588257,0.35690054297447205,0.310067355632782,0.2940922677516937,0.31467247009277344,0.3226337134838104
be,0.3481820821762085,0.3929833769798279,0.25716274976730347,0.33904364705085754,0.11801038682460785,0.5791122913360596,0.14576895534992218,0.24891766905784607,1.0,0.3731876611709595,0.3801851272583008,0.32501640915870667,0.2542339861392975,0.33809369802474976,0.3324260413646698
used,0.3090210556983948,0.27546408772468567,0.30943769216537476,0.3075267970561981,0.13178496062755585,0.48128408193588257,0.1468653529882431,0.1869637370109558,0.3731876611709595,0.9999998807907104,0.4236139953136444,0.28993940353393555,0.22345326840877533,0.2608536183834076,0.22430120408535004
in,1.0,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.1902257651090622,0.26527702808380127,0.18097394704818726,0.2416277676820755,0.3481820821762085,0.3090210556983948,0.4322226941585541,0.1859377920627594,0.19246864318847656,0.2063232958316803,0.20430970191955566
proving,0.22262027859687805,0.35093116760253906,0.22260399162769318,0.29165971279144287,0.17987312376499176,0.25730443000793457,0.1929304599761963,0.2993643879890442,0.3126683831214905,0.24799484014511108,0.31908807158470154,0.39125877618789673,0.2602680027484894,0.3948476314544678,0.3045685887336731
quadratic,0.19246864318847656,0.217502161860466,0.19623880088329315,0.26294127106666565,0.19006836414337158,0.2940922677516937,0.1655678153038025,0.29978683590888977,0.2542339861392975,0.22345326840877533,0.1951127052307129,0.291135311126709,1.0,0.4461703598499298,0.1588403880596161
reciprocity,0.2063232958316803,0.31352582573890686,0.2192244827747345,0.26470425724983215,0.1968219131231308,0.31467247009277344,0.23493212461471558,0.4347091615200043,0.33809369802474976,0.2608536183834076,0.3065492510795593,0.42499634623527527,0.4461703598499298,1.0,0.2629900276660919
",",0.5201468467712402,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.19084720313549042,0.3139454126358032,0.2565026581287384,0.19077056646347046,0.39254459738731384,0.3120402991771698,0.4464869201183319,0.2243068516254425,0.20080609619617462,0.2818882465362549,0.31091248989105225
a,0.539380669593811,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.2191324681043625,0.3915780484676361,0.17998681962490082,0.27434077858924866,0.39883795380592346,0.3864384889602661,0.44038116931915283,0.26606717705726624,0.28062862157821655,0.27767279744148254,0.23916715383529663
statement,0.17217876017093658,0.39422667026519775,0.2071104794740677,0.1980573982000351,0.14324750006198883,0.24573096632957458,0.1653207391500473,0.3224184215068817,0.3326943516731262,0.20254507660865784,0.24888525903224945,0.4254743754863739,0.26834288239479065,0.43693798780441284,0.28978636860847473
that,0.435920387506485,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.23785534501075745,0.4522190988063812,0.18163643777370453,0.29820695519447327,0.6036020517349243,0.37621384859085083,0.4137635827064514,0.38100892305374146,0.26885998249053955,0.3501458466053009,0.32716336846351624
concerns,0.17420464754104614,0.345258891582489,0.10978055000305176,0.18160763382911682,0.059939682483673096,0.3159317970275879,0.14000366628170013,0.28398770093917847,0.30624258518218994,0.22750307619571686,0.3266594707965851,0.380349725484848,0.11163093894720078,0.3564811646938324,0.3555730879306793
the,0.6662389636039734,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2354331910610199,0.312528520822525,0.19960100948810577,0.3200533390045166,0.4248143136501312,0.3718377649784088,0.4739971458911896,0.260457843542099,0.24549010396003723,0.24901801347732544,0.22068053483963013
solvability,0.23763906955718994,0.38176417350769043,0.2637474834918976,0.2627916932106018,0.2094787359237671,0.4458627998828888,0.22107531130313873,0.3580158054828644,0.34742578864097595,0.34398800134658813,0.3531567454338074,0.43333789706230164,0.46084967255592346,0.5702229142189026,0.2895475924015045
of,0.5696388483047485,0.33290785551071167,0.18112817406654358,1.0,0.20323021709918976,0.2603091299533844,0.23935265839099884,0.3695777654647827,0.33904364705085754,0.3075267970561981,0.4185989499092102,0.2766198217868805,0.26294127106666565,0.26470425724983215,0.1826142966747284
quadratic,0.19246864318847656,0.217502161860466,0.19623880088329315,0.26294127106666565,0.19006836414337158,0.2940922677516937,0.1655678153038025,0.29978683590888977,0.2542339861392975,0.22345326840877533,0.1951127052307129,0.291135311126709,1.0,0.4461703598499298,0.1588403880596161
equations,0.19343294203281403,0.26397332549095154,0.1865101456642151,0.186348557472229,0.18321460485458374,0.3291909694671631,0.2098890244960785,0.3287900686264038,0.3061891198158264,0.2278742492198944,0.2192198783159256,0.3782762587070465,0.5822145938873291,0.5747010707855225,0.2186179906129837
