,in,what,direction,does,the,mountain,system,extend,?
the,0.6662389636039734,0.42745697498321533,0.28851455450057983,0.35928019881248474,1.0,0.2931090295314789,0.3233085572719574,0.29680711030960083,0.22068053483963013
alps,0.2329743653535843,0.12007275223731995,0.19052447378635406,0.08534310013055801,0.315137654542923,0.5728895664215088,0.1035556048154831,0.13040275871753693,0.07792776823043823
are,0.3841303884983063,0.29724663496017456,0.16355663537979126,0.3126322329044342,0.40399202704429626,0.20260895788669586,0.21917270123958588,0.2674988806247711,0.24591213464736938
part,0.4499994218349457,0.3476244807243347,0.18867163360118866,0.26684749126434326,0.527681291103363,0.22434620559215546,0.2814725935459137,0.3409894108772278,0.08557961881160736
of,0.5696388483047485,0.33290785551071167,0.18922415375709534,0.3119818866252899,0.733189046382904,0.22943821549415588,0.25597915053367615,0.2804538309574127,0.1826142966747284
the,0.6662389636039734,0.42745697498321533,0.28851455450057983,0.35928019881248474,1.0,0.2931090295314789,0.3233085572719574,0.29680711030960083,0.22068053483963013
great,0.23348836600780487,0.2562883198261261,0.13451866805553436,0.1330372840166092,0.2822027802467346,0.20941688120365143,0.11912029981613159,0.23630698025226593,0.13135133683681488
dividing,0.27849453687667847,0.2898585796356201,0.29346194863319397,0.21086932718753815,0.37785807251930237,0.23673725128173828,0.21824146807193756,0.39100614190101624,0.11916390061378479
range,0.2084861844778061,0.19613829255104065,0.17881985008716583,0.1521991640329361,0.2311336100101471,0.4362896680831909,0.12560325860977173,0.35602301359176636,0.1204894632101059
mountain,0.2510811388492584,0.15145938098430634,0.13055740296840668,0.11271446943283081,0.2931090295314789,1.0,0.06687404960393906,0.0810197964310646,0.10710091888904572
system,0.21978288888931274,0.23557309806346893,0.20906662940979004,0.2021704614162445,0.3233085572719574,0.06687404960393906,1.0000001192092896,0.2507200539112091,0.15556083619594574
extending,0.285525381565094,0.28489816188812256,0.30296656489372253,0.27202004194259644,0.39961886405944824,0.13931138813495636,0.27885565161705017,0.8019948601722717,0.16590118408203125
east-west,0.3768627643585205,0.22941988706588745,0.24932129681110382,0.1699923872947693,0.3887042999267578,0.33440667390823364,0.1247364729642868,0.24367748200893402,0.17539338767528534
through,0.38533157110214233,0.23167094588279724,0.33746829628944397,0.21495459973812103,0.44071322679519653,0.22356337308883667,0.25831398367881775,0.3006420433521271,0.16913433372974396
the,0.6662389636039734,0.42745697498321533,0.28851455450057983,0.35928019881248474,1.0,0.2931090295314789,0.3233085572719574,0.29680711030960083,0.22068053483963013
centre,0.2765078544616699,0.12324132025241852,0.2086692452430725,0.1683523952960968,0.32783594727516174,0.15046751499176025,0.1911340355873108,0.18915046751499176,0.019365152344107628
of,0.5696388483047485,0.33290785551071167,0.18922415375709534,0.3119818866252899,0.733189046382904,0.22943821549415588,0.25597915053367615,0.2804538309574127,0.1826142966747284
victoria,0.20823122560977936,0.1194850504398346,0.12023273855447769,0.09501408785581589,0.2204313427209854,0.16929329931735992,0.08323035389184952,0.08266597986221313,0.12246892601251602
.,0.5591574311256409,0.3567904531955719,0.23911777138710022,0.3022993505001068,0.5934505462646484,0.19740812480449677,0.2277725487947464,0.23276987671852112,0.4130953550338745
