,how,much,was,the,emergency,aid,to,israel,?
on,0.32655060291290283,0.2834896147251129,0.3909217119216919,0.5107308030128479,0.219890758395195,0.15889853239059448,0.41031414270401,0.190166637301445,0.2714994251728058
october,0.11188025027513504,0.19156582653522491,0.4627581834793091,0.2621108889579773,0.1995190531015396,0.12172755599021912,0.23106063902378082,0.17192432284355164,0.29706719517707825
19,0.08316059410572052,0.0023771198466420174,-0.16212789714336395,-0.17766842246055603,-0.054331861436367035,-0.07421663403511047,-0.09078327566385269,-0.07402286678552628,0.008002291433513165
",",0.22659391164779663,0.36182254552841187,0.45456063747406006,0.4933079481124878,0.21387320756912231,0.1953202486038208,0.44245919585227966,0.22234781086444855,0.31091248989105225
nixon,0.18224826455116272,0.202161505818367,0.20094674825668335,0.19296984374523163,0.17040342092514038,0.14449596405029297,0.21478617191314697,0.194593608379364,0.18047039210796356
requested,0.26184695959091187,0.20615683495998383,0.24532678723335266,0.2535228729248047,0.3103928864002228,0.2749120891094208,0.35950326919555664,0.21361157298088074,0.3419589698314667
congress,0.16602906584739685,0.13784591853618622,0.23910820484161377,0.27082565426826477,0.1955556422472,0.17804817855358124,0.2541917860507965,0.20162361860275269,0.2020287960767746
to,0.44169697165489197,0.40610215067863464,0.3636345863342285,0.535392165184021,0.2783624827861786,0.2690417766571045,1.0,0.182975634932518,0.29463258385658264
appropriate,0.31354478001594543,0.2327122837305069,0.16799916326999664,0.27732113003730774,0.2151365578174591,0.13392122089862823,0.31406155228614807,0.07748634368181229,0.2732597291469574
$,0.18718640506267548,0.205519899725914,0.23838669061660767,0.23367542028427124,0.18507365882396698,0.23399698734283447,0.22282108664512634,0.14188234508037567,0.2786129117012024
2.2,-0.026432432234287262,-0.0036112042143940926,-0.04294919595122337,-0.03408137336373329,-0.06848663091659546,-0.07477647811174393,-0.0381411649286747,0.004137096460908651,0.08368320763111115
billion,0.2582297921180725,0.2614055871963501,0.18399004638195038,0.2162325382232666,0.10519739240407944,0.1933702975511551,0.2046312391757965,0.12133058905601501,0.25791820883750916
in,0.2601168751716614,0.2725222110748291,0.45514053106307983,0.6662389636039734,0.16288918256759644,0.1754455417394638,0.45010748505592346,0.2300325185060501,0.20430970191955566
emergency,0.19985660910606384,0.12009333819150925,0.21781449019908905,0.21307751536369324,1.0,0.31585928797721863,0.2783624827861786,0.24699029326438904,0.16178704798221588
aid,0.19852137565612793,0.18081896007061005,0.15475519001483917,0.21952909231185913,0.31585928797721863,0.9999998807907104,0.2690417766571045,0.1607820689678192,0.08358026295900345
to,0.44169697165489197,0.40610215067863464,0.3636345863342285,0.535392165184021,0.2783624827861786,0.2690417766571045,1.0,0.182975634932518,0.29463258385658264
israel,0.18091057240962982,0.12887100875377655,0.20472826063632965,0.21617624163627625,0.24699029326438904,0.1607820689678192,0.182975634932518,0.9999999403953552,0.15015864372253418
",",0.22659391164779663,0.36182254552841187,0.45456063747406006,0.4933079481124878,0.21387320756912231,0.1953202486038208,0.44245919585227966,0.22234781086444855,0.31091248989105225
including,0.20270724594593048,0.25625187158584595,0.21884717047214508,0.3738902807235718,0.18913014233112335,0.16496641933918,0.24006329476833344,0.21249473094940186,0.1633303165435791
$,0.18718640506267548,0.205519899725914,0.23838669061660767,0.23367542028427124,0.18507365882396698,0.23399698734283447,0.22282108664512634,0.14188234508037567,0.2786129117012024
1.5,-0.0821528434753418,-0.05195394530892372,0.04419717192649841,-0.0306364968419075,-0.0031931595876812935,-0.026094229891896248,0.01102264504879713,-0.00186055526137352,0.007378216367214918
billion,0.2582297921180725,0.2614055871963501,0.18399004638195038,0.2162325382232666,0.10519739240407944,0.1933702975511551,0.2046312391757965,0.12133058905601501,0.25791820883750916
in,0.2601168751716614,0.2725222110748291,0.45514053106307983,0.6662389636039734,0.16288918256759644,0.1754455417394638,0.45010748505592346,0.2300325185060501,0.20430970191955566
outright,0.2706421911716461,0.30719202756881714,0.2712094187736511,0.2790127098560333,0.207774356007576,0.17559489607810974,0.3443544805049896,0.18571752309799194,0.340726375579834
grants,0.14615686237812042,0.18150264024734497,0.17012618482112885,0.2900126874446869,0.21775375306606293,0.2833576500415802,0.2831681966781616,0.22274653613567352,0.1494954377412796
.,0.3287222981452942,0.3374604284763336,0.40146201848983765,0.5934505462646484,0.2231423705816269,0.21699096262454987,0.4645031690597534,0.2039981484413147,0.4130953550338745
